Accession,logFC,-logPval,-logAdjPval,DMSO_1,DMSO_2,DMSO_3,DMSO_4,DMSO_5,5FU_1,5FU_2,5FU_3,5FU_4,5FU_5
E5RFM9;E5RJU4;A0A0C4DGD3;A0A0C4DGD5;E5RIP3,0.007,0.0207,0.0002,2736.7,2834.3,3082.9,2498.1,3264.9,2956.8,2962.4,2557.1,3209.8,2935.4
J3QLD9;E7EMK3;Q14254,0.0044,0.0139,0.0002,2904.6,3084.0,3092.6,2899.8,3694.7,3003.5,3034.9,3713.5,3088.8,2975.9
Q7L8W6;H0YNH5;H0YND7;Q7L8W6-2,-0.0038,0.0192,0.0002,46268.0,60931.0,54704.0,65652.0,69141.0,67579.0,48436.0,62916.0,69178.0,50932.0
Q7Z2T5;Q7Z2T5-2;X6RK96,-0.0036,0.024,0.0002,30558.0,38682.0,33608.0,39340.0,41622.0,39019.0,34493.0,35631.0,38174.0,36749.0
H3BQ67;E7EN44;Q86WA8-2;Q86WA8,0.0111,0.027,0.0002,16236.0,13943.0,11833.0,18382.0,23442.0,21273.0,12657.0,18558.0,20528.0,12770.0
Q7Z5G4-3;Q7Z5G4,0.0122,0.0266,0.0002,877.46,1105.4,904.7,1049.7,1305.0,960.31,1270.4,961.79,1090.4,982.72
Q9H9Y6-5;Q9H9Y6;Q9H9Y6-3;Q9H9Y6-2;Q9H9Y6-4;H7C0D9;C9JJG2;C9JS83;F8WDS4;F8WAK7;F8WBB9;F8WCS3,-0.0028,0.0212,0.0002,75187.0,85125.0,76666.0,84344.0,102070.0,90221.0,79567.0,84630.0,89167.0,81377.0
Q86Y56-2;Q86Y56;H0Y650;E9PGY2;Q86Y56-3,0.0024,0.0088,0.0002,18278.0,29188.0,25201.0,27467.0,26153.0,28596.0,19751.0,25468.0,29303.0,24627.0
Q7Z6Z7-2;Q7Z6Z7-3;Q7Z6Z7;H0Y659;A0A087X146;A0A087X1S3;A0A1B0GXC7;A5YM72-2;A5YM72;A5YM72-4;A5YM72-5;A5YM72-3,0.0044,0.0262,0.0002,1022500.0,1452300.0,1265800.0,1391100.0,1389300.0,1486200.0,1096500.0,1349700.0,1484600.0,1194500.0
Q9H993;F5GZY1,0.0026,0.0182,0.0002,191790.0,199720.0,182810.0,208950.0,251350.0,227030.0,197340.0,213130.0,218880.0,188160.0
Q13829;Q13829-2;F5GY15;F5GWK6;F5H268;B3KVY5;K7EM01;Q9H3F6-3;Q8WZ19;J3QSD4;J3QS43;H3BM90;REV__X6R8H3;REV__Q9HBY8-2;REV__Q9HBY8-3;REV__Q9HBY8,0.0047,0.0158,0.0002,29455.0,27415.0,24425.0,34835.0,37133.0,29945.0,27189.0,38186.0,32065.0,27443.0
Q86U70;Q86U70-2;Q86U70-3,-0.005,0.026,0.0002,14774.0,15101.0,13646.0,15620.0,17162.0,15425.0,14488.0,14638.0,16509.0,15542.0
O95716;P20336;S4R3Q3,-0.0028,0.0177,0.0002,15056.0,15784.0,13816.0,16065.0,18464.0,16586.0,15203.0,15795.0,17276.0,14813.0
Q9H832;Q9H832-2;I3L4C5;H0Y9X8;I3L286;D6RB11;I3L3V3,0.0062,0.0216,0.0002,122140.0,193540.0,163440.0,196590.0,174200.0,201930.0,126370.0,184790.0,209610.0,143500.0
Q9H7F0;A0A087WYY3;Q9H7F0-2,0.0019,0.0152,0.0002,16221.0,19166.0,17029.0,18390.0,21102.0,21123.0,17055.0,18333.0,20670.0,15890.0
E9PCN2;Q02153-2;Q02153-3;Q02153;B7Z685;D6RC99,0.0024,0.014,0.0002,83663.0,108150.0,97800.0,114380.0,111600.0,119800.0,86760.0,111600.0,116950.0,87915.0
Q86WV7;Q96MW1;Q96MW1-2;K7ER24,0.0023,0.0221,0.0002,127070.0,140560.0,129190.0,136230.0,144600.0,150650.0,126750.0,139330.0,152030.0,119270.0
O95396,0.0043,0.0225,0.0002,34252.0,46908.0,45008.0,46806.0,47024.0,51139.0,36906.0,44433.0,51850.0,39233.0
O95379-3;D6RCM8;O95379-2;O95379;O95379-4,0.0021,0.0218,0.0002,65735.0,78152.0,70415.0,79721.0,83222.0,86684.0,67980.0,76164.0,85156.0,66363.0
Q86XP3;A0A0A0MSJ0;Q86XP3-2;J3QRI2;J3KTK9;J3KRE3,0.0016,0.0086,0.0002,262350.0,373650.0,336560.0,359870.0,369140.0,397380.0,284960.0,336290.0,395790.0,308680.0
