Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52
Q00535,1.5548,inf,inf,5210621.426298496,5372806.201772097,5162165.769889298,5108169.050792675,15214306.832223278,15263524.737816244,15598475.93289635,14826985.243069362
P17612,1.2289,inf,inf,19974258.202212226,20694848.193958346,20320024.700137895,20833239.133904334,47852192.43077227,48603435.245936856,46606322.98920865,47580776.81675338
P36507,1.5784,inf,inf,17606585.937372927,18302262.783142824,16826514.766002703,16568248.828398677,50450752.770210266,52720782.94974613,51865039.22651726,50728163.28655685
Q86UE8,0.9711,inf,inf,10247150.365317488,10338249.789732367,10482505.780794056,10536417.922983227,20712402.924377903,20359735.595645465,20014640.684572287,19987759.382647447
P25098,1.3881,inf,inf,7676466.785671365,7970726.359421771,8265670.310605117,8152615.813973707,21372401.3655182,20956824.32424061,20882510.823356576,20210349.712324496
O96013,1.8505,inf,inf,5739081.772844824,6039891.279455442,6221495.3661136115,6134034.201592861,21893501.770638775,23102651.75609328,21174425.626139577,20338609.8761663
Q9NWZ3,0.9219,295.4367,292.5032,6887838.999358365,7150708.043527325,7150708.043527325,6974296.411073125,13346970.223742204,13270282.522254266,13295530.712036882,13127363.148510516
Q96SB4,1.0436,288.7964,285.9209,18103469.5233741,18512819.39194737,18152687.76652204,17917505.72876539,36438316.99479982,38452657.44987408,37224763.05679203,36826761.290578924
P49840,1.1804,274.9548,272.1305,11358712.42035084,11475228.69296178,11287539.652232902,10997402.919470506,25940175.23956551,26204721.85393736,25111840.067064017,24394870.010321446
Q13043,1.0178,244.4085,241.63,9746421.601880744,9909057.765648833,10338249.789732367,10121344.487251064,20468786.80689382,20320024.700137895,20447488.122777075,19503870.95639422
P41240,1.1748,240.9389,238.2018,18659587.400740534,19492036.859532148,20194752.791402936,20664667.288531877,44907499.57204528,43553935.20607079,44223745.72640688,44610946.43907088
P15735,1.3723,215.9726,213.2733,3543407.3094943147,3767355.5614687195,3579143.6568544344,3586345.350757766,9564903.54862565,9780561.691847537,9254514.138530428,8656675.862158673
P22830,1.1843,215.8979,213.2334,34473828.00566668,35250119.43761672,33248228.302052207,32468042.245757032,76472459.0303478,78923473.16609992,76852958.89453478,73734966.05177979
Q9UKI8,1.1185,202.9061,200.2737,2016902.8872707752,2132593.7885319423,2147204.0840067477,2222277.87067043,4657447.77073629,4673319.557099267,4578915.6876751,4475324.768489245
O14965,1.1228,186.2535,183.6511,3981780.9348748024,4108971.1489101294,3937755.077850141,3819077.0870706295,8514981.589873897,8998642.388652233,8537218.54059528,8257761.381868755
Q9Y2H1,0.8183,178.9865,176.4122,1019583.7750994925,1011302.4026248814,1037258.2059370644,1039533.1105062966,1836687.6631918943,1791982.2294290601,1776597.1114338683,1794608.3148720663
Q9Y6E0,0.9048,177.0165,174.4685,18722453.620268922,18206617.227095872,17888641.93954833,17453544.430619325,33922604.84820476,34051749.57831658,33389020.83917226,33152051.419512253
Q05655,-0.6519,168.0155,165.4923,18827729.432835605,18827729.432835605,19312752.774078988,18950739.488502767,11925825.445714716,12048458.987310607,11844857.036141943,12209800.228718454
P24941,0.7427,160.2306,157.7308,25126483.646400504,24873362.924821783,24563825.94914359,24436246.280410457,41727456.849485256,41906178.79873403,40902092.90417063,40149635.37611581
Q96RR4,1.0003,148.2348,145.7573,2643524.853824121,2595797.7314045257,2792803.1721792095,2680669.370679207,5428810.970967232,5499505.497215663,5331063.884613632,5041725.565713911
Q02750,0.9285,144.9231,142.4668,33305785.690379433,32088125.54407977,33217660.66257226,32208877.344555933,61857192.079217575,65505488.73469359,60180201.440188,59971327.40616421
Q9NSY1,0.9193,140.4425,138.0064,12542293.677743059,12716826.381952243,13209336.897486804,13709077.899639368,25448705.204169523,24366232.273412906,23989944.596178498,24281826.320647378
O14976,0.5525,128.0331,125.6163,14145574.648064353,14062215.666459592,14131775.501817405,13905496.772936018,20370876.48795537,20744137.23721106,20570200.78160346,20313229.23195285
Q15208,0.8649,112.9936,110.5953,4792213.423532451,5091428.1161248945,4838663.898283699,5258442.500939094,9054282.125231799,9209720.992418287,9106912.108845104,8802814.830698976
O75116,0.607,109.9903,107.6097,41242473.0843282,42452180.7350482,43333508.6971311,43211034.06267022,63893248.22980471,64570060.81084667,63436318.43473126,65838143.5220482
P45983,0.6496,109.2947,106.9312,7006827.215843857,6978604.300423112,7274980.548801201,6799502.5861983895,10808094.214042963,11039568.826888775,10909201.41272125,10997402.919470506
Q05397,0.5957,103.8538,101.5067,21092335.440129925,20932784.10371212,21658570.948284578,21515528.756585937,32722958.200367704,32468042.245757032,31564522.264649317,31224970.433995757
P23443,0.6769,101.4802,99.1488,3392836.17567115,3395975.5234402893,3356626.097254752,3553877.7888892107,5564949.095018196,5463858.30566108,5313510.953249813,5428810.970967232
Q8N5S9,1.1788,100.9718,98.6557,696989.0039376465,699132.7682961546,739438.0202382093,770970.9151578805,1704892.3771046253,1733527.545186444,1582634.6190790972,1519490.337438994
P49006,0.5674,97.6593,95.3579,55166739.11321122,57515292.762735955,56467029.37365853,57873148.97861893,82073826.9917845,84564580.63830283,83649041.30749568,84119940.2767017
P49137,0.4646,92.6439,90.3567,6139997.340390325,6207269.311304743,6230155.924901676,6128017.642086872,8374896.9612391265,8486890.012417817,8525778.89092561,8501210.366280172
Q2M2I8,0.8274,89.3998,87.1264,3008559.378174407,3159454.5247164266,3298660.427108223,3320131.470875028,5802004.645558685,5733961.471656002,5636141.494217388,5380494.907993498
Q8IW41,0.6457,86.3616,84.1016,1613582.4196718743,1690655.6110848845,1690655.6110848845,1696169.8215992984,2643524.853824121,2593262.647314337,2643524.853824121,2525474.2302216566
O14733,0.8839,86.2723,84.0253,1960155.9377136219,2160698.433379066,2260517.8669957505,2140969.0952669545,4000870.717213265,3810399.9917100375,3869910.4714180497,3949537.9118184512
Q13523,0.475,83.5956,81.3612,40839282.383093014,41009108.63175528,42582377.907940984,41768755.6952435,58139225.6211507,56779346.94398754,57037396.30343333,57665324.19033421
Q14012,0.8987,78.0538,75.8315,341430.3900556046,315873.2563900867,315873.2563900867,323374.6226839713,592333.8917269588,602826.8789730794,618851.5749019969,589149.2153957599
P51812,0.6266,77.6039,75.3936,15878581.604827004,17146546.31606492,16920660.97451785,16807025.68824376,24942177.587736074,25508426.278383594,25725835.560397778,26269930.720706765
P33981,0.4387,76.0228,73.824,5732145.064707778,5846492.888580106,5785400.483609779,5828832.364171685,7802582.847359942,7782823.989989885,7731060.943671033,7932742.177716494
O15530,0.6006,74.2722,72.0848,3190697.860399465,3322477.5026514037,3390594.8193819104,3221179.7983756308,4823177.587950067,5069311.334958636,5001543.134447904,4888740.680337943
P50750,0.8851,73.6997,71.5232,6384474.290734429,6494807.025037305,6581541.5245704185,7465682.891006813,12477379.62692181,12554377.068614114,12164475.663275557,12235035.147035617
O96017,0.6237,71.6574,69.4917,6907580.933641982,7347221.611118432,7585429.39499363,7116798.557109335,11197565.58185394,10992244.167511608,11250136.030190108,10909201.41272125
P49841,0.8671,68.8733,66.718,1484929.5235275675,1520148.2011562532,1541348.9247446347,1549712.5930857908,2748831.112360255,2878297.528623781,2910213.9321087734,2515170.4285006677
Q00536,0.7103,68.6496,66.5045,4278715.043524026,4296122.230915034,4419803.623761869,4312647.262020002,7374303.53499256,7318657.850377621,6799502.5861983895,6656441.52204725
Q13627,0.5679,63.2251,61.09,8591366.935719037,8537218.54059528,8614064.108967558,8113301.100728907,12538137.755865104,12895726.26753648,12209800.228718454,12246649.604818547
Q13188,0.5894,56.3569,54.2316,4580810.875682728,4490689.087427073,4801438.206944252,4877618.559689329,7282247.432006147,7016436.735893976,6887838.999358365,6855937.466931978
Q13555,0.9236,56.2813,54.1655,7552236.745753692,8942121.079865811,9071091.775835942,8905105.422489295,15129346.530877197,16807025.68824376,16610701.195784304,16438280.724240197
O00506,0.7146,56.1371,54.0307,1099761.068050148,1077932.553155023,1078528.1341438359,1060279.5568041364,1742983.7760112246,1804162.829420804,1852335.607331222,1641911.4699313198
P13861,-0.5328,55.1495,53.0522,19281072.27012299,19685022.694964167,19392616.328101195,18542775.52207383,12668724.816078251,13442303.345150476,13262854.616256224,13465281.175248753
Q96GX5,0.5285,53.8804,51.7921,2142793.4046514262,2203233.545591571,2324287.207485206,2258856.7946032123,3159454.5247164266,3281788.0804652497,3186046.075286681,3174442.0041534943
Q9HBH9,0.8471,50.7236,48.644,279855.2137357328,271241.2081313585,310235.05773076747,285271.4987430944,499785.93983645644,531783.5372772452,517667.6970786314,500836.4162054631
O14757,0.3854,43.9821,41.9111,13252598.704850823,12885450.663720053,13657962.764121769,13504706.031294927,17244028.305756506,17444759.471635435,17444759.471635435,17070267.848594565
Q15418,0.4901,43.0735,41.011,23271357.582632724,25034082.5732552,23568486.172069248,23864210.620892674,32241276.979552966,33248228.302052207,33922604.84820476,34263512.73543059
P51817,0.7728,41.4872,39.4329,274067.1880134909,281027.8083598651,286515.83108751697,302619.9785803767,476161.0244745994,500836.4162054631,508061.18381507567,458231.3313369005
P49336,0.4624,41.0424,38.9963,3560341.67956749,3511880.733838507,3639561.772235616,3427042.6836743485,4989698.93784252,4904781.202543861,4801438.206944252,4669695.702193433
O94804,0.6708,40.9853,38.9471,669906.0288607262,630077.8203357245,647912.9374066701,644585.7592897733,975772.0406951148,1099761.068050148,990776.4076488158,1036547.6299874034
Q9H2G2,0.3383,37.7704,35.74,47256722.54675127,48603435.245936856,48093516.793167196,47206405.5558903,59805849.79510685,59173116.728098065,59728457.1452472,61528614.903422266
P53778,0.4985,34.2696,32.247,3453678.28649993,3528334.0111810155,3543407.3094943147,3480778.9580878015,5016238.142300085,5175734.168050356,4886618.274405093,4591524.808604967
P53350,-0.4733,34.1907,32.1756,11212559.22713622,11575765.455025539,12028946.496306801,11257341.817427492,7834624.120940954,8300625.297064841,8246388.558728264,8607743.635140827
Q6ZSR9,0.4671,32.8378,30.8301,3862756.378667463,3727749.150371444,3832444.3969298187,4005463.0672160354,5484320.260385949,5421959.364139643,5264008.4709006,5030563.770927885
Q8IYA2,0.4313,31.9974,29.9971,2220171.110601416,2214666.00365634,2201269.9827845544,2151348.265530127,3102114.355938381,2932166.2417868073,2869426.560165147,2875924.3178968225
Q9BUB5,0.4866,31.6354,29.6422,1746347.216695468,1777702.4045403467,1918419.6227271205,1932697.5023391154,2620264.209662935,2547906.119222018,2547906.119222018,2554833.389732288
Q9H2K8,0.3077,29.1077,27.1216,26132658.98793571,25743671.212499715,27368494.678360716,26212310.12368728,32292288.94431401,32241276.979552966,32378137.19613281,32827983.78456047
P55263,0.4322,28.6256,26.6464,57242071.259090625,56779346.94398754,61921963.79101732,60629637.04142049,82743248.32192492,79253589.91135667,78800011.25755449,76472459.0303478
P31323,-0.3462,26.9012,24.9289,10511604.831635237,10582886.992776148,10271943.52578822,10021351.912085723,7866270.026281688,8141450.326965435,8152615.813973707,8206554.1769976085
P41743,-0.4501,26.856,24.8904,16320455.077416252,16082955.351151764,17856985.019208353,17646174.73355566,12524839.671168158,11870548.145820837,12524839.671168158,12483228.789285777
Q13464,0.3935,26.6481,24.6891,31564522.264649317,31809292.320827316,34430877.16851065,34186837.62596651,43052557.30804759,42362150.98982689,42840699.47869114,44075782.90051593
P19784,0.3956,24.5014,22.549,9787585.333609547,9796017.428589625,9796017.428589625,9432050.617847824,12095745.129076913,12668724.816078251,13425520.63033021,12562207.595750501
P05771,-0.4517,24.3495,22.4035,39926539.20091039,42035205.78208103,42246200.80282797,39926539.20091039,27675421.42701238,29794827.106234603,30299332.596263167,31519941.906096604
Q9UHD2,0.4596,23.4445,21.5048,3211277.0345150265,3676113.95904703,3507999.034410952,3364657.232335395,4745397.435783636,4732057.160419113,4522438.364270705,4810116.481628633
Q9BUL8,0.3025,22.0641,20.1306,20495946.22748912,20135356.501552746,20150536.574636027,20150536.574636027,25637011.297945116,23828890.106958285,24952639.38422463,24802364.177348807
Q15334,0.3231,20.3613,18.434,1379653.5870848775,1458598.2928612863,1444729.9223439067,1404851.9600340847,1811535.4530878365,1737718.147758452,1734792.776000395,1788998.0448121636
P11802,0.3475,19.1791,17.2579,4966732.682385237,5132944.2125004325,5372806.201772097,5097851.684780343,6554773.4166326765,6575587.782662687,6716710.419366168,6167084.443328682
Q04759,-0.4672,19.0324,17.1172,2300628.4860610776,2252560.5558116618,2280828.704001558,2088102.1650101275,1492712.5775646146,1602364.685060648,1607761.4797733296,1713107.138058297
Q9NYL2,-0.3021,18.4925,16.5832,6403402.163031995,6459121.10701605,6835008.588647997,6938571.724277821,5322103.771757331,5360773.68624696,5377803.422665403,5412603.17474715
Q9UBF8,0.3392,18.2583,16.3548,8670353.11381301,8551772.420866627,9276740.984978188,9184150.927352512,11683031.614118727,11276999.566753943,11057575.139333228,10851983.775408095
Q96S38,0.305,17.1998,15.3021,3854432.172306922,3817928.6472863294,4070128.1260241116,4131682.174703698,4964466.403501864,4932394.799144114,4763557.424627851,4832292.924180718
P68400,0.2101,16.8241,14.9321,23019494.06992427,22846298.07884974,22731447.977976784,23377545.211023904,26680736.024615303,26788491.734614685,26048551.247316495,26244858.983087357
Q93100,0.3084,15.9585,14.0721,3346688.906529166,3443754.0746360933,3411076.5712385974,3322477.5026514037,3916813.730814858,4227984.713749761,4248998.783712383,4253384.123236374
Q9NVS9,0.3658,13.9379,12.057,9279886.245677538,9154066.678908877,8293408.357590518,8709028.903318956,11371886.979033552,10682480.44290799,11695677.338901715,11647143.92949571
Q7L7X3,-0.2496,13.4823,11.6069,19340528.19564469,18978540.450419184,20014640.684572287,20609373.591813352,16826514.766002703,16357247.558931803,16568248.828398677,16250557.983889533
P78362,0.262,13.3484,11.4784,5091428.1161248945,4932394.799144114,5084237.979779767,5084237.979779767,6066506.690582007,6282317.6042841375,5974673.727240208,5746395.857741989
O43615,0.1693,12.665,10.8003,58139225.6211507,58070635.23550355,57326359.179266006,58625692.36257583,65188921.43755118,65031374.00213793,63950756.51520921,65347934.92420866
Q96C03,0.378,12.3257,10.4663,16074123.547693241,16633860.013212204,15115083.048914026,14092140.714528454,19658066.986014385,20570200.78160346,20468786.80689382,19298593.09149716
P46020,0.2579,12.0335,10.1793,1166976.3152687072,1200175.4302201644,1183743.8748718547,1164825.6991414733,1385199.537235925,1355005.502959321,1407596.3816939332,1457544.5504575854
O14578,0.2634,11.9728,10.1237,9917412.960256405,10113876.070783334,10992244.167511608,10511604.831635237,12663179.152209407,12134373.096230788,12220721.946812741,12533983.211062755
Q9Y388,0.3645,11.9499,10.1059,447021.9196791741,468567.0952213966,488257.10078548203,466256.8806133856,604382.5494083649,608058.6755993125,558297.5966193042,622446.6183757125
Q7Z7F7,0.3337,11.6206,9.7816,1808536.4070145378,1779694.0551059663,1806547.9912011314,1692078.8169348936,2168205.335498277,2221224.248559806,2387379.6719690524,2101269.7225397266
Q92844,0.2255,11.5888,9.7548,9680215.135550773,9362115.026616847,9343556.264270552,9254514.138530428,11140691.288432937,11114713.45977715,10974997.079012614,10517524.55101963
Q9Y2K2,0.31,11.3434,9.5143,4537069.849844664,4627626.829673706,4596911.337816176,4328681.434771582,5387784.662362337,6030483.685619527,5398731.473665681,5477649.408265466
P54619,0.2795,11.0361,9.2118,11317065.092310121,11430327.307993593,12708186.306944838,12220721.946812741,14062215.666459592,14365779.090496942,14308097.810609639,14778160.023359187
Q9NYV4,0.2486,10.922,9.1025,38098893.167788096,37908822.51760179,38284369.1770208,35206237.29387827,43144325.27429217,44610946.43907088,45255581.84265013,43553935.20607079
Q13131,0.2595,10.7301,8.9153,30547332.741913106,30398874.838079274,32018203.353897594,34051749.57831658,37702917.24876825,37908822.51760179,37607466.39805735,37908822.51760179
Q8WWW0,0.2846,10.7108,8.9007,2132593.7885319423,2122991.55247635,2037448.3410638408,1946699.269760439,2480347.9167451,2569202.723107448,2520160.7339763925,2407992.0861134315
Q16512,-0.2419,10.3189,8.5135,8190128.6322488235,8564732.161442537,8644676.94431549,8848805.38774946,6943749.490655632,7231296.246101368,7095409.259960502,7517379.048773757
P27361,0.3387,9.9874,8.1867,2189592.5189832193,2382657.743448906,2100250.398297969,2116068.442030923,2592384.8188223876,2824079.7320133545,2748831.112360255,2884427.457850815
Q99541,-0.1667,9.9357,8.1394,3294492.884191673,3341306.7377916877,3419035.614368729,3384999.6407236373,2926806.6880494743,2989662.689522095,2993641.805393507,2991387.3413567627
Q96RG2,0.2792,9.693,7.9013,1549712.5930857908,1612013.3376886258,1596081.8645756915,1682604.1651552722,1964361.552400513,2005249.30231945,1980821.9692848977,1818477.758674282
P48730,0.2232,9.2475,7.4602,2597467.1627872884,2636862.805752995,2641628.775169492,2501843.629214025,2881827.7580868625,3046624.190690658,3085090.4566963217,3028772.528416467
Q15036,0.2273,9.0136,7.2307,2792803.1721792095,2980244.7604351756,2968377.590457827,3033582.970714731,3307216.5207387917,3455861.2620645487,3412415.6631182423,3526303.112758604
Q14457,0.1448,8.9661,7.1876,4349035.848166826,4246343.796100717,4328681.434771582,4337728.36062719,4732057.160419113,4776184.840652933,4754624.707636311,4707461.874841022
P14635,-0.1765,8.5515,6.7773,39116151.77617904,38229856.52441451,38765045.164664894,37806943.404084854,32865216.20242669,33817275.79446857,33741194.66875754,34963229.62752538
P53567,0.2168,7.3971,5.6272,4713354.557215779,4441748.326156181,4337728.36062719,4281032.626699768,5240005.371550047,5186122.271992168,5025974.671254346,5083420.941762149
P61962,0.2763,7.3094,5.5437,23475048.618206985,23355174.846468717,21228968.828661915,21189177.4715697,26554718.130581446,28734752.756425124,26602723.20665814,25569602.373937804
Q9Y478,0.1694,7.1012,5.3397,8091012.553419433,8011427.230341541,8309304.984659944,8353687.705034841,9558035.597338468,9027158.199891772,9007393.011769699,9035884.88133953
O60563,0.1305,6.9189,5.1616,13346970.223742204,13360617.389483357,13029601.273204489,13122182.634532008,14279602.36176175,14415177.643380955,14474614.099875629,14352101.87254127
Q9UKL6,-0.1612,6.8607,5.1075,12360933.97838046,11985780.143837132,12871444.825228624,12786014.772458432,10992244.167511608,11078083.791462414,11100674.695496345,11276999.566753943
Q9NTZ6,-0.1284,6.8306,5.0815,55977313.73219379,54779613.45095386,55453733.52592618,56226615.80227402,49625282.86919283,50619632.58103954,50810377.60523843,51225852.749942556
P17252,0.2183,6.6484,4.9033,3002846.295641872,3270136.3041996346,3012729.3648889377,3087046.492143819,3395975.5234402893,3600873.1072911303,3636403.1193145323,3676113.95904703
Q9GZM8,0.2086,6.4906,4.7495,1700189.8832547045,1674926.6309738797,1725341.7215456157,1760832.7831693832,2092111.743590386,1966604.7746441015,1939257.1497777952,1883457.1230585105
P48729,0.1766,6.4339,4.6968,6896720.309290446,7219183.77628529,6826842.2747128345,6604905.960033312,7702616.622116044,7791694.704874294,7654360.876559639,7802582.847359942
P46019,0.2088,6.0509,4.3177,339269.42629359744,356074.54285959015,356074.54285959015,345467.22239607066,394527.7244426392,401866.7695497489,409985.9344767734,398420.91839039314
P16219,0.1816,5.9811,4.2518,4707461.874841022,4617719.30910446,4788403.14490609,4673319.557099267,5377803.422665403,5264008.4709006,5532852.872414947,5004993.587582296
Q02127,0.1242,5.8902,4.1648,7731060.943671033,7796241.174659775,7796241.174659775,7561245.152552455,8506483.512033349,8309304.984659944,8367252.027195051,8279064.914937545
Q86VM9,0.3002,5.8212,4.0996,32348250.2121774,31962387.23981421,33817275.79446857,34399577.502786025,46930099.391150355,38058052.17357007,38098893.167788096,39116151.77617904
P31749,0.1832,5.8124,4.0946,2276658.9860500577,2234127.0802867827,2105949.9952380825,2121064.92320431,2466626.403196131,2448373.5379490196,2450604.9118084647,2497701.4822293073
O75439,0.1454,5.7568,4.0428,11695677.338901715,12246649.604818547,12441369.198495205,11952439.43881292,13057059.615802014,13178882.529381359,13252598.704850823,13651081.720786562
Q9BVS4,0.1795,5.7172,4.0069,9642517.242697265,9617409.312523462,9424639.862422379,9154066.678908877,10179859.189327458,10750265.911333548,10504580.548023958,11166249.48799369
P31943,-0.1527,5.7055,3.9988,163304241.31956598,165633768.42676628,165633768.42676628,164638051.2520487,141343397.30551305,144892342.48232815,150650289.0388314,152572958.95668164
Q9P289,0.1634,5.6734,3.9705,10424417.683449024,10770783.32085028,10951128.65480901,11267441.782074973,11647143.92949571,12268786.63632485,12026458.411572441,12385119.217053356
P28799,0.1618,5.6597,3.9604,2936708.664785582,2924537.2820086656,2981126.8001788314,2929733.8517940114,3244071.9350542263,3344534.0907095033,3119325.8797353623,3383041.325998607
Q00537,0.1785,5.5716,3.8759,776351.7595446076,754785.7394169652,753958.432000558,767497.034201666,883731.393810685,845365.6930510659,830350.484593479,874712.3150055722
Q9NRV9,0.1927,5.5064,3.8143,3026656.856532993,3031119.5631946335,3048957.7117376775,3064250.4350896636,3680532.3978401464,3518825.057683693,3366789.1208934356,3261420.9491664064
Q9BZF3,0.1551,5.4965,3.8079,1697535.565050421,1747205.1340894003,1797629.1579711072,1786974.6527312377,1902623.602912622,1932697.5023391154,1941807.2087288185,2002817.9501576938
O60678,-0.1279,5.4728,3.7877,20093386.809597105,19854096.30910551,20849085.665114824,20495946.22748912,18083926.20758692,18567237.678587824,18434865.693720892,18864503.445395887
Q8NEB9,0.1423,5.3949,3.7133,8281890.055714186,8400285.844474357,8753074.263085648,8628564.36095465,9154066.678908877,9388336.35887834,9184150.927352512,9642517.242697265
Q16799,0.1362,5.2106,3.5324,2569202.723107448,2501843.629214025,2515170.4285006677,2620264.209662935,2836704.142199256,2802491.50651688,2766660.194292425,2744409.9281572425
Q14004,-0.1445,4.9944,3.3197,975772.0406951148,971902.8528496637,975772.0406951148,1001638.8952743632,897704.131989834,863375.453039425,875913.148268248,892954.9209270919
P28482,0.1163,4.9693,3.298,204915050.54311165,203908106.375977,203908106.375977,196659396.52287102,220481222.25968283,217724957.47434434,218874721.18919396,215068031.15401012
P32856,0.1176,4.8232,3.1553,2593262.647314337,2573270.144625525,2683223.6140206684,2655020.5372410226,2866909.533916807,2842019.928011357,2788566.4512772406,2831378.182837164
O95782,0.1084,4.7515,3.0869,81470748.66928504,82447962.74968795,84564580.63830283,83424399.44539005,87867327.56105918,90776549.79155852,89433972.89270225,87593532.13190106
O60502,-0.1078,4.7319,3.0707,33970408.00107916,33718109.17206205,34567173.35929529,35406266.56212899,31859358.231303014,31587171.28692489,31654629.63338085,31883966.012539636
Q92930,0.1176,4.7183,3.0604,7198802.411753977,6969056.014270557,6882789.131484217,6965573.938573798,7575726.202364818,7566193.8037631465,7484942.278269883,7590967.899385979
P06493,-0.1444,4.6982,3.0435,38816555.06411375,41133699.62546106,39735764.6163691,39901013.05488127,34318506.879000284,35917399.15826793,36384733.04765226,36903428.76097938
Q5VVQ6,-0.1496,4.6894,3.038,11327892.234208638,11257341.817427492,11379574.592666723,11358712.42035084,9657736.425482662,10260378.810051572,10647143.286562901,10050507.038211916
P27986,0.1685,4.6174,2.9707,1527800.2161303456,1547121.3073535464,1588536.8317152306,1594366.0891411167,1806547.9912011314,1643929.3750892268,1779694.0551059663,1760832.7831693832
Q8N5F7,-0.1272,4.6157,2.9707,2337222.3666067007,2258856.7946032123,2339467.360267709,2235826.222900911,2077157.641557226,2112348.8913350753,2069752.6282721786,2088102.1650101275
Q9BW91,0.1387,4.5825,2.9407,25659197.77436312,25484505.080503665,26602723.20665814,27035529.56410725,29367892.03498944,28802779.414945822,28964278.858481746,27527435.755230542
P49756,-0.1161,4.5162,2.8776,34932471.68472276,35135203.53020047,35206237.29387827,35321117.442859,31224970.433995757,32544361.862227388,31996932.79164088,33190770.1514557
Q9NQ29,-0.149,4.4227,2.7872,15233647.26686342,14931730.611072423,15647615.830577102,15768891.048599198,14359935.467290537,14138489.786259338,13499040.503467998,13209336.897486804
P61927,0.1073,4.3373,2.7049,31708492.412076145,30981105.95093976,31058315.735396147,30526025.78465933,32985232.999470215,33922604.84820476,33217660.66257226,32957715.769155897
Q9H4L5,0.1644,4.3338,2.7045,2601549.3066284275,2711700.0210299827,2571754.644894648,2534021.720513948,2750586.6474506827,2988105.38591474,2894866.123606839,2974080.0940072164
Q9BVC6,-0.1722,4.2733,2.647,4861409.62218444,4447520.177354425,4867220.554227723,4707461.874841022,4354036.225210277,4042953.1920686984,4010766.703857425,4251111.593025464
P52434,-0.1435,4.2667,2.6466,12589901.32498686,12316704.248934519,13560605.38273946,13139912.83833759,11426503.9603019,11755778.6988113,11792090.206086319,11463290.590256162
Q14498,-0.1678,4.269,2.6466,28734752.756425124,29869373.24870937,27240980.382295523,27733192.006879367,23915449.47025366,25201013.1603253,25353451.033458307,26048551.247316495
Q10713,0.3176,4.2183,2.6011,20022947.534309763,21122344.18573748,25145957.619043324,27368494.678360716,29296199.400588147,27443063.606909372,29037942.536521707,30207845.59873071
P0DP25,0.198,4.1998,2.5857,123577552.0874391,122328241.37662037,113946022.13668028,120633896.4018268,146828101.31733102,125677506.37899382,139351323.14128965,136093889.3477964
Q99570,0.1001,4.1441,2.5329,8478564.658263683,8583383.39395601,8827853.944688063,8644676.94431549,9035884.88133953,9191086.975890923,9262836.449473348,9303278.405178491
Q99986,0.2197,4.0954,2.4871,9738708.222288007,10718401.810415573,9973895.245693933,9519027.30745744,10477723.281452606,11503168.304820644,11824223.100793157,12441369.198495205
P09496,0.1832,3.9871,2.3818,154682859.62395418,147843947.2861004,141343397.30551305,134983724.90754002,166247380.74585003,155491392.63588428,167614676.8005985,164082707.28575578
P51617,0.2028,3.9813,2.3788,688773.7378888848,749237.934167509,764138.9954024254,807797.79923299,852831.0267409765,846106.6863724767,878660.0652802852,865577.8045601888
P31751,0.0988,3.9742,2.3747,13840916.971313216,13709077.899639368,14325799.301922895,14300086.123534938,15007504.450396147,14849301.566475874,14877229.902624248,15063359.013265299
P52597,-0.1138,3.9657,2.369,462959365.15879035,474592983.2933233,457400626.21336883,457400626.21336883,411687047.9584816,430020590.3378688,430020590.3378688,430020590.3378688
O43768,0.1924,3.9541,2.3603,182053831.1060926,176643758.0970409,166247380.74585003,155045912.33316126,194967634.61948738,188955579.71284333,197727286.93836784,190861343.21154836
Q9NVT9,-0.1113,3.9148,2.3238,9424639.862422379,9296731.249164991,9780561.691847537,9487999.67637903,8709028.903318956,8700108.907631038,8983414.179191874,8564732.161442537
Q6ZXV5,-0.2043,3.8937,2.3055,1940461.205793051,1823551.8746714653,1733527.545186444,1663025.1430228858,1496318.37224658,1603281.853726381,1548491.421541751,1531306.8980752458
Q96DB5,-0.1368,3.8855,2.3001,9388336.35887834,9527770.552476823,9023920.267994309,9071091.775835942,8044870.90657007,8339619.842825329,8628564.36095465,8452289.140868373
P67870,0.1492,3.839,2.2564,29742790.847929463,28522056.47870562,27060255.587021355,26942785.18575592,31406951.945703298,30794566.42582357,30836241.582521554,30739580.264371227
A0AVK6,0.3095,3.7913,2.2115,583782.464239475,613747.7649100086,566770.7461633385,555078.6968633159,631296.4794127302,697922.1626445549,840483.6737099309,687580.950598193
O60506,-0.0943,3.7832,2.2061,208372068.24339548,209193393.51403302,204915050.54311165,210108902.40248284,191904745.94779527,195893691.86029944,190861343.21154836,196659396.52287102
Q96GG9,-0.1091,3.7458,2.1714,16610701.195784304,16438280.724240197,15968688.344595496,16074123.547693241,15093828.904371772,15129346.530877197,15153113.731666647,14618439.623181658
P14209,0.199,3.733,2.1613,1229375.2540836798,1229375.2540836798,1125281.2660287016,1204596.9245288055,1444729.9223439067,1420648.7922124306,1279571.7714148974,1320244.23403766
