Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52
Q8TB05,0.0094,0.0493,0.0074,405597.51563143695,394527.7244426392,353614.5715119219,358214.22162829485,372907.3661981745,381470.1301226919,403945.02028822777,354753.6518582318
Q8N9N5,0.0056,0.0496,0.0074,3150883.6030636285,3120968.8125874493,3054575.649683711,2894866.123606839,2939135.9462375836,3169053.8408161066,3072196.767900124,3016053.898719728
P14678,-0.0077,0.0491,0.0074,101253986.57171072,99036893.75290407,94009118.9361157,89286517.79445224,94723341.55341142,101680188.56345393,97505319.30478686,85423304.96002021
Q96PV6,0.006,0.0495,0.0074,647021.8197501097,687580.950598193,701457.3732288925,704336.1815973722,660111.7762035027,695309.0057029697,700163.2818558251,679580.1605559747
P57076,0.0036,0.0493,0.0074,43429613.26347204,43052557.30804759,44435703.096068725,42778144.75968128,42146679.55777971,43779323.02486817,43383877.017454624,43779323.02486817
P61970,-0.0097,0.0487,0.0073,42075329.67984463,40207635.72481566,33363517.18377375,34473828.00566668,38229856.52441451,37762913.74571138,38408372.307488,33882827.127243206
Q9NY33,0.0051,0.046,0.0071,49046450.96414088,49046450.96414088,48021878.04623667,45340766.35189903,45340766.35189903,48093516.793167196,47940921.35593134,49625282.86919283
Q8WWC4,-0.0045,0.046,0.0071,6155256.982792814,6355016.6306720795,6306950.764009155,6066506.690582007,5885059.007187672,6367347.494563314,6294229.4021801865,6112335.95348779
Q9NUD5,-0.0043,0.0475,0.0071,4899235.564108472,4647458.719633622,4938253.339382529,4650121.205792246,4780565.01585959,4825950.37568555,4659819.493837411,4697949.712660372
Q15022,0.0044,0.0461,0.0071,4617719.30910446,4697949.712660372,4785094.381091802,4749693.70422272,4537069.849844664,4596911.337816176,4728504.79818171,4932394.799144114
Q9Y619,0.01,0.0462,0.0071,571468.0436553584,564469.6156761474,560592.1628937699,508061.18381507567,472106.0351057656,608926.8825300894,559801.419645962,566003.9477492573
O76041,-0.0054,0.0457,0.0071,9558035.597338468,9343556.264270552,9900459.53833286,10188159.251973769,10366688.986349078,9480574.073222667,9312018.47581809,9451213.256776692
P07942,-0.0055,0.0471,0.0071,13136228.756563114,13067066.926715499,14258984.564955162,14719269.519096242,13988755.751596345,13569322.173315799,13593095.43623669,13486958.209920015
Q9NRW1,0.0038,0.0454,0.0071,2590076.7889940976,2593262.647314337,2611507.4161487333,2645146.3042649287,2527560.211989458,2620264.209662935,2574191.067732408,2683223.6140206684
Q9Y399,-0.0069,0.0466,0.0071,7619273.488390108,8106801.907082169,7552236.745753692,7165321.761321361,6826842.2747128345,7658667.2093950985,7827702.254752531,7807880.327495023
P56945,-0.0204,0.0474,0.0071,4842961.119518406,4620705.974665952,5647044.0715696355,6207269.311304743,6595523.577900143,4224293.6036000345,4810116.481628633,5258442.500939094
P41091,-0.005,0.0484,0.0071,202970231.48971552,208372068.24339548,207864759.5439272,200182300.46152642,196659396.52287102,210108902.40248284,211207436.323688,193716859.68132132
P84077,0.0046,0.0459,0.0071,94009118.9361157,92459914.96850176,100197856.1625617,95487823.6166458,92990895.06321564,99182301.68413007,96864461.62980217,92034048.6874649
Q9NXW2,0.0039,0.0463,0.0071,2479166.7493041875,2525474.2302216566,2512394.699384358,2483205.349632753,2448373.5379490196,2513804.2312558973,2433751.723605349,2571754.644894648
P07099,0.0044,0.0456,0.0071,5572326.531885206,5746395.857741989,5916955.03125883,5632898.909931675,5421959.364139643,5802004.645558685,5760698.930426167,5816348.001742964
Q6ZNB6,0.006,0.0475,0.0071,1720823.0692381915,1747205.1340894003,1693705.5454621424,1583739.9239242931,1598947.9551494743,1678982.9975205974,1751439.1925056116,1704385.4145529277
O75165,-0.0053,0.047,0.0071,1772175.8297329799,1844579.4120646624,1772175.8297329799,1737718.147758452,1674926.6309738797,1814246.8569478863,1827491.6453222567,1741677.4040609237
P53801,0.0094,0.0474,0.0071,793643.9581493568,797042.4015119951,810045.1235637285,904315.383293256,724104.4091456803,832970.8768607788,911849.997508143,837673.9768871241
Q9UP83,-0.0063,0.0462,0.0071,1222708.3150222185,1279571.7714148974,1235419.4340899745,1201828.90936531,1124528.2860357976,1268083.2752960417,1221504.5441959775,1274911.647645309
Q9NZT2,0.0037,0.0472,0.0071,7159304.941042244,7107825.537557221,7330494.133194486,7509197.676930474,7364860.763767654,7174509.640785552,7138043.882578718,7330494.133194486
O95674,-0.0059,0.0462,0.0071,2330751.1691837115,2357656.207899176,2378050.414888322,2198578.6614463553,2127952.9914802196,2317181.899529166,2337222.3666067007,2390097.3491687896
Q9BZJ0,0.0061,0.0478,0.0071,8226637.197407667,8382087.145242438,9248519.645634914,8753074.263085648,8273789.3129116,8400285.844474357,8693550.606500624,9175903.382958476
Q9Y490,-0.0047,0.0457,0.0071,376296048.8168136,394200935.712143,381072642.8241612,381072642.8241612,358530882.07850504,387054971.80868953,376296048.8168136,396723671.19159245
