Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52
Q9Y6W5,-0.0351,0.6866,0.1742,34399577.502786025,32610640.69660526,33093715.515681833,33152051.419512253,32266169.238543086,33363517.18377375,32610640.69660526,31809292.320827316
P53618,-0.0458,0.6891,0.1742,31464032.155366704,32865216.20242669,33882827.127243206,33424758.48072392,30441599.101124197,31708492.412076145,32722958.200367704,32654489.082685366
Q8NHU6,0.0447,0.6879,0.1742,695309.0057029697,643262.3522393444,696989.0039376465,664493.5913224017,672778.767431879,699132.7682961546,702482.9965161638,709587.2639256644
P23919,-0.0326,0.691,0.1742,12533983.211062755,12659649.442853648,12220721.946812741,12129999.624420553,11839514.777726492,12164475.663275557,12138748.144896442,12290553.307804627
Q9UNK0,0.0529,0.6871,0.1742,591575.5946646599,604382.5494083649,586730.0144184508,614792.4446899015,606189.3750395414,584676.7429831221,643262.3522393444,655029.4246464842
Q8NDX1,-0.0496,0.687,0.1742,1354432.888699271,1292540.324882353,1398232.2932966575,1346062.4275576698,1225716.8217814218,1342902.2462922384,1316463.818105368,1325170.7553851067
Q13232,-0.0851,0.6869,0.1742,2387379.6719690524,2556671.8478406905,2137400.9285671655,2082052.8655538892,2183943.3294993807,2201269.9827845544,2097179.764612212,2127952.9914802196
P23396,-0.0637,0.6888,0.1742,68227836.80856906,72351885.08435836,70276232.25980565,66265730.78473813,61132307.99546613,65664086.46595823,68498809.08888021,70070627.00479116
O95602,-0.0577,0.6907,0.1742,7654360.876559639,7929444.883149541,8492719.203745078,8679922.976920884,7860354.835310983,7624174.452673067,7898004.778549102,8055236.91266301
O14975,-0.0554,0.6906,0.1742,4913163.128309703,4985383.88926925,5207599.28709188,4741611.299625473,4517916.479788106,4728504.79818171,5041725.565713911,4816451.67446285
Q14145,0.034,0.6865,0.1742,12786014.772458432,13686005.533469258,13096428.089482764,13242381.289911073,13517608.9631686,13580228.983014984,13510374.030582497,13446820.20034139
Q8IWS0,-0.0374,0.6895,0.1742,19020069.077095103,20432217.756797746,19987759.382647447,20031257.970557123,19122368.08824976,19113824.21670462,19479699.414478306,19703202.85074469
Q5VWN6,-0.0647,0.6922,0.1742,569990.164730405,560592.1628937699,592333.8917269588,597692.1006241763,605662.2719737444,518810.5063094672,555078.6968633159,542029.9858076418
P42285,-0.0344,0.6872,0.1742,66265730.78473813,67803716.14049326,70070627.00479116,69431536.38300173,65838143.5220482,66265730.78473813,66870220.5590099,68114819.56380334
Q99828,0.098,0.6919,0.1742,630077.8203357245,638350.8413408096,555976.7586325444,517667.6970786314,649997.9173208893,585603.3170574534,609994.6610305023,654260.7642952692
P52739,-0.0484,0.6869,0.1742,4947039.197658816,4947039.197658816,5219188.906463631,5331063.884613632,5050649.899665225,5021649.136148145,4992873.243303354,4701551.629155318
O15379,-0.0392,0.6864,0.1742,3781476.4668799057,3696601.330313037,3882227.924288092,3710448.751289349,3683061.4311267515,3773832.6039558663,3693311.43271013,3518825.057683693
Q7L9L4,0.0385,0.6911,0.1742,45404595.57904465,44557089.43433402,42840699.47869114,43333508.6971311,46281924.49339895,44907499.57204528,45834975.9276032,43861325.02939148
O75643,-0.0349,0.6897,0.1742,188955579.71284333,194967634.61948738,199009272.31158686,194967634.61948738,184739992.02038503,193716859.68132132,188955579.71284333,191904745.94779527
Q6EEV4,0.0693,0.6892,0.1742,2241368.532658009,2171416.988325803,1986302.484438597,2028237.25194357,2367638.26864963,2092111.743590386,2147204.0840067477,2234127.0802867827
Q92598,-0.0334,0.6881,0.1742,110059051.52737981,113738099.33631675,112683997.58675203,111363250.05406317,105819907.43698072,109771782.68101336,110353302.16870958,111707010.6311597
Q9UHV7,-0.0725,0.6871,0.1742,1899174.1463544748,1973411.0203986207,2192948.544144037,1991159.9681932237,2032184.2912147627,1829014.3328999395,1977544.8442517258,1821112.4526736261
P50851,-0.044,0.6884,0.1742,50162966.434119016,53102979.713794455,52720782.94974613,53318702.227648914,49777871.97403641,49587484.99404891,50366759.22134507,53318702.227648914
O43772,-0.052,0.6872,0.1742,4361275.659973243,4453780.199135601,4552796.35854622,4441748.326156181,3968645.6969243684,4405973.294739782,4417317.160539893,4402636.794160965
Q6VY07,-0.0354,0.689,0.1742,7668563.063696806,7561245.152552455,7807880.327495023,7945031.561553052,7713312.011962825,7654360.876559639,7522271.616918544,7342721.34342463
