Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
Q00535,1.5578,inf,inf,5210621.426298496,5372806.201772097,5162165.769889298,15214306.832223278,15263524.737816244,15598475.93289635
P25098,1.4113,inf,inf,7676466.785671365,7970726.359421771,8265670.310605117,21372401.3655182,20956824.32424061,20882510.823356576
O96013,1.8871,inf,inf,5739081.772844824,6039891.279455442,6221495.3661136115,21893501.770638775,23102651.75609328,21174425.626139577
P17612,1.2388,295.2643,292.0879,19974258.202212226,20694848.193958346,20320024.700137895,47852192.43077227,48603435.245936856,46606322.98920865
P36507,1.5644,288.8933,285.8137,17606585.937372927,18302262.783142824,16826514.766002703,50450752.770210266,52720782.94974613,51865039.22651726
P49840,1.1877,280.3121,277.3117,11358712.42035084,11475228.69296178,11287539.652232902,25940175.23956551,26204721.85393736,25111840.067064017
P15735,1.4017,251.0428,248.1094,3543407.3094943147,3767355.5614687195,3579143.6568544344,9564903.54862565,9780561.691847537,9254514.138530428
Q86UE8,0.9843,217.8857,215.0103,10247150.365317488,10338249.789732367,10482505.780794056,20712402.924377903,20359735.595645465,20014640.684572287
P22830,1.1821,216.3836,213.5593,34473828.00566668,35250119.43761672,33248228.302052207,76472459.0303478,78923473.16609992,76852958.89453478
P41240,1.1943,215.0871,212.3085,18659587.400740534,19492036.859532148,20194752.791402936,44907499.57204528,43553935.20607079,44223745.72640688
Q13043,1.0387,205.4704,202.7333,9746421.601880744,9909057.765648833,10338249.789732367,20468786.80689382,20320024.700137895,20447488.122777075
Q96SB4,1.0423,193.3831,190.6838,18103469.5233741,18512819.39194737,18152687.76652204,36438316.99479982,38452657.44987408,37224763.05679203
Q9UKI8,1.1523,193.017,190.3525,2016902.8872707752,2132593.7885319423,2147204.0840067477,4657447.77073629,4673319.557099267,4578915.6876751
P50750,0.9434,189.4605,186.8281,6384474.290734429,6494807.025037305,6581541.5245704185,12477379.62692181,12554377.068614114,12164475.663275557
Q9NWZ3,0.9224,180.9255,178.3231,6887838.999358365,7150708.043527325,7150708.043527325,13346970.223742204,13270282.522254266,13295530.712036882
O14965,1.1236,173.3468,170.7724,3981780.9348748024,4108971.1489101294,3937755.077850141,8514981.589873897,8998642.388652233,8537218.54059528
Q9Y6E0,0.8955,146.7211,144.173,18722453.620268922,18206617.227095872,17888641.93954833,33922604.84820476,34051749.57831658,33389020.83917226
Q96RR4,1.0263,146.2802,143.757,2643524.853824121,2595797.7314045257,2792803.1721792095,5428810.970967232,5499505.497215663,5331063.884613632
Q9NSY1,0.9489,137.9902,135.4905,12542293.677743059,12716826.381952243,13209336.897486804,25448705.204169523,24366232.273412906,23989944.596178498
P24941,0.7487,124.5236,122.0461,25126483.646400504,24873362.924821783,24563825.94914359,41727456.849485256,41906178.79873403,40902092.90417063
Q15208,0.9034,123.5173,121.061,4792213.423532451,5091428.1161248945,4838663.898283699,9054282.125231799,9209720.992418287,9106912.108845104
Q8N5S9,1.2422,123.4274,120.9913,696989.0039376465,699132.7682961546,739438.0202382093,1704892.3771046253,1733527.545186444,1582634.6190790972
Q02750,0.9361,114.1894,111.7726,33305785.690379433,32088125.54407977,33217660.66257226,61857192.079217575,65505488.73469359,60180201.440188
P49841,0.9179,109.5746,107.1763,1484929.5235275675,1520148.2011562532,1541348.9247446347,2748831.112360255,2878297.528623781,2910213.9321087734
Q05655,-0.6606,108.3188,105.9382,18827729.432835605,18827729.432835605,19312752.774078988,11925825.445714716,12048458.987310607,11844857.036141943
Q9Y2H1,0.8258,99.7316,97.3681,1019583.7750994925,1011302.4026248814,1037258.2059370644,1836687.6631918943,1791982.2294290601,1776597.1114338683
Q2M2I8,0.8681,93.1757,90.8286,3008559.378174407,3159454.5247164266,3298660.427108223,5802004.645558685,5733961.471656002,5636141.494217388
P23443,0.6965,85.1728,82.8414,3392836.17567115,3395975.5234402893,3356626.097254752,5564949.095018196,5463858.30566108,5313510.953249813
P45983,0.6325,82.4032,80.0871,7006827.215843857,6978604.300423112,7274980.548801201,10808094.214042963,11039568.826888775,10909201.41272125
Q05397,0.6123,79.5657,77.2643,21092335.440129925,20932784.10371212,21658570.948284578,32722958.200367704,32468042.245757032,31564522.264649317
O75116,0.6041,79.0917,76.8045,41242473.0843282,42452180.7350482,43333508.6971311,63893248.22980471,64570060.81084667,63436318.43473126
O14976,0.5517,78.3958,76.1224,14145574.648064353,14062215.666459592,14131775.501817405,20370876.48795537,20744137.23721106,20570200.78160346
Q00536,0.7347,66.9321,64.6721,4278715.043524026,4296122.230915034,4419803.623761869,7374303.53499256,7318657.850377621,6799502.5861983895
P49006,0.5741,66.7878,64.5407,55166739.11321122,57515292.762735955,56467029.37365853,82073826.9917845,84564580.63830283,83649041.30749568
Q8IW41,0.6667,65.6604,63.426,1613582.4196718743,1690655.6110848845,1690655.6110848845,2643524.853824121,2593262.647314337,2643524.853824121
O00506,0.7384,63.3814,61.1592,1099761.068050148,1077932.553155023,1078528.1341438359,1742983.7760112246,1804162.829420804,1852335.607331222
Q13627,0.557,58.3294,56.1191,8591366.935719037,8537218.54059528,8614064.108967558,12538137.755865104,12895726.26753648,12209800.228718454
O14733,0.8813,57.5601,55.3614,1960155.9377136219,2160698.433379066,2260517.8669957505,4000870.717213265,3810399.9917100375,3869910.4714180497
P51812,0.6179,53.8178,51.6303,15878581.604827004,17146546.31606492,16920660.97451785,24942177.587736074,25508426.278383594,25725835.560397778
P13861,-0.5589,52.081,49.9045,19281072.27012299,19685022.694964167,19392616.328101195,12668724.816078251,13442303.345150476,13262854.616256224
Q13188,0.6198,52.0019,49.8362,4580810.875682728,4490689.087427073,4801438.206944252,7282247.432006147,7016436.735893976,6887838.999358365
P49137,0.4594,50.6018,48.4465,6139997.340390325,6207269.311304743,6230155.924901676,8374896.9612391265,8486890.012417817,8525778.89092561
O96017,0.6236,50.0115,47.8664,6907580.933641982,7347221.611118432,7585429.39499363,11197565.58185394,10992244.167511608,11250136.030190108
O15530,0.5976,49.8541,47.719,3190697.860399465,3322477.5026514037,3390594.8193819104,4823177.587950067,5069311.334958636,5001543.134447904
Q13523,0.4756,49.2418,47.1165,40839282.383093014,41009108.63175528,42582377.907940984,58139225.6211507,56779346.94398754,57037396.30343333
Q14012,0.9071,47.7408,45.6251,341430.3900556046,315873.2563900867,315873.2563900867,592333.8917269588,602826.8789730794,618851.5749019969
P53778,0.5274,45.2206,43.1142,3453678.28649993,3528334.0111810155,3543407.3094943147,5016238.142300085,5175734.168050356,4886618.274405093
P33981,0.434,44.8038,42.7065,5732145.064707778,5846492.888580106,5785400.483609779,7802582.847359942,7782823.989989885,7731060.943671033
Q6ZSR9,0.5102,44.576,42.4877,3862756.378667463,3727749.150371444,3832444.3969298187,5484320.260385949,5421959.364139643,5264008.4709006
P51817,0.8282,42.7849,40.7054,274067.1880134909,281027.8083598651,286515.83108751697,476161.0244745994,500836.4162054631,508061.18381507567
Q13555,0.9343,42.6424,40.5715,7552236.745753692,8942121.079865811,9071091.775835942,15129346.530877197,16807025.68824376,16610701.195784304
P49336,0.4651,39.7561,37.6936,3560341.67956749,3511880.733838507,3639561.772235616,4989698.93784252,4904781.202543861,4801438.206944252
Q96GX5,0.5383,35.5283,33.4741,2142793.4046514262,2203233.545591571,2324287.207485206,3159454.5247164266,3281788.0804652497,3186046.075286681
P53350,-0.5051,34.0893,32.0432,11212559.22713622,11575765.455025539,12028946.496306801,7834624.120940954,8300625.297064841,8246388.558728264
Q9HBH9,0.856,32.4629,30.4247,279855.2137357328,271241.2081313585,310235.05773076747,499785.93983645644,531783.5372772452,517667.6970786314
O14757,0.3985,30.9852,28.9549,13252598.704850823,12885450.663720053,13657962.764121769,17244028.305756506,17444759.471635435,17444759.471635435
Q04759,-0.5304,30.9073,28.8846,2300628.4860610776,2252560.5558116618,2280828.704001558,1492712.5775646146,1602364.685060648,1607761.4797733296
Q15418,0.4767,29.1347,27.1196,23271357.582632724,25034082.5732552,23568486.172069248,32241276.979552966,33248228.302052207,33922604.84820476
Q9BUB5,0.5126,27.8922,25.8845,1746347.216695468,1777702.4045403467,1918419.6227271205,2620264.209662935,2547906.119222018,2547906.119222018
P05771,-0.4921,27.1899,25.1895,39926539.20091039,42035205.78208103,42246200.80282797,27675421.42701238,29794827.106234603,30299332.596263167
P55263,0.4617,26.6573,24.6641,57242071.259090625,56779346.94398754,61921963.79101732,82743248.32192492,79253589.91135667,78800011.25755449
Q9H2G2,0.3208,26.0516,24.0655,47256722.54675127,48603435.245936856,48093516.793167196,59805849.79510685,59173116.728098065,59728457.1452472
O94804,0.6633,25.9182,23.939,669906.0288607262,630077.8203357245,647912.9374066701,975772.0406951148,1099761.068050148,990776.4076488158
P45984,0.375,25.3527,23.3804,4118954.331842574,4070128.1260241116,4263947.694183955,5425866.233782203,5380494.907993498,5244188.089823408
P31323,-0.3679,24.446,22.4804,10511604.831635237,10582886.992776148,10271943.52578822,7866270.026281688,8141450.326965435,8152615.813973707
Q8IYA2,0.4328,23.2632,21.3042,2220171.110601416,2214666.00365634,2201269.9827845544,3102114.355938381,2932166.2417868073,2869426.560165147
Q13464,0.4001,22.5509,20.5984,31564522.264649317,31809292.320827316,34430877.16851065,43052557.30804759,42362150.98982689,42840699.47869114
P11802,0.3682,20.0765,18.1305,4966732.682385237,5132944.2125004325,5372806.201772097,6554773.4166326765,6575587.782662687,6716710.419366168
P41743,-0.4359,19.4905,17.5508,16320455.077416252,16082955.351151764,17856985.019208353,12524839.671168158,11870548.145820837,12524839.671168158
Q13131,0.2933,18.4302,16.4967,30547332.741913106,30398874.838079274,32018203.353897594,37702917.24876825,37908822.51760179,37607466.39805735
Q9H2K8,0.2993,17.7897,15.8625,26132658.98793571,25743671.212499715,27368494.678360716,32292288.94431401,32241276.979552966,32378137.19613281
Q9UBF8,0.3693,17.567,15.6518,8670353.11381301,8551772.420866627,9276740.984978188,11683031.614118727,11276999.566753943,11057575.139333228
Q96RG2,0.3315,17.5706,15.6518,1549712.5930857908,1612013.3376886258,1596081.8645756915,1964361.552400513,2005249.30231945,1980821.9692848977
P19784,0.3872,17.3805,15.4712,9787585.333609547,9796017.428589625,9796017.428589625,12095745.129076913,12668724.816078251,13425520.63033021
Q96S38,0.3291,16.0815,14.178,3854432.172306922,3817928.6472863294,4070128.1260241116,4964466.403501864,4932394.799144114,4763557.424627851
Q9UHD2,0.4383,15.613,13.7153,3211277.0345150265,3676113.95904703,3507999.034410952,4745397.435783636,4732057.160419113,4522438.364270705
P78362,0.2872,14.3766,12.4846,5091428.1161248945,4932394.799144114,5084237.979779767,6066506.690582007,6282317.6042841375,5974673.727240208
Q9BUL8,0.3008,14.0347,12.1482,20495946.22748912,20135356.501552746,20150536.574636027,25637011.297945116,23828890.106958285,24952639.38422463
Q9NYL2,-0.2855,13.9782,12.0973,6403402.163031995,6459121.10701605,6835008.588647997,5322103.771757331,5360773.68624696,5377803.422665403
Q96C03,0.3525,13.6432,11.7677,16074123.547693241,16633860.013212204,15115083.048914026,19658066.986014385,20570200.78160346,20468786.80689382
P68400,0.2219,12.1563,10.2863,23019494.06992427,22846298.07884974,22731447.977976784,26680736.024615303,26788491.734614685,26048551.247316495
Q15334,0.3119,12.0056,10.1409,1379653.5870848775,1458598.2928612863,1444729.9223439067,1811535.4530878365,1737718.147758452,1734792.776000395
Q7Z7F7,0.3379,11.5794,9.72,1808536.4070145378,1779694.0551059663,1806547.9912011314,2168205.335498277,2221224.248559806,2387379.6719690524
Q92844,0.236,11.5423,9.688,9680215.135550773,9362115.026616847,9343556.264270552,11140691.288432937,11114713.45977715,10974997.079012614
Q9NYV4,0.2276,11.1334,9.2843,38098893.167788096,37908822.51760179,38284369.1770208,43144325.27429217,44610946.43907088,45255581.84265013
Q8WWW0,0.2751,10.6826,8.8386,2132593.7885319423,2122991.55247635,2037448.3410638408,2480347.9167451,2569202.723107448,2520160.7339763925
Q16512,-0.2471,10.6679,8.8289,8190128.6322488235,8564732.161442537,8644676.94431549,6943749.490655632,7231296.246101368,7095409.259960502
Q93100,0.2897,10.2016,8.3676,3346688.906529166,3443754.0746360933,3411076.5712385974,3916813.730814858,4227984.713749761,4248998.783712383
Q7L7X3,-0.2207,10.0012,8.1721,19340528.19564469,18978540.450419184,20014640.684572287,16826514.766002703,16357247.558931803,16568248.828398677
P14635,-0.2006,9.6419,7.8176,39116151.77617904,38229856.52441451,38765045.164664894,32865216.20242669,33817275.79446857,33741194.66875754
Q9NVS9,0.3451,9.2678,7.4483,9279886.245677538,9154066.678908877,8293408.357590518,11371886.979033552,10682480.44290799,11695677.338901715
Q9Y2K2,0.298,8.5663,6.7516,4537069.849844664,4627626.829673706,4596911.337816176,5387784.662362337,6030483.685619527,5398731.473665681
P54619,0.2785,8.4244,6.6144,11317065.092310121,11430327.307993593,12708186.306944838,14062215.666459592,14365779.090496942,14308097.810609639
O14578,0.2639,8.3187,6.5133,9917412.960256405,10113876.070783334,10992244.167511608,12663179.152209407,12134373.096230788,12220721.946812741
O43615,0.1708,7.8808,6.0801,58139225.6211507,58070635.23550355,57326359.179266006,65188921.43755118,65031374.00213793,63950756.51520921
P46020,0.233,7.7962,6.0,1166976.3152687072,1200175.4302201644,1183743.8748718547,1385199.537235925,1355005.502959321,1407596.3816939332
P16219,0.2055,7.5741,5.7824,4707461.874841022,4617719.30910446,4788403.14490609,5377803.422665403,5264008.4709006,5532852.872414947
Q9Y388,0.3439,7.3618,5.5745,447021.9196791741,468567.0952213966,488257.10078548203,604382.5494083649,608058.6755993125,558297.5966193042
Q10713,0.3812,7.3026,5.5198,20022947.534309763,21122344.18573748,25145957.619043324,29296199.400588147,27443063.606909372,29037942.536521707
Q9BW91,0.1734,7.2702,5.4917,25659197.77436312,25484505.080503665,26602723.20665814,29367892.03498944,28802779.414945822,28964278.858481746
Q9GZM8,0.2427,7.2584,5.4842,1700189.8832547045,1674926.6309738797,1725341.7215456157,2092111.743590386,1966604.7746441015,1939257.1497777952
Q15036,0.228,7.2361,5.4662,2792803.1721792095,2980244.7604351756,2968377.590457827,3307216.5207387917,3455861.2620645487,3412415.6631182423
P61962,0.2754,6.7616,4.996,23475048.618206985,23355174.846468717,21228968.828661915,26554718.130581446,28734752.756425124,26602723.20665814
Q9NRV9,0.2232,6.6566,4.8951,3026656.856532993,3031119.5631946335,3048957.7117376775,3680532.3978401464,3518825.057683693,3366789.1208934356
P27361,0.2999,6.5246,4.7673,2189592.5189832193,2382657.743448906,2100250.398297969,2592384.8188223876,2824079.7320133545,2748831.112360255
P48730,0.2035,6.0879,4.3347,2597467.1627872884,2636862.805752995,2641628.775169492,2881827.7580868625,3046624.190690658,3085090.4566963217
Q9Y478,0.1856,5.9038,4.1547,8091012.553419433,8011427.230341541,8309304.984659944,9558035.597338468,9027158.199891772,9007393.011769699
Q99541,-0.1655,5.7401,3.995,3294492.884191673,3341306.7377916877,3419035.614368729,2926806.6880494743,2989662.689522095,2993641.805393507
Q86VM9,0.3358,5.631,3.8899,32348250.2121774,31962387.23981421,33817275.79446857,46930099.391150355,38058052.17357007,38098893.167788096
P31943,-0.1701,5.6128,3.8757,163304241.31956598,165633768.42676628,165633768.42676628,141343397.30551305,144892342.48232815,150650289.0388314
Q14457,0.151,5.6033,3.8701,4349035.848166826,4246343.796100717,4328681.434771582,4732057.160419113,4776184.840652933,4754624.707636311
Q9P289,0.1699,5.3951,3.6658,10424417.683449024,10770783.32085028,10951128.65480901,11647143.92949571,12268786.63632485,12026458.411572441
P53567,0.2042,5.2364,3.511,4713354.557215779,4441748.326156181,4337728.36062719,5240005.371550047,5186122.271992168,5025974.671254346
Q16799,0.1567,4.9327,3.2111,2569202.723107448,2501843.629214025,2515170.4285006677,2836704.142199256,2802491.50651688,2766660.194292425
Q9UKL6,-0.1572,4.8031,3.0853,12360933.97838046,11985780.143837132,12871444.825228624,10992244.167511608,11078083.791462414,11100674.695496345
Q6ZNE5,0.2498,4.7664,3.0523,1227291.1252079357,1384303.328280805,1236671.5737157175,1483589.8375632984,1538347.5508232363,1526487.007917107
Q14498,-0.1965,4.6112,2.9008,28734752.756425124,29869373.24870937,27240980.382295523,23915449.47025366,25201013.1603253,25353451.033458307
P51617,0.2361,4.5869,2.8803,688773.7378888848,749237.934167509,764138.9954024254,852831.0267409765,846106.6863724767,878660.0652802852
Q9NTZ6,-0.1292,4.5701,2.8671,55977313.73219379,54779613.45095386,55453733.52592618,49625282.86919283,50619632.58103954,50810377.60523843
Q6ZXV5,-0.2336,4.5005,2.8011,1940461.205793051,1823551.8746714653,1733527.545186444,1496318.37224658,1603281.853726381,1548491.421541751
Q6PKG0,-0.123,4.4405,2.7447,53163177.88425876,54136356.56108855,53251613.38096859,48441954.190884955,49046450.96414088,49046450.96414088
P48729,0.1532,4.356,2.6639,6896720.309290446,7219183.77628529,6826842.2747128345,7702616.622116044,7791694.704874294,7654360.876559639
P17252,0.2042,4.2769,2.5883,3002846.295641872,3270136.3041996346,3012729.3648889377,3395975.5234402893,3600873.1072911303,3636403.1193145323
P49756,-0.1278,4.2452,2.5601,34932471.68472276,35135203.53020047,35206237.29387827,31224970.433995757,32544361.862227388,31996932.79164088
O60678,-0.1334,4.1872,2.5056,20093386.809597105,19854096.30910551,20849085.665114824,18083926.20758692,18567237.678587824,18434865.693720892
O60563,0.1282,4.1589,2.4807,13346970.223742204,13360617.389483357,13029601.273204489,14279602.36176175,14415177.643380955,14474614.099875629
P06493,-0.158,4.1444,2.4697,38816555.06411375,41133699.62546106,39735764.6163691,34318506.879000284,35917399.15826793,36384733.04765226
Q02127,0.1195,3.9946,2.3233,7731060.943671033,7796241.174659775,7796241.174659775,8506483.512033349,8309304.984659944,8367252.027195051
Q9BVS4,0.1408,3.9273,2.261,9642517.242697265,9617409.312523462,9424639.862422379,10179859.189327458,10750265.911333548,10504580.548023958
P28482,0.1096,3.9256,2.261,204915050.54311165,203908106.375977,203908106.375977,220481222.25968283,217724957.47434434,218874721.18919396
Q8NEB9,0.1333,3.8866,2.2253,8281890.055714186,8400285.844474357,8753074.263085648,9154066.678908877,9388336.35887834,9184150.927352512
Q8N5F7,-0.1392,3.8184,2.1604,2337222.3666067007,2258856.7946032123,2339467.360267709,2077157.641557226,2112348.8913350753,2069752.6282721786
Q96GD4,0.2914,3.8038,2.1524,418889.155613028,458717.59809219977,430752.8302178967,496326.238575154,580649.7171447518,514604.4367486723
Q9BZF3,0.149,3.8062,2.1524,1697535.565050421,1747205.1340894003,1797629.1579711072,1902623.602912622,1932697.5023391154,1941807.2087288185
O95782,0.1184,3.7275,2.0793,81470748.66928504,82447962.74968795,84564580.63830283,87867327.56105918,90776549.79155852,89433972.89270225
O75167,0.1456,3.6344,1.9916,2179628.273967694,2213076.1451186417,2314777.0902294433,2501843.629214025,2450604.9118084647,2421807.324191121
Q9Y4K4,0.1918,3.6334,1.9916,864089.9342767077,865577.8045601888,814889.5870676022,982174.3018531981,975772.0406951148,931082.8548914843
Q15506,0.1668,3.6287,1.99,2404164.0130916936,2476393.179084185,2573270.144625525,2884427.457850815,2680669.370679207,2750586.6474506827
P28799,0.1435,3.5255,1.893,2936708.664785582,2924537.2820086656,2981126.8001788314,3244071.9350542263,3344534.0907095033,3119325.8797353623
P31749,0.1633,3.5254,1.893,2276658.9860500577,2234127.0802867827,2105949.9952380825,2466626.403196131,2448373.5379490196,2450604.9118084647
O75439,0.1271,3.4967,1.8674,11695677.338901715,12246649.604818547,12441369.198495205,13057059.615802014,13178882.529381359,13252598.704850823
Q8WU10,-0.1607,3.4745,1.8483,997720.1389575965,972527.4528379021,986614.9617386542,867592.9294000737,862694.3189791775,898856.8388009645
P54098,-0.1851,3.4712,1.848,1287569.627591039,1216820.5480301834,1289621.3476104678,1063633.9267239594,1157387.4059336202,1095744.418948643
Q9BVC6,-0.1834,3.4403,1.8201,4861409.62218444,4447520.177354425,4867220.554227723,4354036.225210277,4042953.1920686984,4010766.703857425
P46019,0.2072,3.414,1.7969,339269.42629359744,356074.54285959015,356074.54285959015,394527.7244426392,401866.7695497489,409985.9344767734
Q96DB5,-0.151,3.3535,1.7393,9388336.35887834,9527770.552476823,9023920.267994309,8044870.90657007,8339619.842825329,8628564.36095465
P27986,0.1744,3.3322,1.721,1527800.2161303456,1547121.3073535464,1588536.8317152306,1806547.9912011314,1643929.3750892268,1779694.0551059663
Q96C57,0.1181,3.3145,1.7092,7663395.696738214,7412933.095976661,7399174.281476404,8100159.692770035,8063800.5220987545,8082670.864462708
O43768,0.1566,3.3148,1.7092,182053831.1060926,176643758.0970409,166247380.74585003,194967634.61948738,188955579.71284333,197727286.93836784
Q00537,0.1723,3.3115,1.7091,776351.7595446076,754785.7394169652,753958.432000558,883731.393810685,845365.6930510659,830350.484593479
P52597,-0.1247,3.2681,1.6685,462959365.15879035,474592983.2933233,457400626.21336883,411687047.9584816,430020590.3378688,430020590.3378688
P0DP25,0.2034,3.228,1.6313,123577552.0874391,122328241.37662037,113946022.13668028,146828101.31733102,125677506.37899382,139351323.14128965
P14209,0.2182,3.2174,1.6236,1229375.2540836798,1229375.2540836798,1125281.2660287016,1444729.9223439067,1420648.7922124306,1279571.7714148974
Q15555,-0.1653,3.2049,1.6161,13136228.756563114,13309040.31764516,13020059.448908428,10861725.17679405,11941398.58361196,12176883.774830721
P32856,0.1233,3.2015,1.6161,2593262.647314337,2573270.144625525,2683223.6140206684,2866909.533916807,2842019.928011357,2788566.4512772406
Q9BQG2,0.1162,3.2017,1.6161,3298660.427108223,3361256.851085303,3272749.1361336885,3560341.67956749,3586345.350757766,3553877.7888892107
Q32MK0,0.208,3.1895,1.6069,882891.1462678665,914555.5207098052,985362.4710410291,1120640.6110676602,1010020.4058878006,1063633.9267239594
Q9P0K7,0.1113,3.1267,1.5468,49549715.9082495,48880990.712886184,48268714.85383377,53585121.86002918,51989613.70828911,51933321.75017355
Q9Y6E2,-0.1387,3.0778,1.5006,35948463.42792019,36776932.08462685,35948463.42792019,31058315.735396147,33389020.83917226,33666801.98386219
O60502,-0.0958,3.0564,1.482,33970408.00107916,33718109.17206205,34567173.35929529,31859358.231303014,31587171.28692489,31654629.63338085
Q9UKD2,-0.1211,3.0419,1.4703,11657516.5333291,11615479.776525494,11889321.665650608,10338249.789732367,10835641.787544396,10959052.005643314
Q13144,-0.1189,3.0293,1.4622,8833976.65997861,9132304.47646673,9325313.136226838,8279064.914937545,8206554.1769976085,8492719.203745078
Q9BYW2,0.1379,3.0285,1.4622,12454456.764178235,13004192.755925516,13451338.6665143,14415177.643380955,13686005.533469258,14446450.904592196
Q5VVQ6,-0.1433,3.0253,1.4617,11327892.234208638,11257341.817427492,11379574.592666723,9657736.425482662,10260378.810051572,10647143.286562901
P20248,0.109,2.9758,1.4174,26863893.497238338,26621281.94573183,26383329.239617486,27935397.63301453,29156876.29782227,28522056.47870562
P31751,0.1041,2.9768,1.4174,13840916.971313216,13709077.899639368,14325799.301922895,15007504.450396147,14849301.566475874,14877229.902624248
Q14004,-0.14,2.9653,1.4095,975772.0406951148,971902.8528496637,975772.0406951148,897704.131989834,863375.453039425,875913.148268248
Q86WR7,0.1205,2.9491,1.3959,3557328.191927193,3504486.7768010115,3447708.1400709213,3721694.953677201,3867505.921778104,3767355.5614687195
P61927,0.1037,2.9397,1.3891,31708492.412076145,30981105.95093976,31058315.735396147,32985232.999470215,33922604.84820476,33217660.66257226
O95747,0.1039,2.9192,1.3711,23355174.846468717,23828890.106958285,24581707.56466876,25659197.77436312,25448705.204169523,25541794.627267968
Q9UQ13,-0.2065,2.9154,1.3699,5739081.772844824,5327429.663588418,4761807.173326446,4617719.30910446,4549208.413970744,4471437.375747163
Q8WYQ5,-0.1146,2.9105,1.3675,4258289.75344174,4243699.203728691,4151486.827498708,3805796.8678523414,3905493.2865853347,3905493.2865853347
P30260,-0.094,2.895,1.3546,22264599.272472236,22323541.7365696,22541115.55252703,20727006.72516858,20727006.72516858,21055349.10059788
Q8TD19,0.1657,2.8601,1.3222,8216090.82853035,8591366.935719037,9084151.399458794,10194135.507533528,9154066.678908877,9513836.160993192
A0AVK6,0.3072,2.8482,1.3152,583782.464239475,613747.7649100086,566770.7461633385,631296.4794127302,697922.1626445549,840483.6737099309
P16383,0.1488,2.8491,1.3152,4710630.071161676,4798709.604992542,5130832.899295509,5392099.320483575,5584116.423497967,5154106.652074577
Q92930,0.1129,2.8371,1.3065,7198802.411753977,6969056.014270557,6882789.131484217,7575726.202364818,7566193.8037631465,7484942.278269883
Q9BSH4,-0.1274,2.8335,1.3054,5795446.681797072,5863906.950335125,6128017.642086872,5247301.113700048,5370424.729032414,5564949.095018196
P10599,0.0962,2.8301,1.3044,229411542.60645935,225579280.3270996,227436840.2193475,243998199.32086593,238266411.87449247,242780274.69471607
Q15170,0.1333,2.7952,1.272,1316463.818105368,1257677.590806632,1272803.8994034303,1383407.6991630832,1394977.6721937095,1415546.960015175
P82979,0.114,2.7861,1.2683,116025312.31221165,110585240.87682179,117623264.85645586,124198357.2062741,125150833.63414295,120908843.5862179
Q8TEQ6,-0.1296,2.7872,1.2683,25964739.94299453,27949394.638511043,28065379.465714056,24394870.010321446,24676791.49477696,25401905.364828255
Q13177,0.1003,2.7844,1.2683,143157815.15299755,139351323.14128965,141741203.20782164,150952925.92271543,153241733.48834035,147843947.2861004
P22626,-0.1004,2.7557,1.2444,618080774.6782466,631998165.588089,645662640.0512671,575944358.522237,590778322.8315948,590778322.8315948
Q5T7W0,0.1535,2.7574,1.2444,3267503.2266437225,3344534.0907095033,3488156.405705485,3614566.8696819306,3953472.0923695364,3596760.3846828383
Q96NL6,0.1099,2.7319,1.2229,15700429.28075081,15658245.36425007,16463689.237091055,16762660.616195908,17154408.434667148,17370547.005243536
P51991,-0.0975,2.7248,1.2181,119548714.82976137,123221014.68177792,120096954.01990254,112254573.9781606,111534791.10067444,113313712.77184933
O60506,-0.0966,2.7034,1.2014,208372068.24339548,209193393.51403302,204915050.54311165,191904745.94779527,195893691.86029944,190861343.21154836
P09496,0.1494,2.7055,1.2014,154682859.62395418,147843947.2861004,141343397.30551305,166247380.74585003,155491392.63588428,167614676.8005985
Q9NQ29,-0.1166,2.6928,1.1931,15233647.26686342,14931730.611072423,15647615.830577102,14359935.467290537,14138489.786259338,13499040.503467998
Q14191,-0.1074,2.6903,1.1928,3105665.1772024534,3181715.8770112935,3102114.355938381,2878297.528623781,2919132.9737500194,2865812.1393321664
P51397,0.1363,2.6261,1.1376,33389020.83917226,31749932.303118885,30151963.125998992,34668299.801159345,34668299.801159345,34775171.64688837
P0C870,0.1565,2.6275,1.1376,889743.5107087649,901795.5841871043,912664.6769772858,1052700.333536395,966444.2791938521,976460.3649691263
Q96GG9,-0.1027,2.6296,1.1376,16610701.195784304,16438280.724240197,15968688.344595496,15093828.904371772,15129346.530877197,15153113.731666647
P67870,0.1334,2.6282,1.1376,29742790.847929463,28522056.47870562,27060255.587021355,31406951.945703298,30794566.42582357,30836241.582521554
Q9UPY8,-0.113,2.6181,1.1319,13122182.634532008,12764298.353688268,12477379.62692181,11526725.051610664,11925825.445714716,11809042.441186527
Q9ULR3,0.1355,2.5997,1.1156,5313510.953249813,4886618.274405093,5054494.308237499,5499505.497215663,5728264.979442714,5428810.970967232
P46940,-0.1307,2.5843,1.1025,116681831.02015504,117131115.248463,121106847.6821083,101253986.57171072,110882411.64287709,110059051.52737981
Q8WXE1,0.1267,2.582,1.1024,2530808.068902558,2517003.252341099,2604899.2976342747,2869426.560165147,2772681.8233372006,2661866.634276433
