Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
O95218,0.0435,0.6832,0.0831,51685619.1682678,51685619.1682678,54609402.26932157,54609402.26932157,53953772.42201059,53251613.38096859
P41440,0.0467,0.6804,0.0831,1745140.9587319223,1733527.545186444,1791982.2294290601,1822331.749172436,1779694.0551059663,1808536.4070145378
Q13435,-0.0381,0.6823,0.0831,216259578.10273933,216259578.10273933,218874721.18919396,213655632.5458872,206803969.95355982,210108902.40248284
Q14690,0.0601,0.6815,0.0831,816670.8115389145,767497.034201666,802312.0445335748,819699.65777057,830350.484593479,822751.6562364518
Q68D91,-0.0501,0.6808,0.0831,4475324.768489245,4816451.67446285,4643194.162298214,4475324.768489245,4421492.711196933,4480891.832586064
Q96LJ7,-0.0706,0.6806,0.0831,734661.7309446847,715154.9630673818,709587.2639256644,689462.313693508,647021.8197501097,707289.3389486156
Q9Y294,0.0413,0.6804,0.0831,14986082.364860857,14778160.023359187,15430323.041759284,15520812.527456762,15571216.030907277,15129346.530877197
Q92585,0.0607,0.6822,0.0831,986614.9617386542,988764.4376579865,1052700.333536395,1076357.991145411,1037258.2059370644,1025141.5230225144
O00429,-0.0453,0.68,0.0831,23814475.355688132,24843829.911350682,24676791.49477696,22879243.745130844,23814475.355688132,23941301.722512998
Q8IU81,-0.0484,0.6807,0.0831,4218401.634048782,4389091.482053269,4537069.849844664,4253384.123236374,4218401.634048782,4160477.2808424514
Q92817,0.0746,0.6843,0.0831,699132.7682961546,666920.9436943919,644585.7592897733,704336.1815973722,727661.6637721064,672778.767431879
P62805,-0.0571,0.6834,0.0831,320315650.84175783,309812881.6474046,292130137.48866314,297978120.1733169,285246139.4173963,297978120.1733169
P63173,-0.0522,0.6833,0.0831,18292722.485846724,18454990.383016653,17576666.907795366,16681282.206635,17791573.95034462,17606585.937372927
Q9NP74,0.059,0.6839,0.0831,2029652.047293219,2004320.736417629,2108725.739510794,2227244.5606179605,2080522.38470621,2052168.2122049895
O75817,0.0479,0.681,0.0831,3345582.546457828,3237634.821407126,3281788.0804652497,3467144.633995895,3370932.807914485,3298660.427108223
