Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA48,V_log2.i._TMT_3_iTSA48,V_log2.i._TMT_5_iTSA48,V_log2.i._TMT_7_iTSA48,V_log2.i._TMT_9_iTSA48,D_log2.i._TMT_2_iTSA48,D_log2.i._TMT_4_iTSA48,D_log2.i._TMT_6_iTSA48,D_log2.i._TMT_8_iTSA48,D_log2.i._TMT_10_iTSA48
Q00535,0.8788,257.2809,253.4821,8506248.54991266,8718682.065737205,8847055.29828295,8673000.1872015,8577234.359879686,16269049.049710628,16482402.940096412,15736239.669982782,15320603.262451546,15652407.720721463
Q15208,0.6389,194.9931,191.4953,7750477.201289667,7717679.541890699,8166704.804499956,7926456.683354227,7908503.755285939,12396927.016275402,12451992.52436378,12296293.411147647,12213354.01553634,11941065.267563885
O14976,0.5178,183.7849,180.4633,14396862.056634597,14721067.432591772,15135457.621390361,14760569.198208068,14916418.668162173,21285317.58428944,21009856.172844227,21285317.58428944,21154811.42924388,20846052.952560123
Q04759,-0.8645,178.9091,175.7123,7133724.746147149,6894066.575032598,6854352.990204079,6953427.407692372,6829452.238462678,3757464.88247023,3606809.485047628,3832669.139022425,4001601.2150026932,3793293.233152164
Q96SB4,0.481,133.1539,130.0541,39860621.80893795,38230597.441320814,39860621.80893795,38307599.02090827,39824708.60809694,54117514.305124305,54840346.089600906,54436677.50083181,54363269.53492576,55188074.67975944
P36507,0.5162,127.2046,124.184,24256672.31267371,23712232.947766457,24191781.524640206,23906343.34367684,24070167.741650146,34662452.29655426,35295948.372005224,34587898.141176514,33401490.573613796,33433632.64531084
Q9NWZ3,0.5742,127.1202,124.1665,12008018.425471839,12108250.904439338,12650406.688458703,12259848.284381164,12271107.702923965,18883648.130776953,18447398.343442842,18159713.171708968,17846108.741307132,17689455.80339202
O00506,0.8809,126.3204,123.4247,1826307.5059484148,1789890.984024633,2053319.4287872307,1943855.7736265315,1893022.7257067005,3587182.6381527707,3500458.3009092654,3473950.5320487996,3500458.3009092654,3397078.745227327
P31323,-0.5102,118.3971,115.5525,18694338.286420237,18291644.121989194,18863038.480980188,18325422.946234297,18381381.571738627,12639934.747803284,12803459.199135236,13151700.275499819,12871456.69123566,13346471.119246999
Q16512,-0.6653,114.412,111.6132,26605748.579874396,26046536.153156903,25790502.018004004,25034930.247644693,26185245.40811843,15671187.9363173,15860066.67180527,16590914.214660022,16510521.224977586,16916417.428661026
P45983,0.5859,114.0707,111.3133,7815911.33201783,7542193.690392148,7856078.473662581,7647755.499032119,8091352.140842392,11734441.071130423,11973340.026130032,11683109.193795167,11287297.19136144,11636971.236819733
P05771,-0.7698,105.1963,102.4767,91699627.01928514,90378676.83614546,88232253.08116353,92595506.63495989,91930940.85737671,50661849.839028485,50454735.63760193,54563721.48289738,54271544.471216716,56126600.32937225
O15530,0.3899,103.9418,101.2569,10880205.95268027,10823638.614796668,10976653.61496705,10782982.072590016,11034488.578504214,14265886.452654203,14499030.403003057,14368694.672659589,13935131.974972572,14153258.139866028
Q9UKI8,0.5392,102.0987,99.446,6275991.727549589,6319614.95902198,6458935.443452384,6388481.623411877,6425186.3642797135,9590321.105181133,9403091.330864053,9216107.85570614,8847055.29828295,9133523.53191321
Q9NSY1,0.4818,96.7239,94.1012,17976156.325980578,18362017.17297637,18916369.604143906,18044837.30566019,19002249.102792587,26264262.1646066,26035243.425891675,25528885.138725713,25301408.771437075,25429455.582335774
O14965,0.4408,94.5893,91.9947,6455273.3616528,6577527.8442420205,6848414.961582022,6611321.3986904435,6590965.508549516,9179095.766802372,8930787.16319659,8989320.336086988,8942326.242838431,8748009.642968617
Q13555,0.8492,92.9404,90.372,3807656.6477027414,3836041.6130579337,4403086.481477671,3818474.5564499106,3863829.9210100356,7258291.312181465,7183298.764447054,7211004.99171424,7053864.929522907,6737483.2475628685
Q99986,0.7337,84.4879,81.9444,25493767.384139553,26074100.898324244,29111001.958513394,26892459.316953752,26010148.1338496,42437508.13134128,43429496.16251656,44658711.465528496,45814379.36864108,45181499.298829205
P19784,0.3855,75.6859,73.1658,19684574.747252617,18856307.305096835,19856620.523287326,19095199.2746411,18856307.305096835,25528885.138725713,25339918.700196736,24881932.61151141,24904592.510385998,24881932.61151141
O96013,0.512,74.7418,72.244,7873524.135292525,7915642.688299251,7647755.499032119,7516193.979829415,8058977.753211366,11499100.762030587,11217946.018372588,11082839.719800113,10891558.863630781,10802239.317047277
Q15418,0.3234,74.2178,71.7413,50612317.500250824,49312170.86243883,51569025.23568177,49580489.183937214,51158045.81466769,63193765.15671965,63055847.07782718,63594970.208458595,62104592.03624086,62841975.146739915
P25098,0.386,73.961,71.5046,17061053.046582464,16809522.763028126,16681360.716763282,16568133.527080866,16632556.745493852,22579426.2269294,21857732.20914534,21512430.267627,21360080.672487315,21857732.20914534
P11802,0.4128,72.8813,70.4443,9317923.401076054,9057754.332649177,9057754.332649177,9049806.282854607,9421812.427664904,12370292.774635024,12499909.812355923,11973340.026130032,12104575.332111914,12008018.425471839
Q9Y2H1,0.6938,71.1681,68.7495,1799158.5271323218,1818751.9195533276,2032548.1236284827,1897334.503185799,1777673.497142632,3085231.0611304655,2964523.474419259,3051839.160732782,3050600.3532334445,2892165.8606076017
P22830,0.4664,64.2961,61.8952,51514985.439784266,51247577.73137594,49975930.39895068,49312170.86243883,53360121.658026874,71358710.04329532,72132842.46753423,70578146.63475628,68751896.7580164,69163158.07842407
Q96RR4,0.5364,63.6579,61.2741,2087286.4752863424,1962335.5691350417,2129700.9315095614,2006824.0888672164,2036974.0350993248,3040518.422151533,3024726.3802732937,3020297.894275462,2858707.5361080323,2843825.575348592
Q9P0K7,0.3331,57.6029,55.2355,16322805.979527825,16800678.010590162,16578945.365795732,16281540.242481412,16880018.27291391,20951346.78808998,21099852.530445572,21066725.632405013,20717590.234629236,20284600.02860306
Q96GD4,0.4964,51.7447,49.393,1215632.019423103,1236052.9876822543,1250301.9330650335,1250301.9330650335,1172922.913971068,1684054.432858063,1771276.9214463593,1686537.9252620696,1689156.6650258703,1787077.8960610537
Q16513,-0.3602,45.8278,43.4914,2195546.2728010183,2115904.275421696,2220025.073287312,2134565.970109223,2154574.554425651,1625405.465687117,1677773.9955069523,1711289.877806548,1718664.0311770597,1674699.1193948747
Q9Y6E0,0.3136,44.8794,42.5578,31320158.764485847,30497305.131593373,32741317.93636356,31263253.96476537,31753254.49033307,39763875.57960925,39666897.29648773,38688291.12316282,38991207.01974919,38204938.70699582
P50750,0.4275,43.7555,41.4481,7011008.9215250015,7001643.229145233,7104764.850127655,7497296.3040386615,6857701.3680366725,9889660.875687905,9455377.582965363,9556191.274132267,9517153.107449286,9170969.599862631
Q93100,0.2925,42.298,40.0043,10460051.507872827,10685953.732569374,11167918.867156899,10619842.247558584,10619842.247558584,12933862.656991946,13015463.379263038,13242825.465262908,13182733.72859784,13044069.796174044
O14733,0.6181,40.2967,38.0294,5109742.502664648,5128235.732569226,5667075.019580422,5859237.6662435895,4987002.861038067,8506248.54991266,8018176.919794707,7992266.724147312,8424520.711308667,8011816.289847869
Q96GX5,0.473,40.3046,38.0294,3744081.9444964156,3815063.342425921,4077305.8195932712,3911335.0396853816,3716202.738935164,5644617.494822212,5382436.7110403385,5218338.89651413,5356454.503130611,5067049.809287226
O96017,0.341,39.3802,37.1254,15919078.611226857,15824029.335772967,16510521.224977586,15407333.875306895,16080671.875143502,20826508.926119115,20407910.48216275,20180578.978428874,20015619.593865197,19310112.451648362
P53350,-0.2804,39.2283,36.9858,12716288.965173738,12545086.999452928,12724211.308886163,12756366.170873063,12803459.199135236,10405012.626509655,10079564.632888313,10726427.929708634,10419781.000060234,10554853.949095342
Q00534,0.2606,38.4603,36.2297,27058207.053436857,27264241.991630282,27500035.01896644,26537386.868427973,27399847.352304302,33202237.67648501,32990461.180761203,32044071.021381035,31834194.402673423,32143797.840641517
P51812,0.2363,36.5833,34.3643,30771439.728198502,30969250.4491151,31263253.96476537,30913091.19930054,31165108.07550946,36968886.38396737,37332124.59802664,36219286.73896084,35757578.62733944,35942404.48243217
Q70IA6,0.3848,36.5017,34.294,2400784.6347215674,2300300.3574167765,2576509.6941794814,2452362.468624006,2443266.256314533,3218368.0716994833,3193588.8098476143,3210420.916462987,3113446.0507759703,3116335.2203419576
O94768,0.5743,35.9721,33.7753,265436.00639392267,259295.8355054752,267581.6874983197,288971.1640067709,259295.8355054752,408470.8017562552,391426.2135628994,411182.45470655017,397648.94561664603,382321.29398140364
Q13043,0.2771,35.9108,33.7248,10427864.601954455,10235329.420814058,10699540.688971326,10574453.43159013,10713502.92402525,13082936.335458621,12682547.693199765,12705810.045204982,12848286.297373476,12315260.6779974
P41240,0.3924,34.9118,32.7363,32485862.196616106,31394282.394281406,30429144.542328108,29876953.897991147,32485862.196616106,42045509.44956005,42045509.44956005,41100694.320533745,39860621.80893795,40077087.98958724
P13861,-0.3654,34.183,32.0177,23591498.76601354,23892208.81271315,25051655.690001193,25404761.070615098,23552936.24575657,18362017.17297637,18435367.623346925,18935004.52234205,19355701.369351886,18975641.458637286
Q9UHD2,0.4202,33.6109,31.4556,7547996.325851158,7826904.493164339,8331018.206195583,8091352.140842392,7377861.572641419,10536644.10825198,10201747.338461656,10631986.632116327,10619842.247558584,10294800.879074011
Q86UE8,0.2351,32.2322,30.0866,18183008.789784312,18313567.10571422,18706963.569515992,18313567.10571422,18313567.10571422,22305019.44450932,21565114.346108705,21565114.346108705,21075943.47822517,21297658.33630517
P15735,0.5043,32.1758,30.0397,2006824.0888672164,2035686.0628979206,2152609.5648535755,1893950.5990277873,1932513.845897378,3046572.199628493,2886818.6107486123,2769610.6178332944,2746813.674009057,2727883.780452766
