Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,V_log2.i._TMT_9_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52,D_log2.i._TMT_10_iTSA52
O43633,0.011,0.1133,0.0034,48961171.086047,46426651.65512282,45937934.98656365,43955770.54346357,48441954.190884955,48786743.79614006,47645235.606714815,47131717.53434344,46281924.49339895,44223745.72640688
Q9UFW8,0.009,0.1111,0.0034,6536323.194717536,6334752.177626446,6090806.537074774,6139997.340390325,6323462.8425125,6516364.571477717,6331642.855431709,6248598.270942092,6306950.764009155,6024358.941054399
Q9NUL5,-0.0156,0.1011,0.0034,3100523.019537045,3035972.5796958595,3586345.350757766,3641171.7196543156,3024551.4676145525,3488156.405705485,3146974.1121186037,3068665.345426002,3303271.567032629,3102114.355938381
P54136,0.0147,0.107,0.0034,47497440.5962232,51368501.04330743,48166568.47334583,46495770.13689256,47206405.5558903,42280396.78134276,47131717.53434344,48961171.086047,49995845.133094676,53318702.227648914
Q9Y613,0.0146,0.1068,0.0034,4480891.832586064,4745397.435783636,4877618.559689329,5069311.334958636,4170544.03348362,4641697.968270616,4464386.0301214885,4511251.884160653,5083420.941762149,4732057.160419113
Q9H9A6,0.0114,0.1164,0.0034,9973895.245693933,10152158.621924156,9909057.765648833,9830883.183140248,9675554.748784745,9132304.47646673,9900459.53833286,9892091.611259218,10087154.05170643,10612526.864309976
Q96A72,-0.0074,0.1151,0.0034,63265101.53616324,64066285.8950507,61407848.8587117,61660252.86181082,61270233.77062238,60399202.71741851,61660252.86181082,61132307.99546613,63436318.43473126,61528614.903422266
Q9NVM6,0.007,0.1151,0.0034,9071091.775835942,8912816.914882554,9283032.637116397,9007393.011769699,9035884.88133953,9353278.923264058,8989968.250709772,9071091.775835942,9023920.267994309,8808268.462338017
Q9UBS4,0.0062,0.103,0.0034,44832284.180483535,44121756.487931326,44271394.14211999,44584009.804367766,45783351.777749196,44435703.096068725,45937934.98656365,43815059.12787395,45104636.30751769,43861325.02939148
Q96LI5,0.0095,0.1064,0.0034,2331809.774835281,2420462.2447219086,2527560.211989458,2532460.647239961,2357656.207899176,2370639.3190754913,2381131.6053237747,2404164.0130916936,2507477.700424327,2509804.813402624
P46934,-0.0084,0.1078,0.0034,4246343.796100717,4468498.254244667,4360039.969778556,4251111.593025464,4177861.6278887256,4160477.2808424514,4125895.5266838185,4246343.796100717,4333373.411826207,4380150.741810515
O60504,0.009,0.1027,0.0034,2041635.727318037,1930171.367344095,1991159.9681932237,2053186.6863107008,2075946.639201025,2065575.3378809835,2085273.852401148,2037448.3410638408,1971316.3322737673,1932340.506838433
P12277,0.0127,0.1001,0.0034,121305176.03568566,125545842.23152936,116473194.02402326,114585962.1174811,121600939.13608727,106148173.05940148,119548714.82976137,122604868.7510715,123221014.68177792,129528035.25236645
Q7Z5L2,-0.012,0.1125,0.0034,1790896.7452731167,1707547.416180716,1870795.340568764,1946699.269760439,1810548.9608335395,1899174.1463544748,1797629.1579711072,1730767.9620951037,1823551.8746714653,1742983.7760112246
P04040,-0.0076,0.1129,0.0034,257620271.65866837,253806412.69546136,259627443.8153339,261707434.9208088,262910274.0453635,263944329.31389168,261707434.9208088,257620271.65866837,252152369.2200913,245399037.5686416
Q9NU22,0.0084,0.11,0.0034,50094230.23038589,50691861.585280694,50810377.60523843,51865039.22651726,49777871.97403641,48093516.793167196,49431117.96673943,51368501.04330743,51989613.70828911,52243005.83961466
Q16763,-0.0105,0.1123,0.0034,13478145.131123543,13139912.83833759,13132545.707707062,12955061.603466108,14398416.791474694,13709077.899639368,13694301.641080167,13020059.448908428,12807027.140710032,12973811.706940744
Q9NPF5,-0.0216,0.1147,0.0034,3088255.0396464583,3098521.353458122,3539055.0196242062,4100729.1578437667,2965364.1920905667,3416438.9354324285,3141125.6422609542,3135648.7291309107,3419035.614368729,3324074.809110731
P00338,0.0057,0.1053,0.0034,1700812548.3460033,1649946477.80712,1722095088.6708715,1700812548.3460033,1750075152.23116,1700812548.3460033,1700812548.3460033,1700812548.3460033,1700812548.3460033,1700812548.3460033
Q9ULX6,0.0073,0.1123,0.0034,14652227.492233545,14836935.345832685,14762113.992699554,14610037.85075335,14535629.133479761,14258984.564955162,14460319.067763621,14406339.873605812,15106800.230368633,15076295.375985201
Q9NVU0,-0.0093,0.116,0.0034,9552769.610043507,9680215.135550773,9714686.640952827,9406285.363542194,9859482.26491969,8969904.036237853,9432050.617847824,9555402.274046434,9859482.26491969,9787585.333609547
Q96CV9,-0.0081,0.0943,0.0034,8323599.332335964,8152615.813973707,8759452.75565834,8833976.65997861,8756262.898224154,8912816.914882554,8431227.515537752,8400285.844474357,8269205.71690092,8304964.035730425
Q8ND76,-0.0115,0.1048,0.0034,1755998.7898966437,1720823.0692381915,1915421.6989973288,1646195.8219913654,1688433.689184274,1737718.147758452,1755998.7898966437,1714522.8012882208,1656468.3413256477,1738404.9295802363
P55347,-0.0115,0.1041,0.0034,655595.3426484055,647912.9374066701,661020.6334849241,657410.3480700867,681676.4087536088,640093.6185139578,704336.1815973722,660111.7762035027,616898.4603313713,635395.135741961
Q5T440,-0.0163,0.1127,0.0034,6938571.724277821,7081238.365960633,7465682.891006813,8246388.558728264,6392812.943959664,7425542.703725379,6752384.701856864,7043480.623097797,7255639.5706001,7016436.735893976
P51784,-0.0096,0.0914,0.0034,1538347.5508232363,1665982.528189847,1579016.383869918,1520148.2011562532,1487513.168974202,1461207.9627264012,1523893.4679135731,1576499.192083063,1543834.7221205635,1585660.7931913075
A5YKK6,0.0082,0.095,0.0034,23517167.320795994,24710345.212621953,24366232.273412906,24241990.71860733,23131039.406981867,22820915.766149472,23756793.497160964,23537663.49186671,24723728.813421044,25058209.55630795
Q8IWD4,0.0109,0.1075,0.0034,3926804.1650480637,3951678.2905173865,3822236.8793278155,3761764.4136696355,4209736.7251393115,4193791.624962257,3885861.4445657805,3959131.4569876986,3811947.4492447497,3848404.5909499805
O43715,0.0198,0.0989,0.0034,2991387.3413567627,2694116.2440974712,2217932.4402372227,2365597.3963156785,2776122.135483876,2683223.6140206684,2499550.076700754,2980244.7604351756,2467578.020123349,2515170.4285006677
Q9Y237,-0.0143,0.1114,0.0034,31191730.736335002,29457063.64004289,28206114.557281073,28411094.60366308,32747044.95354233,30547332.741913106,31687081.447656676,28935882.31999172,29103477.871569548,27354482.180156805
P61981,0.0086,0.1069,0.0034,590778322.8315948,590778322.8315948,631998165.588089,645662640.0512671,590778322.8315948,618080774.6782466,604263839.6588316,604263839.6588316,618080774.6782466,604263839.6588316
O60256,0.0062,0.0983,0.0034,50450752.770210266,49327065.25357441,51772266.41105161,51304734.4689798,51933321.75017355,51685619.1682678,52243005.83961466,49925249.786332645,50217241.99301172,50217241.99301172
Q99836,-0.0131,0.1136,0.0034,1976313.9969792317,2008561.7155734603,2075946.639201025,2272692.6149053257,1950051.831508735,1967698.2402723588,1989867.0337314713,2077157.641557226,1982421.1997669109,2108725.739510794
Q9NSP4,0.0141,0.0903,0.0034,1043605.2454524399,1025141.5230225144,1100887.0449382134,1260267.5899857085,1040072.8772765402,1167599.5263245108,1027167.9626736606,1113597.757184348,1117526.444315287,1062865.3435741619
Q15050,0.0144,0.1131,0.0034,2974080.0940072164,2786599.4470802937,3277303.723751105,3190697.860399465,2996618.676303224,3340429.846589399,2973162.013441542,2988105.38591474,3070562.1208290085,2908395.8674688083
P62166,0.0143,0.11,0.0034,4495289.691024638,4231145.039393287,3807610.0913268304,3937755.077850141,4258289.75344174,4436771.919589994,4136787.299514924,4240502.812271813,4115804.570125312,3879793.1851311754
Q15392,-0.0118,0.1127,0.0034,6516364.571477717,6983132.517308997,6355016.6306720795,6360908.44177889,6388747.141284652,5994717.38441262,6554773.4166326765,6554773.4166326765,6301637.301594627,6733308.473738202
Q01433,-0.0094,0.1022,0.0034,33513264.9795421,33781825.38961116,36653651.41109998,36861583.45378697,35364406.89669146,36685523.33010547,34114620.223785214,34668299.801159345,33817275.79446857,34631977.198202066
P38159,0.0131,0.1069,0.0034,30323041.45800278,32654489.082685366,30398874.838079274,30047812.919723734,27609454.53736157,28557185.234325882,29296199.400588147,29742790.847929463,32434962.836272024,31436661.30170256
Q9NRR4,-0.0106,0.1073,0.0034,2027389.55079406,2065575.3378809835,1891382.6668956538,1927654.57351839,1870098.5652518813,1887043.422102095,1939257.1497777952,1892306.5621464795,1921812.1843077405,2010123.8745109916
P50402,0.007,0.1047,0.0034,16498947.62247001,16531484.08415754,15953602.815208804,15796114.010517089,16346702.103084024,16531484.08415754,16312002.999886712,16175607.274702482,16312002.999886712,15685674.477331229
P10606,0.0149,0.0953,0.0034,118176023.60188755,115748075.85040937,101504574.09071329,96651442.5876148,122018256.4502695,111363250.05406317,115748075.85040937,116025312.31221165,106148173.05940148,107180043.8126318
Q9NWX6,0.0131,0.1068,0.0034,11244279.151767107,10802996.70844363,10324004.574463597,9649747.018837823,11327892.234208638,10271943.52578822,11442061.039473183,10672193.914845506,10406890.132884895,10713562.258203978
Q5TDH0,-0.006,0.0946,0.0034,70905596.18112583,69431536.38300173,71852238.1202911,73581988.55922073,72859463.19398266,72165930.1782351,72165930.1782351,71111003.52147996,69527484.59300019,69935505.1861131
Q9BVL2,0.0084,0.0994,0.0034,11877561.32702688,11463290.590256162,11925825.445714716,11544576.222928556,12129999.624420553,12441369.198495205,11392256.273396937,11925825.445714716,11818930.208754035,11335005.458213177
Q7Z6B0,0.0072,0.096,0.0034,25448705.204169523,24366232.273412906,25743671.212499715,26048551.247316495,25686944.073583547,26516064.655670155,25743671.212499715,25126483.646400504,25111840.067064017,24631687.6113012
Q96JB5,0.0102,0.1007,0.0034,9909057.765648833,10523824.36139312,10211721.417973142,10316238.740640318,9451213.256776692,9591144.234452933,9859482.26491969,9982487.848380547,10393146.521453794,10624569.576080473
Q96II8,-0.0104,0.1053,0.0034,1536299.2181161444,1617276.430886492,1626147.6098031797,1688433.689184274,1483589.8375632984,1569926.1771577217,1551345.205419389,1579016.383869918,1548491.421541751,1596081.8645756915
P13798,0.0064,0.0972,0.0034,91645413.15362652,89956802.13357098,92257914.19890663,90776549.79155852,92257914.19890663,94480407.4086174,93145322.04482384,90516126.98958683,89627393.76596087,88282907.61147042
Q8N1G2,0.0137,0.1155,0.0034,3174442.0041534943,3401290.1712923166,3520564.954727296,3557328.191927193,3109368.125030577,3211277.0345150265,3225882.74630402,3358468.1348305237,3480778.9580878015,3539055.0196242062
Q9BTE3,0.0131,0.091,0.0034,5297119.115555245,5647044.0715696355,5798239.31754443,6285679.31754927,5033627.510378067,5636141.494217388,5273473.426795819,5494789.677773498,5916955.03125883,5816348.001742964
Q969V3,-0.0105,0.0913,0.0034,5425866.233782203,5687534.772849158,5932626.346539378,6024358.941054399,5428810.970967232,5334141.812705834,5327429.663588418,5733961.471656002,5722619.921084313,5994717.38441262
Q6ZS17,0.0126,0.0961,0.0034,244403.8811721539,259540.10854754774,238538.39091523358,228697.70298719205,248276.41951740842,249454.41193488616,239744.6174773995,248276.41951740842,238538.39091523358,246508.89328632786
Q15942,-0.0105,0.0956,0.0034,33781825.38961116,32985232.999470215,31962387.23981421,32241276.979552966,35948463.42792019,34399577.502786025,34775171.64688837,32112432.125814274,32241276.979552966,31160036.33704045
P07108,0.0228,0.1166,0.0034,34668299.801159345,31130863.52841971,25432772.549949475,28714485.773345407,29217993.481176097,33093715.515681833,27109351.008125663,32088125.54407977,31564522.264649317,26788491.734614685
Q13409,-0.0162,0.0899,0.0033,56467029.37365853,58625692.36257583,63893248.22980471,72165930.1782351,53251613.38096859,64839957.97467765,55379985.876983,57607458.28995372,62235397.2099711,59030092.63510117
O75146,0.0046,0.0574,0.0032,9796017.428589625,9838253.033191638,10028423.904923944,10231504.307288708,10544033.621766215,9882331.837589558,10358189.272318702,9758356.36994559,10028423.904923944,10255047.511273248
Q9BSJ8,0.0068,0.0637,0.0032,47940921.35593134,49925249.786332645,49046450.96414088,48532992.758525796,45340766.35189903,44658705.58406745,47206405.5558903,48093516.793167196,50450752.770210266,49995845.133094676
