Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
Q8NFZ5,-0.0405,0.2282,0.0013,752456.4970893839,840483.6737099309,762710.216913544,775341.4885038789,752456.4970893839,749237.934167509
P35638,0.0204,0.1299,0.0013,2116068.442030923,2034629.1513147468,2013365.684702264,2111240.967357996,2121064.92320431,1983853.0854524188
Q15006,-0.0417,0.3512,0.0013,5548382.852345481,5370424.729032414,5394385.933090272,5030563.770927885,5392099.320483575,5334141.812705834
P06454,-0.0082,0.0484,0.0013,335036013.41713595,345650513.974381,399886276.5120405,387054971.80868953,335036013.41713595,345650513.974381
Q96RL7,0.0296,0.253,0.0013,9032076.532278094,9035884.88133953,9544810.934181597,9451213.256776692,9376442.919716045,9191086.975890923
Q8WUR7,0.0984,0.8915,0.0013,3098521.353458122,2973162.013441542,2728327.517522651,3272749.1361336885,3035972.5796958595,3058802.9714214397
Q8NBI6,-0.0531,0.2767,0.0013,226252.08473595124,221897.61105023714,198574.20612079065,204368.23362199665,207749.13146754328,207749.13146754328
Q15291,-0.0155,0.1279,0.0013,24660582.29815102,24504919.64208515,25686944.073583547,25172237.42806896,24526864.387702107,23915449.47025366
P81877,-0.0864,0.5447,0.0013,399427.4202403173,375856.15917842556,349568.9283173479,354753.6518582318,341430.3900556046,357314.1173898506
Q9UNE7,-0.0039,0.0291,0.0013,14174774.417601055,14626846.328590108,14051268.772090081,14076316.86918485,14227843.354018897,14183675.112998465
Q8N9V3,0.0258,0.1902,0.0013,8583383.39395601,8525778.89092561,9205811.364199415,9318982.557636935,8709028.903318956,8601196.41463263
Q14728,-0.0039,0.0149,0.0013,122866.52574608407,134297.513672297,117825.82929791856,110741.48826048755,130554.08008538326,130554.08008538326
O00743,-0.0404,0.4273,0.0013,42035205.78208103,43211034.06267022,44756617.42655639,43553935.20607079,40617775.65718966,41484101.973834306
Q9Y6G5,0.0039,0.0234,0.0013,6193923.311146305,5780680.19675615,5700172.032002153,6147029.039835063,5695843.514095335,5777622.087220306
Q9BUF5,-0.0115,0.0913,0.0013,15153113.731666647,15203144.557437079,15129346.530877197,14730183.633271338,15183454.810188984,14949287.294921497
P47736,-0.0087,0.0569,0.0013,2680669.370679207,2731157.4944009935,2637889.698687023,2599092.3583624098,2698747.366953615,2657118.244505258
Q96PE7,0.0523,0.4112,0.0013,5681702.020403504,5377803.422665403,4997034.81888127,5494789.677773498,5625540.437776461,5435482.438834674
Q99569,0.101,0.6834,0.0013,993178.1452550263,948432.3915078348,965067.4684329169,1133154.5563851583,954629.7026537546,1011302.4026248814
O14980,-0.0682,0.7614,0.0013,48021878.04623667,52479778.680573575,50619632.58103954,44756617.42655639,48786743.79614006,49757439.46480214
P06132,0.0206,0.2353,0.0013,163782387.18328482,163304241.31956598,172963984.20773742,172963984.20773742,165633768.42676628,165633768.42676628
O76070,0.0652,0.939,0.0013,56907426.3902727,54042147.15864289,55915229.33454277,58762050.34585287,57977467.862991974,56825880.202400856
P27144,0.0632,0.4568,0.0013,10951128.65480901,10504580.548023958,9076298.775166733,10705190.848199228,10374436.70794735,10642357.080027994
O75427,-0.0168,0.0991,0.0013,1776597.1114338683,1851297.113080765,1953671.7097158204,1800230.588388074,1814246.8569478863,1869402.0494480731
Q96BP3,-0.0445,0.4388,0.0013,26645422.436934117,28557185.234325882,28694093.46208995,26854589.261792064,26244858.983087357,27760063.841794755
Q9NPB8,-0.0048,0.0187,0.0013,921395.7449761701,1062865.3435741619,1044067.9299361674,889743.5107087649,998733.695206434,1111692.5188633974
Q68CZ6,-0.0508,0.4634,0.0013,3370932.807914485,3370932.807914485,3379040.5431692526,3150883.6030636285,3325800.6621128162,3237634.821407126
O14981,0.0566,0.5267,0.0013,4919671.5498276325,5049050.092459967,4686515.715808373,5163836.709914418,5012930.528323997,4977307.571224762
Q9NRP4,0.0453,0.2197,0.0013,1760832.7831693832,1594366.0891411167,1368903.8153833263,1615334.605952293,1569926.1771577217,1663025.1430228858
Q9UK53,0.0208,0.0942,0.0013,822751.6562364518,810045.1235637285,717297.7799269427,770970.9151578805,855420.7691941736,744679.4343799609
P07437,-0.0776,1.0368,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
A6H8Y1,0.0155,0.0784,0.0013,1063249.5693865214,1098889.316299913,1084969.141724993,1177289.3061376284,1059153.5738893047,1026371.4679405409
P07437,-0.0776,1.037,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.037,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.037,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.037,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
