Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA56,V_log2.i._TMT_3_iTSA56,V_log2.i._TMT_5_iTSA56,V_log2.i._TMT_7_iTSA56,V_log2.i._TMT_9_iTSA56,D_log2.i._TMT_2_iTSA56,D_log2.i._TMT_4_iTSA56,D_log2.i._TMT_6_iTSA56,D_log2.i._TMT_8_iTSA56,D_log2.i._TMT_10_iTSA56
P13987,0.1699,1.1558,0.0001,6672385.949296236,5132380.354151015,5738360.561844575,4957254.30616172,5178850.494525729,6917623.381303531,5982037.44307353,6761189.957690653,5897287.997261118,5241258.594146798
Q9Y4W6,0.0117,0.0711,0.0001,25693139.121861428,23627895.980908893,25318846.09973953,22028639.340882912,23064386.943950072,24185976.643193394,22431233.794893604,25552961.173431303,24436128.223426647,22789710.46477405
P20290,0.0182,0.1449,0.0001,274914301.6330672,302176496.4722436,280819373.7858708,283768765.61269134,281959327.76343286,269030999.84375167,285034689.7001039,296575405.17590237,287733587.97968334,287197916.0714915
P82094,-0.0178,0.1355,0.0001,55889118.31516498,58896736.09298167,59190019.24208454,61994009.56938151,57196922.1589357,54945518.49204643,56419138.46607021,57972834.496453606,57384687.32198163,59682856.055736035
Q9Y4C2,-0.046,0.3016,0.0001,2947176.0868461337,3057147.521640801,3069012.752728828,2869364.6651776894,3310757.380263557,2879293.0081454283,3007053.1557167047,2932534.6009002007,2795301.675847235,2995784.2561498284
Q15436,-0.0176,0.088,0.0001,1481128.9609982152,1491103.4169966902,1401546.5488653954,1209371.059627298,1335181.6114364285,1319193.1665142598,1335181.6114364285,1341233.572305948,1329239.1687017442,1431302.4490244514
P53041,0.0103,0.0726,0.0001,113216463.9980362,117800507.20607595,112683138.41747996,121754078.55066,107186498.45642635,105079813.19915077,113541287.86679845,115896155.56044069,120005825.49453036,115896155.56044069
Q8WYQ3,-0.0173,0.0941,0.0001,2879293.0081454283,3075689.3387830076,2883395.407018621,3062766.9630392464,3104360.559407736,2960503.8720701253,3127423.0787161305,2677427.3901350726,2843765.0604692986,3046864.5816974
Q9UJU2,-0.0332,0.1307,0.0001,400995.2745330384,326166.4892904606,463902.2377993697,465095.73350970633,405113.4588275937,408383.94942049944,414457.02470282576,361842.4515300656,396091.811277411,412939.4938470943
Q9H479,0.0227,0.1737,0.0001,36972077.33165042,37964652.57653351,38747841.779525146,39223755.28295025,39372752.302296735,38628833.86310113,39988985.35052992,37868804.21225948,37735962.32949814,38936216.07116218
