Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
ABCA7,0.9999,0.8365,0.3838,0.311,0.1519,0.4,0.4508,0.3382,0.0609,0.0
ABCA8,0.9999,0.7479,0.6741,0.6776,0.6092,0.4599,0.101,0.0481,0.0413,0.0
ABCB1,0.9999,0.7685,0.6589,0.3985,0.1997,0.0551,0.0275,0.054,0.0233,0.0
ABCC1,0.9999,0.87,0.7932,0.6529,0.437,0.0668,0.0295,0.0292,0.0272,0.0
ABCC10,0.9999,0.6033,0.5461,1.7799,0.2649,0.5497,0.199,4.2479,0.3382,0.0
ABCC4,0.9999,0.8573,0.7945,0.7774,0.704,0.6049,0.2129,0.0464,0.0615,0.0
ABCC5,0.9999,0.7976,0.6492,0.4773,0.2629,0.0941,0.0389,0.0337,0.0348,0.0
ACE,0.9999,0.8677,0.8086,0.7468,0.5483,0.4419,0.359,0.2219,0.2675,0.0
ACIN1,0.9999,0.9202,0.7188,0.7853,0.5937,0.0798,0.2456,0.5538,0.6705,0.0
ACLY,0.9999,0.883,0.7409,0.2295,0.0522,0.0282,0.028,0.015,0.0126,0.0
ACOX1,0.9999,0.9084,0.9193,0.726,0.6978,0.7339,1.5616,1.6153,1.4079,0.0
ACPP,0.9999,0.7821,0.636,0.3657,0.2142,0.2438,0.261,0.2562,0.2669,0.0
ACTL6A,0.9999,0.6301,0.4718,0.2237,0.1009,0.27,0.174,0.1053,0.0515,0.0
ACTN1,0.9999,1.0403,1.0397,0.8421,0.571,0.4712,0.0769,0.085,0.0696,0.0
ACVR1,0.9999,0.5052,0.0932,0.0178,0.0131,0.0037,0.0138,0.0121,0.011,0.0
ACVR2B,0.9999,0.5259,0.2147,0.1149,0.0634,0.0976,0.1019,0.0839,0.068,0.0
ADAM10,0.9999,0.8147,0.6834,0.6753,0.6039,0.3812,0.2859,0.2046,0.2262,0.0
ADAM15,0.9999,0.7744,0.6879,0.6125,0.4035,0.2783,0.224,0.125,0.1174,0.0
ADAM17,0.9999,0.8376,0.7328,0.4972,0.3146,0.3211,0.334,0.1747,0.1578,0.0
ADAM9,0.9999,0.9162,0.8149,0.8139,0.7623,0.7719,0.6009,0.3166,0.3876,0.0
ADCY3,0.9999,0.7101,0.2537,0.0217,0.0367,0.0315,0.0183,0.0045,0.0077,0.0
ADCY7,0.9999,0.7782,0.3476,0.1094,0.0731,0.0256,0.0147,0.0243,0.0242,0.0
ADI1,0.9999,0.637,0.2794,0.0142,0.01,0.2745,0.1768,0.1488,0.1307,0.0
ADPGK,0.9999,0.945,0.9386,0.8342,0.7745,0.7646,0.9465,0.4647,0.5791,0.0
ADRM1,0.9999,0.8516,0.6034,0.2637,0.0578,0.0189,0.0406,0.0289,0.0385,0.0
ADSS,0.9999,0.9289,0.8487,0.8189,0.6342,0.4656,0.2415,0.1578,0.1569,0.0
AHCYL1,0.9999,0.8163,0.6908,0.6102,0.4216,0.3926,0.2106,0.1481,0.1362,0.0
AHNAK,0.9999,0.8715,0.6532,0.471,0.4804,0.7573,0.7388,0.4573,0.463,0.0
AHSG,0.9999,0.761,0.8441,0.8884,1.1407,1.5718,2.0788,1.7725,2.4778,0.0
ALCAM,0.9999,0.8854,0.8087,0.8531,0.7992,0.7761,0.6407,0.4381,0.6005,0.0
ALS2CR4,0.9999,0.8238,0.7888,0.7111,0.8395,2.0137,1.9159,1.205,1.278,0.0
AMIGO2,0.9999,0.9534,0.8669,0.5575,0.4212,0.4012,0.3384,0.2551,0.2448,0.0
ANK1,0.9999,0.3679,0.152,0.0442,0.0268,0.0664,0.0805,0.0804,0.0714,0.0
ANO6,0.9999,0.8872,0.8854,0.9027,0.3669,0.0206,0.035,0.0407,0.0284,0.0
ANPEP,0.9999,0.8696,0.8061,0.843,0.7964,0.7424,0.691,0.5568,0.5177,0.0
ANTXR2,0.9999,0.8993,0.7866,0.9514,0.8762,0.7883,0.7034,0.5043,0.5519,0.0
ANXA1,0.9999,0.773,0.1363,0.0324,0.0279,0.0497,0.0515,0.0379,0.0483,0.0
ANXA2,0.9999,0.9629,0.839,0.447,0.1368,0.0476,0.0607,0.0679,0.0569,0.0
ANXA3,0.9999,0.8689,0.6169,0.218,0.0371,0.4101,0.3778,0.1389,0.1325,0.0
ANXA5,0.9999,0.7394,0.1952,0.0284,0.019,0.0161,0.035,0.0236,0.0312,0.0
ANXA7,0.9999,0.9082,0.6049,0.2202,0.1649,0.0122,0.017,0.0035,0.0128,0.0
AP2A1,0.9999,0.7625,0.5165,0.1916,0.0952,0.0874,0.0614,0.0538,0.0617,0.0
AP2B1,0.9999,0.7603,0.5713,0.2385,0.0894,0.1084,0.0459,0.0324,0.0373,0.0
AP2M1,0.9999,0.8499,0.7897,0.3045,0.1421,0.2242,0.077,0.0897,0.0804,0.0
APLP2,0.9999,1.028,0.684,0.5051,0.3703,0.3506,0.528,0.5647,0.6644,0.0
APOA1BP,0.9999,0.842,0.7337,0.6191,0.5389,0.7714,0.6599,0.5954,0.5934,0.0
APOB48R,0.9999,0.9628,0.9312,0.8388,0.8647,0.9083,1.702,1.7301,2.4215,0.0
APOE,0.9999,0.9567,0.6282,0.5185,0.5045,0.3652,0.4747,0.517,0.6759,0.0
ARF5,0.9999,0.8935,0.8445,0.7129,0.562,0.6462,0.2819,0.1179,0.1059,0.0
ARL15,0.9999,0.8301,0.6964,0.5006,0.3211,0.3376,0.3599,0.3171,0.3398,0.0
ARL2,0.9999,0.8933,0.6963,0.4593,0.1638,0.1563,0.165,0.2181,0.285,0.0
ASPH,0.9999,0.761,0.6378,0.3193,0.2488,0.1691,0.246,0.2233,0.3044,0.0
Ataxin-10,0.9999,0.8133,0.614,0.0773,0.0061,0.0043,0.0589,0.0164,0.0433,0.0
ATP11A,0.9999,0.915,0.7225,0.6777,0.9132,0.6992,0.1126,0.2088,0.1297,0.0
ATP11B,0.9999,0.8686,0.9061,1.1406,2.4319,1.8174,0.615,0.1801,0.1166,0.0
ATP11C,0.9999,0.9045,0.8121,0.8414,0.7544,0.1233,0.0834,0.0883,0.0789,0.0
ATP13A3,0.9999,0.8795,0.9488,0.6346,0.1432,0.1209,0.0996,0.0715,0.0515,0.0
ATP1A1,0.9999,1.028,0.925,1.0863,1.7923,2.2064,0.2573,0.0505,0.0937,0.0
ATP1B1,0.9999,0.8793,0.8217,0.8593,0.757,0.5892,0.0897,0.0825,0.0895,0.0
ATP1B2,0.9999,0.8438,0.7218,0.8201,0.6097,0.3904,0.0447,0.0592,0.0359,0.0
ATP1B3,0.9999,0.904,0.8814,0.9444,0.848,0.5892,0.1197,0.1309,0.128,0.0
ATP2A2,0.9999,0.8708,0.7105,0.2137,0.0845,0.046,0.0602,0.0449,0.0639,0.0
ATP2A3,0.9999,0.8767,0.7317,0.2498,0.0991,0.0468,0.0573,0.0505,0.0665,0.0
ATP2B4,0.9999,0.8889,0.8095,0.6818,0.837,0.9042,0.222,0.2144,0.1815,0.0
ATP5A1,0.9999,0.935,0.9507,0.9365,0.8874,1.2125,2.3758,1.832,0.1561,0.0
ATP5B,0.9999,0.94,0.9325,0.8887,0.8039,0.856,1.7012,1.3163,0.0881,0.0
ATP5O,0.9999,0.9457,0.8864,0.8214,0.7541,1.1953,1.9732,0.6425,0.026,0.0
ATP6AP1,0.9999,0.838,0.9207,0.9355,0.8866,0.8945,2.0824,2.2218,2.7558,0.0
ATP6V0A1,0.9999,0.8568,1.0295,0.986,0.9392,0.8439,1.446,1.1408,0.332,0.0
ATP6V0A2,0.9999,0.888,0.9239,0.7914,0.7319,0.6455,1.1822,0.4429,0.1279,0.0
ATP6V0D1,0.9999,0.6158,0.5925,0.3628,0.4631,1.2129,2.3821,0.8985,0.2763,0.0
ATP6V1A,0.9999,0.8736,0.6732,0.3583,0.3615,0.7253,0.3561,0.2362,0.3009,0.0
ATP6V1B2,0.9999,0.8829,0.7521,0.5229,0.4186,0.6694,0.1917,0.1497,0.1318,0.0
ATP6V1D,0.9999,0.9727,0.8262,0.6388,0.5027,0.5417,0.325,0.2178,0.2219,0.0
ATP6V1E1,0.9999,0.8689,0.5186,0.3224,0.1653,0.1581,0.3431,0.4255,0.5261,0.0
ATP7A,0.9999,0.7536,0.3745,0.1137,0.0689,0.0508,0.0442,0.0456,0.0553,0.0
ATPIF1,0.9999,0.8396,0.762,0.6922,0.7111,0.7156,1.4213,1.2183,1.5817,0.0
ATRN,0.9999,0.8397,0.6949,0.658,0.5431,0.5394,0.6034,0.4834,0.3816,0.0
