Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
AHNAK,0.9999,0.9063,0.6111,0.4917,0.4947,0.7311,0.6815,0.4822,0.4207,0.0
AHSG,0.9999,0.6918,0.6481,0.7443,1.065,1.493,1.8499,2.028,2.7095,0.0
ALCAM,0.9999,0.9172,0.8072,0.9202,0.8781,0.9627,0.7197,0.5199,0.5706,0.0
ALS2CR4,0.9999,0.8204,0.6437,0.6739,0.848,2.1879,2.0207,1.6749,1.7764,0.0
AMIGO2,0.9999,0.8847,0.8735,0.5945,0.3838,0.4102,0.283,0.2064,0.2304,0.0
ANK1,0.9999,0.3542,0.1333,0.0592,0.0684,0.085,0.0773,0.0705,0.1026,0.0
ANO6,0.9999,0.9042,0.8795,0.9384,0.4218,0.0336,0.0331,0.0382,0.0349,0.0
ANPEP,0.9999,0.8813,0.8219,0.8712,0.8494,0.7923,0.7203,0.5854,0.5422,0.0
ANTXR2,0.9999,0.921,0.6824,0.8926,0.9466,0.8256,0.7492,0.5483,0.6015,0.0
ANXA1,0.9999,0.8457,0.1337,0.0212,0.0206,0.0614,0.0441,0.0338,0.0455,0.0
ANXA2,0.9999,1.0137,0.8541,0.442,0.1257,0.0583,0.0439,0.0433,0.0613,0.0
ANXA3,0.9999,1.1239,0.8544,0.3212,0.0382,0.3339,0.4313,0.2365,0.062,0.0
ANXA5,0.9999,0.704,0.1723,0.0065,0.0115,0.0223,0.0167,0.0153,0.027,0.0
ANXA7,0.9999,0.901,0.5469,0.1795,0.1614,0.0106,0.0163,0.0084,0.0171,0.0
AP2A1,0.9999,0.9581,0.5815,0.2215,0.0792,0.0957,0.0465,0.0397,0.0511,0.0
AP2B1,0.9999,0.9365,0.632,0.2293,0.0943,0.108,0.0435,0.0323,0.039,0.0
AP2M1,0.9999,0.8071,0.6179,0.267,0.1184,0.2176,0.1424,0.0757,0.1065,0.0
APLP2,0.9999,1.0691,0.7379,0.5032,0.3984,0.3482,0.466,0.5639,0.7249,0.0
APOA1BP,0.9998,1.7634,1.2814,1.3159,1.4657,1.2409,1.1266,1.2318,1.0519,0.0
APOB48R,0.9999,0.9357,0.815,0.8437,0.9543,0.7557,1.2657,1.6214,2.0745,0.0
APOE,0.9999,0.9959,0.6855,0.5496,0.5058,0.3629,0.4461,0.406,0.6497,0.0
ARF5,0.9999,0.9189,0.7564,0.6591,0.5773,0.6188,0.3007,0.1084,0.1048,0.0
ARL15,0.9999,0.9725,0.7464,0.5551,0.4332,0.3779,0.4075,0.3232,0.3965,0.0
ARL2,0.9999,0.9709,0.826,0.544,0.1966,0.1349,0.1448,0.1685,0.2217,0.0
ASPH,0.9999,0.7936,0.516,0.2897,0.2415,0.1522,0.1667,0.1836,0.2869,0.0
Ataxin-10,0.9999,0.943,0.6676,0.0994,0.0214,0.0518,0.0341,0.0339,0.036,0.0
ATP11A,0.9999,0.9447,0.7497,0.7113,0.9781,0.622,0.2002,0.1447,0.2196,0.0
ATP11B,0.9999,0.8639,0.8415,0.9449,2.6019,1.7416,0.5946,0.1619,0.1425,0.0
ATP11C,0.9999,0.9437,0.8479,0.9084,0.7883,0.1093,0.099,0.0831,0.0856,0.0
ATP13A3,0.9999,0.9214,0.9795,0.7017,0.2277,0.1459,0.1121,0.0862,0.0784,0.0
ATP1A1,0.9999,0.9807,0.9071,1.0574,1.2884,1.8359,1.2987,0.0797,0.096,0.0
ATP1B1,0.9999,0.9074,0.8462,0.8706,0.851,0.8031,0.3658,0.0871,0.1047,0.0
ATP1B2,0.9999,0.8165,0.7512,0.7965,0.6572,0.5274,0.2501,0.0563,0.0419,0.0
ATP1B3,0.9999,0.9062,0.9035,0.9781,0.9655,0.8301,0.4611,0.1367,0.1598,0.0
ATP2A2,0.9999,0.9203,0.6862,0.2016,0.0828,0.0553,0.0458,0.0416,0.0636,0.0
ATP2A3,0.9999,0.9169,0.7367,0.2442,0.1032,0.0497,0.0441,0.0414,0.0621,0.0
ATP2B4,0.9999,0.8301,0.6849,0.6459,0.7495,0.7397,0.2005,0.1311,0.1774,0.0
ATP5A1,0.9999,1.0005,0.9302,0.967,0.9882,1.075,2.0561,1.831,0.1479,0.0
ATP5B,0.9999,0.9922,0.8782,0.907,0.8346,0.7931,1.519,1.4065,0.1105,0.0
ATP5O,0.9999,1.0128,0.9258,0.8724,0.8453,1.094,1.8007,0.6833,0.0277,0.0
ATP6AP1,0.9999,0.8534,0.8944,1.0295,1.0002,0.9261,1.96,2.4581,3.0712,0.0
ATP6V0A1,0.9999,0.8201,0.9339,0.9406,0.8975,0.7776,1.2407,1.0821,0.3043,0.0
ATP6V0A2,0.9999,0.801,0.806,0.7704,0.6268,0.5614,0.9818,0.3664,0.1281,0.0
ATP6V0D1,0.9999,0.7069,0.4612,0.38,0.4119,0.9213,2.045,0.8475,0.2278,0.0
ATP6V1A,0.9999,0.9762,0.6883,0.3705,0.3987,0.565,0.3053,0.2314,0.3151,0.0
ATP6V1B2,0.9999,1.0012,0.8087,0.5211,0.4306,0.468,0.1504,0.1005,0.1172,0.0
ATP6V1D,0.9999,1.1015,0.9305,0.83,0.6675,0.5124,0.308,0.3545,0.3503,0.0
ATP6V1E1,0.9999,1.1594,0.6597,0.2704,0.2629,0.2362,0.2795,0.391,0.5668,0.0
ATP7A,0.9999,0.7888,0.3742,0.1033,0.0703,0.0487,0.0341,0.0362,0.0574,0.0
ATPIF1,0.9999,1.0317,0.9015,0.9355,0.9519,0.935,1.6405,1.6818,1.7439,0.0
ATRN,0.9999,0.8161,0.7092,0.6068,0.5283,0.5135,0.51,0.4704,0.3784,0.0
B2M,0.9999,1.1722,1.1035,0.8403,0.8048,0.9231,1.6685,2.5794,3.2211,0.0
B4GALNT1,0.9999,0.6547,0.5298,0.4682,0.3865,0.2184,0.2438,0.1929,0.2113,0.0
BCAM,0.9999,0.8338,0.7507,0.7205,0.5615,0.415,0.3251,0.2325,0.2231,0.0
BCAP31,0.9999,1.0303,0.8898,0.9077,0.8988,0.9599,1.3849,1.9039,2.5229,0.0
BLVRB,0.9999,0.9343,0.3879,0.0868,0.0758,0.0792,0.0578,0.0488,0.0589,0.0
BOLA2,0.9999,0.9055,0.4922,0.1735,0.1198,0.1502,0.1156,0.0598,0.0799,0.0
BSG,0.9999,0.8559,0.8057,0.8708,0.8007,0.8631,0.8513,0.5842,0.6577,0.0
BST2,0.9999,0.8412,0.6131,0.6386,0.6061,0.5647,0.5738,0.5933,0.8127,0.0
BTN2A1,0.9999,0.858,0.6597,0.5207,0.1947,0.0686,0.0475,0.0493,0.0642,0.0
C11ORF59,0.9999,0.7981,0.6863,0.662,0.73,0.8218,0.83,0.3639,0.4143,0.0
C17ORF60,0.9999,0.8446,0.662,0.6171,0.5354,0.4901,0.4497,0.3423,0.37,0.0
C1QBP,0.9999,0.8814,0.6514,0.1228,0.0902,0.1258,0.1105,0.0644,0.0609,0.0
C20ORF3,0.9999,0.8118,0.8045,0.8627,0.8089,0.1616,0.1297,0.0721,0.0418,0.0
C4B,0.9999,0.8521,0.7577,0.6457,0.4869,0.2609,0.123,0.0597,0.0902,0.0
C8ORF55,0.9999,0.8657,0.4406,0.5425,0.4198,0.9126,0.9872,1.0323,0.7915,0.0
CAD,0.9999,0.8043,0.3544,0.0668,0.0539,0.0667,0.0462,0.041,0.0612,0.0
CADM4,0.9999,0.8518,0.7421,0.8417,0.7899,0.714,0.5116,0.2821,0.2731,0.0
CALR,0.9999,2.3997,3.1313,2.5936,2.8929,2.0884,3.4573,4.4309,5.8528,0.0
CAP1,0.9999,1.0139,0.9327,0.4913,0.0552,0.0461,0.0404,0.0287,0.0375,0.0
CAPN1,0.9999,0.8953,0.783,0.8272,0.9059,1.6612,0.4558,0.1411,0.166,0.0
CASP3,0.9998,1.0635,1.1188,0.9874,1.1642,0.7728,0.7157,0.7358,1.0684,0.0
CAT,0.9999,0.8881,0.6593,0.4997,0.6154,0.7217,1.1511,0.6968,0.3044,0.0
CCT3,0.9999,1.0761,0.9662,0.7927,0.3862,0.1636,0.1247,0.0742,0.0633,0.0
CD151,0.9999,0.9085,0.843,0.9752,0.8834,0.9065,0.8458,0.4871,0.5778,0.0
CD200R1,0.9999,0.9622,0.7625,0.8184,0.8598,0.7336,0.7027,0.7085,0.7723,0.0
CD320,0.9999,0.8652,0.7563,0.786,0.7259,0.725,1.0647,1.0852,1.4509,0.0
CD37,0.9999,0.8492,0.7523,0.6352,0.6678,0.7393,0.6431,0.4943,0.6,0.0
CD40,0.9999,0.7133,0.5003,0.4854,0.5054,0.6787,0.7268,0.4507,0.4256,0.0
CD44,0.9999,0.8877,0.7828,0.7448,0.7125,0.7953,0.6934,0.5476,0.6104,0.0
CD46,0.9999,0.9292,0.8135,0.8877,0.7886,0.7687,0.6094,0.3528,0.3071,0.0
CD47,0.9999,0.8834,0.8215,0.8968,0.9312,0.9482,0.8699,0.6714,0.87,0.0
CD48,0.9999,0.9048,0.7858,0.8483,0.7925,0.7207,0.5222,0.356,0.3549,0.0
CD53,0.9999,0.8537,0.7838,0.9566,1.0262,1.0911,0.9339,0.7,0.8281,0.0
CD55,0.9999,0.8016,0.7292,0.7589,0.696,0.74,1.4156,2.4997,2.5096,0.0
CD59,0.9999,0.8244,0.6807,0.7896,0.9669,1.1498,1.227,0.8429,1.0333,0.0
CD63,0.9999,0.8479,0.7726,0.7242,0.7025,0.6624,1.0272,0.9067,1.7857,0.0
CD69,0.9999,0.8438,0.7554,0.8189,0.7625,0.7822,0.694,0.4486,0.3953,0.0
CD80,0.9999,0.9175,0.7273,0.6212,0.4915,0.5892,0.4886,0.3418,0.3174,0.0
CD81,0.9999,0.8618,0.6828,0.7958,0.9938,0.8364,0.7701,0.6957,0.8777,0.0
CD82,0.9999,0.9299,0.8425,0.8452,0.9903,0.8278,0.839,0.529,0.6922,0.0
CD84,0.9999,0.8653,0.7028,0.7125,0.5187,0.5338,0.5213,0.3838,0.4086,0.0
CD97,0.9999,0.9214,0.746,0.7536,0.7809,0.7176,0.6614,0.4361,0.2779,0.0
CD99,0.9999,0.9022,0.8654,0.9696,1.1264,0.9697,0.9473,0.4619,0.6017,0.0
CD99L2,0.9999,0.9069,0.8333,0.9233,0.7346,2.1458,1.6983,1.3113,1.4646,0.0
CDC42,0.9999,1.0142,0.8527,0.9459,1.045,1.542,1.8309,1.9642,1.3067,0.0
CDCP1,0.9999,0.8196,0.6799,0.5834,0.4822,0.4244,0.3614,0.2772,0.3023,0.0
CDIPT,0.9999,0.7924,0.65,0.6146,0.548,0.5999,0.4645,0.1331,0.112,0.0
CDV3,0.9999,0.9468,0.6733,0.54,0.4787,0.6001,0.1218,0.1028,0.0876,0.0
CHID1,0.9999,0.8997,0.8532,0.5284,0.4143,0.6261,0.804,0.7307,1.1283,0.0
CLCN3,0.9999,0.8189,0.8243,0.75,0.7061,0.5598,0.1685,0.0474,0.0707,0.0
CLDND1,0.9999,0.874,0.7679,0.7615,0.7151,0.633,0.4586,0.235,0.2821,0.0
CLIC1,0.9999,1.0132,0.7167,0.1916,0.0515,0.0333,0.0216,0.0122,0.0156,0.0
CLIC4,0.9999,1.0474,0.7172,0.2984,0.0947,0.0328,0.0371,0.0361,0.064,0.0
CLN3,0.9999,0.9396,1.1061,1.285,1.4215,0.7722,1.6194,2.2693,3.3782,0.0
CLPTM1,0.9999,0.6569,0.5219,0.3779,0.3365,0.1735,0.2423,0.1912,0.2397,0.0
CLTA,0.9999,1.0379,0.8772,0.7214,0.7217,0.6421,0.1922,0.152,0.1575,0.0
CLTB,0.9999,1.22,1.1148,1.0712,0.9136,0.7188,0.2286,0.1894,0.1776,0.0
CLTC,0.9999,0.8198,0.4665,0.0418,0.0389,0.0158,0.0136,0.0109,0.0177,0.0
CNN2,0.9999,0.7369,0.247,0.0808,0.063,0.0692,0.063,0.0681,0.0878,0.0
CNNM3,0.9999,0.786,0.4875,0.1768,0.0565,0.0687,0.041,0.0281,0.0321,0.0
CNNM4,0.9999,0.7609,0.3383,0.0782,0.0739,0.0,0.0013,0.0008,0.0035,0.0
CNP,0.9999,0.9332,0.5939,0.2241,0.1278,0.1011,0.0778,0.0584,0.073,0.0
CNPY2,0.9999,1.0468,0.9484,0.7984,0.586,0.5408,0.7081,0.6693,0.7699,0.0
COMT,0.9999,0.8689,0.6167,0.2834,0.0854,0.0717,0.0373,0.0271,0.0309,0.0
COPB1,0.9999,0.8816,0.5327,0.1267,0.0489,0.0638,0.026,0.0157,0.0196,0.0
CORO1B,0.9999,1.1223,0.7514,0.0625,0.0288,0.0804,0.054,0.0555,0.0791,0.0
CPD,0.9999,0.8019,0.6961,0.606,0.4335,0.2199,0.3223,0.4614,0.5697,0.0
CPNE1,0.9999,0.6607,0.1342,0.0261,0.0021,0.0583,0.0688,0.0697,0.1152,0.0
CS,0.9999,0.9288,0.6348,0.3179,0.135,0.0499,0.0474,0.0468,0.05,0.0
CSDE1,0.9999,0.5643,0.2422,0.0799,0.0561,0.0993,0.0175,0.0,0.0166,0.0
CSK,0.9999,0.7961,0.376,0.2244,0.2636,0.1902,0.048,0.0469,0.0895,0.0
CTNND1,0.9999,0.4335,0.1457,0.0449,0.0558,0.1542,0.0617,0.062,0.0386,0.0
CTSB,0.9999,1.1294,1.133,1.0234,0.9013,0.5228,0.9395,1.5948,2.6052,0.0
CTTN,0.9999,0.9772,0.6974,0.5278,0.4954,0.9602,0.5514,0.3489,0.3379,0.0
CUL5,0.9999,1.0111,0.9546,0.9252,0.6458,0.251,0.1635,0.1726,0.15,0.0
CUTA,0.9999,0.9086,0.7987,0.94,1.8773,8.4964,1.9359,0.7178,0.8405,0.0
CYB5R1,0.9999,1.0013,0.8792,0.8298,0.7093,0.7752,0.2049,0.1281,0.1717,0.0
DAG1,0.9999,0.8764,0.7663,0.7562,0.7032,0.7411,0.5978,0.3583,0.243,0.0
DCBLD2,0.9999,0.9403,0.7792,0.6463,0.4677,0.3686,0.2568,0.1784,0.2195,0.0
DCI,0.9999,1.0399,0.9891,0.9075,0.8822,0.8452,1.3897,1.6064,1.9358,0.0
DDR1,0.9999,0.6825,0.2881,0.0706,0.0568,0.0422,0.043,0.0352,0.0569,0.0
DIABLO,0.9999,1.0083,0.922,1.051,1.0142,0.7697,0.2228,0.1492,0.1014,0.0
DIAPH1,0.9999,0.6838,0.2284,0.0744,0.0598,0.0313,0.022,0.0182,0.0332,0.0
DJ-1,0.9999,1.1638,1.1212,1.1178,0.9781,0.5389,0.1289,0.0977,0.0963,0.0
DLK1,0.9999,0.6483,0.4545,0.3737,0.4411,0.7392,1.0822,1.6296,2.1658,0.0
DNAJA1,0.9999,1.0161,0.7558,0.4425,0.2869,0.3565,0.1797,0.2025,0.1422,0.0
DNAJA2,0.9999,0.9998,0.6889,0.3352,0.2254,0.0737,0.0582,0.0406,0.0583,0.0
DNM2,0.9999,0.9451,0.588,0.3236,0.2513,0.3121,0.1229,0.0802,0.1132,0.0
DPP3,0.9999,1.1333,0.9373,0.4203,0.1827,0.295,0.2178,0.1432,0.0693,0.0
DSC2,0.9999,0.9297,0.7388,0.5301,0.3516,0.2867,0.25,0.1877,0.2225,0.0
DSG2,0.9999,0.894,0.7859,0.6541,0.3516,0.1952,0.1835,0.1731,0.2207,0.0
DYNLL1,0.9999,1.1988,0.623,0.1625,0.1772,0.3735,0.2647,0.2081,0.2278,0.0
ECE1,0.9999,0.9247,0.7883,0.6677,0.5136,0.459,0.5857,0.7155,0.9215,0.0
ECM1,0.9999,0.7877,0.5648,0.4472,0.4327,0.41,0.8994,1.6233,2.2519,0.0
EEA1,0.9999,1.0208,0.8167,0.8407,0.7857,0.5115,0.5548,0.4973,0.6747,0.0
EEF2,0.9999,0.9887,0.9047,0.8866,0.8011,0.448,0.0682,0.0482,0.0607,0.0
EFNB1,0.9999,0.8346,0.6686,0.4603,0.3069,0.3069,0.254,0.1924,0.1966,0.0
EHD4,0.9999,0.8774,0.597,0.2171,0.1781,0.1649,0.1701,0.1082,0.1488,0.0
EIF5,0.9999,0.9625,0.4479,0.0206,0.0182,0.0936,0.0345,0.0196,0.0261,0.0
EMP3,0.9998,1.1415,1.3327,1.9854,2.434,1.52,1.2947,1.1114,1.4631,0.0
EMR2,0.9999,0.8739,0.7951,0.8222,0.8491,0.7319,0.403,0.1147,0.1221,0.0
ENO1,0.9999,1.2184,1.1631,1.1389,0.8872,0.52,0.0897,0.0541,0.054,0.0
ENPP3,0.9999,0.8728,0.7708,0.7578,0.7582,0.6926,0.6648,0.4646,0.4511,0.0
ENTPD1,0.9999,0.8613,0.7218,0.6905,0.6258,0.5169,0.2915,0.157,0.259,0.0
ENTPD3,0.9999,0.8565,0.7856,0.7545,0.5602,0.3336,0.2381,0.1641,0.1815,0.0
EPCAM,0.9999,0.8292,0.6838,0.6009,0.4456,0.4252,0.3887,0.2891,0.3101,0.0
EPHB4,0.9999,0.276,0.049,0.0177,0.0143,0.0434,0.0149,0.0124,0.0169,0.0
EPS15,0.9999,0.8753,0.4473,0.1192,0.0731,0.0855,0.041,0.0414,0.0533,0.0
ERLIN2,0.9999,0.8661,0.5508,0.1985,0.1583,0.2279,0.2538,0.2084,0.2995,0.0
ERP29,0.9999,1.0918,0.9827,0.7858,0.5345,0.3986,0.5483,0.4759,0.4754,0.0
ESAM,0.9999,0.8903,0.7371,0.724,0.7026,0.6887,0.6098,0.3978,0.3801,0.0
ESD,0.9999,1.2452,1.428,1.457,1.6238,0.903,0.099,0.0754,0.0936,0.0
EVI2B,0.9999,0.8796,0.6943,0.739,0.8138,0.9674,0.8639,0.6294,0.7171,0.0
EXOC1,0.9999,0.6637,0.2412,0.094,0.1124,0.2738,0.1872,0.1443,0.1112,0.0
EZR,0.9999,1.0662,0.9355,0.2171,0.1032,0.0702,0.0657,0.0457,0.0623,0.0
F2RL3,0.9999,0.7357,0.6281,0.685,0.5699,0.5139,0.3486,0.1799,0.0982,0.0
F5,0.9999,0.8892,0.805,0.7606,0.6214,0.5191,0.3583,0.1782,0.1851,0.0
FAM171A1,0.9999,0.8605,0.5386,0.3976,0.2391,0.1186,0.1072,0.0845,0.1121,0.0
FAM49B,0.9999,1.0242,1.0168,0.7491,0.3315,0.0692,0.0301,0.0234,0.0427,0.0
FAM62A,0.9999,0.5691,0.1981,0.0491,0.0538,0.0152,0.0043,0.0056,0.0148,0.0
FASN,0.9999,0.851,0.6179,0.1323,0.0479,0.04,0.0326,0.0211,0.0265,0.0
FAT1,0.9999,0.9176,0.6521,0.3817,0.3029,0.2664,0.2457,0.1962,0.226,0.0
FCGR2B,0.9999,0.9066,0.8217,0.6729,0.4858,0.5318,0.4474,0.2874,0.2885,0.0
FCGR2C,0.9999,0.8986,0.8646,0.8949,0.8828,0.7677,0.625,0.4261,0.442,0.0
FEN1,0.9999,0.5999,0.2055,0.0093,0.0082,0.0434,0.0291,0.0236,0.0296,0.0
FERMT3,0.9999,0.8894,0.3994,0.0687,0.0509,0.0447,0.0261,0.0216,0.0307,0.0
FLNA,0.9999,0.9334,0.3876,0.1127,0.0975,0.0936,0.0618,0.0467,0.0638,0.0
FLNB,0.9999,1.012,0.7655,0.2456,0.1348,0.063,0.0763,0.0488,0.071,0.0
FLNC,0.9999,0.8999,0.6203,0.3033,0.1848,0.0547,0.0251,0.0175,0.0189,0.0
FLOT1,0.9999,1.1127,0.7311,0.5342,0.3286,0.1849,0.1997,0.153,0.202,0.0
FLVCR1,0.9999,0.8691,0.8189,0.8814,0.936,0.9434,0.5741,0.0393,0.0437,0.0
FMNL1,0.9999,0.4688,0.2233,0.1165,0.1344,0.0169,0.0409,0.0244,0.015,0.0
FOLR1,0.9999,0.8159,0.596,0.5621,0.669,0.6995,0.7918,0.7915,0.8519,0.0
FZD1,0.9999,0.8639,0.6832,0.8164,0.7963,0.7017,0.3734,0.0477,0.077,0.0
G6PD,0.9999,1.0529,0.9527,0.6175,0.1414,0.0944,0.0653,0.0477,0.0413,0.0
GAPDH,0.9999,0.9876,0.8679,0.9274,1.0272,0.9578,0.3972,0.2714,0.1328,0.0
GGH,0.9999,0.9341,0.7286,0.708,0.7956,1.2706,3.2534,4.6669,8.334,0.0
GGT1,0.9999,0.8407,0.7363,0.7374,0.7329,0.7108,0.6204,0.4454,0.4027,0.0
GGT5,0.9999,0.8061,0.6145,0.6,0.5543,0.2881,0.1996,0.1408,0.1686,0.0
GLB1L2,0.9999,0.8702,0.6722,0.674,0.4858,0.3228,0.4355,0.5286,0.4861,0.0
GLG1,0.9999,0.8885,0.7194,0.6734,0.5953,0.4166,0.7474,1.3226,1.5629,0.0
GLIPR1,0.9999,0.7686,0.4852,0.7152,0.7237,0.7577,0.7316,0.5204,0.5063,0.0
GNAI3,0.9999,0.9712,0.7092,0.4854,0.2155,0.1418,0.113,0.0783,0.1391,0.0
GNB1,0.9999,0.9772,0.9371,1.0079,0.5494,0.1687,0.1371,0.1216,0.1553,0.0
GNB2L1,0.9999,0.953,0.761,0.6064,0.599,0.4996,0.2161,0.0513,0.0648,0.0
GNG5,0.9999,0.939,0.7309,0.6726,0.6488,0.4595,0.6589,0.6144,0.599,0.0
GOT2,0.9999,1.0148,0.6855,1.0466,1.5946,2.1572,4.0444,2.9805,0.2655,0.0
GP1BB,0.9999,0.7522,0.7709,0.7041,0.6145,0.4305,0.3494,0.2238,0.1962,0.0
GPI,0.9999,0.9391,0.8317,0.5294,0.3843,0.3637,0.2843,0.217,0.2192,0.0
GPR183,0.9999,0.9295,0.8465,0.9556,0.8862,0.6877,0.3624,0.1773,0.1649,0.0
GPRC5B,0.9999,0.947,0.7856,0.8108,1.066,0.5354,0.4146,0.2158,0.229,0.0
GPRC5C,0.9999,0.9259,0.8095,0.8069,0.9196,0.7682,0.6663,0.383,0.4312,0.0
GSR,0.9999,0.9748,0.826,0.639,0.8011,1.0419,1.5678,2.3262,2.3859,0.0
GSTP1,0.9999,1.1412,0.9992,0.7884,0.363,0.0977,0.0872,0.0746,0.0702,0.0
GYPC,0.9998,0.6612,0.8225,1.2872,0.9639,0.6153,0.8252,0.9353,0.8104,0.0
HBS1L,0.9999,0.8751,0.5608,0.119,0.0503,0.0568,0.0266,0.0177,0.0239,0.0
HDDC2,0.9999,0.9967,0.8437,0.751,0.7291,0.4256,0.1871,0.1203,0.1129,0.0
HDLBP,0.9999,0.5452,0.3739,0.3367,0.2709,0.3917,0.3328,0.3032,0.2129,0.0
HEPH,0.9999,0.8518,0.7121,0.626,0.4736,0.3443,0.2445,0.181,0.1722,0.0
HINT1,0.9999,1.3554,1.2433,1.2147,1.1233,0.8481,0.1663,0.1271,0.1209,0.0
HM13,0.9999,0.9925,0.9203,1.068,1.0309,1.058,1.8133,1.1042,0.8338,0.0
HMGB1,0.9999,1.14,1.0239,0.8502,0.6824,0.7057,0.4576,0.3565,0.3527,0.0
HMOX2,0.9999,0.7791,0.2931,0.0707,0.0701,0.065,0.0935,0.0817,0.0786,0.0
HN1L,0.9999,0.987,0.8935,0.8287,0.7878,0.7388,0.2344,0.2198,0.2972,0.0
HNRNPM,0.9999,0.2387,0.1043,0.0622,0.0626,0.0429,0.0584,0.0403,0.0486,0.0
HSD17B10,0.9999,0.9573,0.8347,0.7494,0.36,0.0979,0.0423,0.0359,0.0539,0.0
HSD17B11,0.9999,0.929,0.7717,0.5243,0.4113,0.263,0.3457,0.3571,0.4412,0.0
HSP90AA1,0.9999,1.0012,0.6372,0.1106,0.0509,0.0681,0.0447,0.0207,0.0242,0.0
HSP90AB1,0.9999,0.9772,0.6506,0.0896,0.0571,0.0465,0.0317,0.0237,0.0263,0.0
HSP90B1,0.9999,0.9287,0.7491,0.6258,0.5055,0.356,0.4848,0.4766,0.6961,0.0
HSPA5,0.9999,1.0092,0.8361,0.8951,0.8345,0.6483,0.6269,0.6474,0.8012,0.0
HSPA8,0.9999,0.9278,0.6798,0.5674,0.5331,0.2722,0.0529,0.0476,0.0665,0.0
HSPB1,0.9999,0.7278,0.3547,0.1058,0.0814,0.0683,0.0816,0.111,0.195,0.0
HSPD1,0.9999,1.008,0.8842,0.8789,0.7223,0.4418,0.0803,0.0247,0.0301,0.0
HSPG2,0.9999,0.762,0.5818,0.5248,0.5559,0.3151,0.2117,0.1994,0.2231,0.0
ICAM1,0.9999,0.875,0.7726,0.8341,0.7598,0.7509,0.6042,0.4338,0.4726,0.0
ICAM2,0.9999,0.845,0.7396,0.6157,0.4206,0.3712,0.3459,0.2208,0.1856,0.0
ICAM5,0.9999,0.8665,0.7023,0.6349,0.6018,0.4828,0.3996,0.3427,0.3806,0.0
IFITM1,0.9999,0.8557,0.848,0.9624,1.1026,0.5745,0.2621,0.1696,0.2073,0.0
IFNAR1,0.9999,0.8581,0.6136,0.3831,0.2443,0.1987,0.1831,0.1463,0.1605,0.0
