Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
ABCA7,0.9999,0.6556,0.796,0.3496,0.0821,0.6673,0.3817,0.2643,0.1319,0.0
ABCA8,0.9999,0.8019,0.6584,0.697,0.7033,0.5643,0.1322,0.0423,0.0564,0.0
ABCB1,0.9999,0.8206,0.6807,0.4619,0.2611,0.0742,0.0312,0.034,0.0286,0.0
ABCC1,0.9999,0.8752,0.7571,0.6378,0.5408,0.0933,0.0284,0.0262,0.0326,0.0
ABCC10,0.9998,1.404,0.361,0.7909,0.4168,1.2361,0.4497,1.4833,0.658,0.0
ABCC4,0.9999,0.8612,0.7355,0.7563,0.7342,0.6568,0.2688,0.0465,0.0696,0.0
ABCC5,0.9999,0.7993,0.5709,0.4698,0.3133,0.1282,0.0378,0.0265,0.0308,0.0
ACE,0.9999,0.8593,0.8138,0.7948,0.683,0.4569,0.3568,0.2901,0.2682,0.0
ACIN1,0.9999,0.8859,0.8867,0.8867,0.8163,1.4006,0.6461,0.5282,1.9589,0.0
ACLY,0.9999,0.898,0.6746,0.1924,0.0495,0.036,0.0244,0.0132,0.0179,0.0
ACOX1,0.9999,0.9714,0.7285,0.734,0.636,0.7542,1.4717,1.7783,1.5715,0.0
ACPP,0.9999,1.0215,0.6843,0.4134,0.3501,0.3152,0.2833,0.3304,0.3802,0.0
ACTL6A,0.9999,0.802,0.5722,0.2173,0.1086,0.3021,0.2721,0.1344,0.1268,0.0
ACTN1,0.9999,1.059,0.9818,0.7626,0.5436,0.3298,0.0789,0.0615,0.0804,0.0
ACVR1,0.9999,0.5218,0.1007,0.0209,0.0181,0.011,0.0138,0.012,0.014,0.0
ACVR2B,0.9999,0.4875,0.244,0.1313,0.0787,0.1091,0.1021,0.0915,0.1005,0.0
ADAM10,0.9999,0.7997,0.6678,0.6295,0.5892,0.4677,0.3271,0.2166,0.2517,0.0
ADAM15,0.9999,0.8102,0.6999,0.6637,0.3669,0.32,0.233,0.1332,0.1272,0.0
ADAM17,0.9999,0.8288,0.7137,0.5144,0.3468,0.2868,0.2744,0.1514,0.149,0.0
ADAM9,0.9999,0.916,0.749,0.7298,0.7261,0.7144,0.5823,0.3671,0.3821,0.0
ADCY3,0.9999,0.7666,0.2504,0.0252,0.0209,0.0529,0.0248,0.0051,0.0039,0.0
ADCY7,0.9999,0.7419,0.3546,0.1059,0.0673,0.0282,0.0196,0.0139,0.0277,0.0
ADI1,0.9999,0.8217,0.3578,0.0149,0.0123,0.2836,0.1685,0.1346,0.1428,0.0
ADPGK,0.9999,1.0093,1.0765,1.1756,1.0422,1.0584,1.078,0.6365,0.6863,0.0
ADRM1,0.9999,0.855,0.5266,0.2012,0.0673,0.0234,0.0292,0.0281,0.0418,0.0
ADSS,0.9999,1.0214,0.9804,0.9162,0.7912,0.4294,0.1895,0.1172,0.1488,0.0
AHCYL1,0.9999,0.86,0.6784,0.5301,0.3545,0.356,0.1831,0.1312,0.1299,0.0
