Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
MAP1B,0.9999,0.8637,0.6902,0.5532,0.4382,0.4605,0.2075,0.1753,0.1532,0.0
MAP4,0.9999,0.8685,0.7596,0.6368,0.5289,1.1051,1.225,0.7703,0.5255,0.0
MARCKSL1,0.9999,0.9454,0.9162,0.9491,1.0293,2.9612,3.8388,3.1701,3.4404,0.0
MCAM,0.9999,0.8729,0.835,0.7991,0.7594,0.7467,0.642,0.4723,0.4672,0.0
MCTS1,0.9999,0.9409,0.8134,0.6674,0.4822,0.5119,0.0747,0.0319,0.088,0.0
MDH2,0.9999,1.132,0.7696,0.8681,0.971,0.9702,0.9034,0.0455,0.0499,0.0
MERTK,0.9999,0.683,0.2531,0.1402,0.1153,0.0613,0.0367,0.0415,0.0176,0.0
MESDC2,0.9999,0.9185,0.7922,0.5968,0.4459,0.4325,0.6518,0.6149,0.4808,0.0
METAP2,0.9999,1.0101,0.5414,0.5525,0.4968,0.7056,0.5414,0.2628,0.2239,0.0
MFGE8,0.9999,0.8497,0.7426,0.6516,0.5761,0.5918,0.4662,0.2504,0.195,0.0
MFI2,0.9999,0.8608,0.7598,0.6266,0.4872,0.3787,0.333,0.2344,0.2381,0.0
MIF,0.9999,0.9014,0.758,0.6975,0.6188,0.7363,0.3513,0.514,0.4185,0.0
MLLT4,0.9999,0.8802,0.676,0.5683,0.3897,0.029,0.0195,0.0374,0.0409,0.0
MME,0.9999,0.8815,0.7548,0.7695,0.7038,0.6781,0.3839,0.2409,0.2277,0.0
MPDU1,0.9999,0.8925,0.9875,1.1316,1.2039,1.5632,2.2798,1.9473,1.2299,0.0
MPP1,0.9999,0.6042,0.2581,0.0991,0.0782,0.0461,0.0601,0.0464,0.0449,0.0
MPZL1,0.9999,0.9114,0.8012,0.765,0.7015,0.701,0.5879,0.3588,0.3313,0.0
MRC2,0.9999,0.8452,0.7787,0.5685,0.3902,0.339,0.405,0.3749,0.3637,0.0
MSH6,0.9999,0.64,0.3729,0.3167,0.2744,0.2188,0.1446,0.1452,0.1465,0.0
MSN,0.9999,0.9533,0.8426,0.0757,0.053,0.0286,0.0349,0.0245,0.0288,0.0
MTDH,0.9999,0.8206,0.7429,0.5503,0.3577,0.3328,0.3005,0.1599,0.1285,0.0
MUC1,0.9999,0.8308,0.7655,0.7001,0.658,0.709,0.6266,0.476,0.3949,0.0
MXRA8,0.9999,0.8316,0.6382,0.4515,0.3439,0.2387,0.1544,0.1871,0.1084,0.0
MYD88,0.9999,0.2667,0.0888,0.1157,0.0587,0.077,0.0688,0.0513,0.0604,0.0
MYH10,0.9999,0.6275,0.3437,0.1696,0.083,0.1268,0.1121,0.1199,0.1176,0.0
MYH9,0.9999,0.8583,0.7092,0.3654,0.0764,0.0594,0.0894,0.0777,0.0629,0.0
MYO1C,0.9999,0.6322,0.1817,0.1008,0.0326,0.2866,0.3104,0.4278,0.4143,0.0
NAG,0.9999,0.4835,0.1679,0.0558,0.0374,0.0544,0.0409,0.0404,0.0433,0.0
NAPA,0.9999,0.8782,0.5871,0.2989,0.1741,0.0112,0.01,0.01,0.01,0.0
NAPG,0.9999,0.6534,0.2437,0.0995,0.0724,0.1526,0.1118,0.1014,0.0889,0.0
NCAM2,0.9999,0.8808,0.8401,0.8249,0.7576,0.5859,0.5079,0.3528,0.3912,0.0
NCSTN,0.9999,0.9841,0.7625,0.603,0.519,0.6019,0.7707,0.8334,1.0534,0.0
NEO1,0.9999,0.8654,0.6478,0.4434,0.3332,0.2642,0.2323,0.1621,0.1726,0.0
NOTCH1,0.9999,0.4659,0.1858,0.0744,0.0538,0.0383,0.0786,0.0835,0.1108,0.0
NPC1,0.9999,1.0847,0.8366,0.6677,0.8533,0.8621,3.4575,4.0395,3.4049,0.0
NPTN,0.9999,0.9049,0.8227,0.8264,0.661,0.4222,0.2916,0.393,0.5815,0.0
NRAS,0.9999,0.7902,1.0652,2.9629,4.746,1.0643,1.0207,0.7669,0.3578,0.0
NRD1,0.9999,0.8933,0.3903,0.0614,0.0412,0.0788,0.0532,0.0395,0.0431,0.0
NSF,0.9999,0.8042,0.2731,0.096,0.052,0.0487,0.0684,0.067,0.058,0.0
NTRK1,0.9999,0.3908,0.0751,0.0268,0.0279,0.0077,0.0194,0.0314,0.0353,0.0
NUCB2,0.9999,1.1321,0.8797,0.9654,1.1587,1.5081,5.7809,6.9944,6.0984,0.0
ORAI1,0.9999,0.8598,0.7629,0.7783,0.7196,0.7824,0.6579,0.426,0.4258,0.0
P2RX1,0.9999,0.9536,0.7058,0.7502,0.7088,0.6141,0.6909,0.3949,0.3368,0.0
P2RY1,0.9999,0.8643,0.704,0.6309,0.5329,0.7524,0.6056,0.3356,0.345,0.0
P4HB,0.9999,1.0464,0.9742,0.9277,0.7706,0.8718,1.418,1.3987,1.0808,0.0
PAFAH1B2,0.9999,0.7949,0.5425,0.2243,0.1527,0.0673,0.0177,0.0257,0.0393,0.0
PAK2,0.9999,0.7833,0.7728,0.6791,0.3628,0.1497,0.1112,0.0941,0.0833,0.0
PANX1,0.9999,0.9026,0.8271,0.815,0.8871,1.1302,0.9853,0.7018,0.7629,0.0
PC,0.9999,0.7547,0.3755,0.0536,0.0588,0.0378,0.0248,0.0162,0.0177,0.0
PCYOX1,0.9999,1.1257,0.8197,0.8208,0.9019,0.7787,0.6962,0.3241,0.3045,0.0
PDIA3,0.9999,0.9474,0.5626,0.3762,0.2919,0.2782,0.4042,0.4188,0.3812,0.0
PDIA4,0.9999,0.985,0.6695,0.4138,0.3187,0.3705,0.5071,0.5307,0.4906,0.0
PDIA6,0.9999,0.984,0.8557,0.7094,0.4259,0.4403,0.6546,0.6889,0.6353,0.0
PDLIM5,0.9999,0.9829,0.6903,0.3375,0.2312,0.0832,0.0267,0.0315,0.0188,0.0
PFKM,0.9999,0.9117,0.8552,0.89,0.9156,1.0569,0.3696,0.2651,0.2161,0.0
PHB,0.9999,0.9079,0.8287,0.6477,0.5431,0.6064,0.6641,0.5095,0.2301,0.0
PHB2,0.9999,0.8483,0.7337,0.5592,0.485,0.4401,0.5638,0.4552,0.1735,0.0
PKM2,0.9999,0.9393,0.9093,0.9299,0.8266,1.3819,0.0664,0.0491,0.0513,0.0
PKN1,0.9999,0.7571,0.3151,0.0785,0.0601,0.01,0.0269,0.0488,0.0281,0.0
PLAU,0.9999,0.9017,0.7081,0.663,0.6037,0.5021,0.4046,0.2379,0.2499,0.0
PLAUR,0.9999,0.82,0.6694,0.6458,0.5744,0.786,0.7707,0.6286,0.6132,0.0
