Accession,IPI_ID,UniProt_ID,qusm.1.1,qusm.1.2,qusm.2.1,qusm.2.2,qusm.3.1,qusm.3.2,qupm.1.1,qupm.1.2,qupm.2.1,qupm.2.2,qupm.3.1,qupm.3.2,37C_cond1.1.1,37C_cond1.1.2,37C_cond1.2.1,37C_cond1.2.2,37C_cond1.3.1,37C_cond1.3.2,37C_cond2.1.1,37C_cond2.1.2,37C_cond2.2.1,37C_cond2.2.2,37C_cond2.3.1,37C_cond2.3.2,47.4C_cond1.1.1,47.4C_cond1.2.1,47.4C_cond1.3.1,47.4C_cond2.1.1,47.4C_cond2.2.1,47.4C_cond2.3.1,51C_cond1.1.1,51C_cond1.2.1,51C_cond1.3.1,51C_cond2.1.1,51C_cond2.2.1,51C_cond2.3.1,53.9C_cond1.1.1,53.9C_cond1.2.1,53.9C_cond1.3.1,53.9C_cond2.1.1,53.9C_cond2.2.1,53.9C_cond2.3.1,56.8C_cond1.1.1,56.8C_cond1.2.1,56.8C_cond1.3.1,56.8C_cond2.1.1,56.8C_cond2.2.1,56.8C_cond2.3.1,59.9C_cond1.1.2,59.9C_cond1.2.2,59.9C_cond1.3.2,59.9C_cond2.1.2,59.9C_cond2.2.2,59.9C_cond2.3.2,62.5C_cond1.1.2,62.5C_cond1.2.2,62.5C_cond1.3.2,62.5C_cond2.1.2,62.5C_cond2.2.2,62.5C_cond2.3.2,65.6C_cond1.1.2,65.6C_cond1.2.2,65.6C_cond1.3.2,65.6C_cond2.1.2,65.6C_cond2.2.2,65.6C_cond2.3.2,69C_cond1.1.2,69C_cond1.2.2,69C_cond1.3.2,69C_cond2.1.2,69C_cond2.2.2,69C_cond2.3.2,meanlog2Ratio37C,meanlog2Ratio47.4C,meanlog2Ratio51C,meanlog2Ratio53.9C,meanlog2Ratio56.8C,meanlog2Ratio59.9C,meanlog2Ratio62.5C,meanlog2Ratio65.6C,meanlog2Ratio69C,meanStDev,pValue_less37C,pValue_less47.4C,pValue_less51C,pValue_less53.9C,pValue_less56.8C,pValue_less59.9C,pValue_less62.5C,pValue_less65.6C,pValue_less69C,pValue_greater37C,pValue_greater47.4C,pValue_greater51C,pValue_greater53.9C,pValue_greater56.8C,pValue_greater59.9C,pValue_greater62.5C,pValue_greater65.6C,pValue_greater69C,collation.log2Ratio,collation.pValue,collation.pvalue.count,collation.pValue.start,collation.ratio.count,collation.ratio.start,Meltpnt_cond1_1,Meltpnt_cond1_2,Meltpnt_cond1_3,Meltpnt_cond2_1,Meltpnt_cond2_2,Meltpnt_cond2_3,Rsq_cond1_1,Rsq_cond1_2,Rsq_cond1_3,Rsq_cond2_1,Rsq_cond2_2,Rsq_cond2_3,Plateau,Mean_dTm,dTm_pValue,Significance_in_plateau,distancescore,collation.pValue.corrected,pValue37C,pValue37C.corrected,fullfil_all_criteria_collation,fullfil_all_criteria_37
ACE,IPI00437751.1,P12821,5,3,6,5,8,4,5,3,6,5,8,4,1,1,1,1,1,1,1.004558912,1.117100445,0.992010815,0.878792881,1.090585635,1.110550487,0.86783405,0.895536907,0.886765261,0.86326608,0.855553269,0.965247121,0.808724251,0.836819394,0.851876026,0.817570195,0.830418839,0.890715,0.74690862,0.767031948,0.707627507,0.7984888,0.78098186,0.834018599,0.548383602,0.522694585,0.53431447,0.686172953,0.561956311,0.628348635,0.441957626,0.501813572,0.52202257,0.459005668,0.426803305,0.551104573,0.359029719,0.34312267,0.414329733,0.358495145,0.347837069,0.396921136,0.221887427,0.261818259,0.329069512,0.291443885,0.279263848,0.281528245,0.26752408,0.208929069,0.284777528,0.269432208,0.277649004,0.247144394,0.040786994,0.016278999,0.022979337,0.11981074,0.220584249,-0.033587438,-0.014796471,0.087113541,0.072007141,0.146963605,0.756166984,0.601299641,0.796459765,0.903365832,0.963053814,0.38471344,0.302910023,0.663048101,0.636008868,0.243833016,0.398700359,0.203540235,0.096634168,0.036946186,0.61528656,0.697089977,0.336951899,0.363991132,0.220584249,0.047335033,3,3,1,5,56.9759519,58.06613226,56.84769539,58.83567134,56.59118236,58.96392786,0.983121152,0.984596938,0.986020716,0.968806068,0.975180702,0.991933213,,0.833667335,0.388226549,,0.443856337,0.148415051,0.243833016,0.637362109,1,1
ACIN1,IPI00007334.1,"E7EQT4,Q9UKV3",1,1,,2,,,1,1,,2,,,1,1,,1,,,0.791935249,0.932569786,,0.808547843,,,0.920288979,,,0.701680862,,,0.718860643,,,0.702323663,,,0.78542353,,,0.702269269,,,0.593721055,,,0.646520712,,,0.079770814,0.465900346,,1.109328654,0.642234068,,0.245630867,0.727048378,,0.511696224,0.543009811,,0.553837349,0.752674028,,0.418383859,0.906119344,,0.670559292,1.001994798,,1.551516248,1.225669066,,-0.247952326,-0.391271938,-0.033576077,-0.161446513,0.122911312,2.130379919,0.31886131,-0.068479633,0.750468239,0.93166939,0.039465846,,,,,0.788623068,0.629515275,0.436031082,0.825035084,0.960534154,,,,,0.211376932,0.370484725,0.563968918,0.174964916,-0.247952326,0.039465846,1,1,1,1,52.80761523,,,,,,0.588525377,,,0.580290534,,,53.09619238,,,,-0.646792765,,0.039465846,,0,0
ACLY,IPI00394838.3,P53396,27,13,26,16,24,11,27,13,25,16,24,11,1,1,1,1,1,1,1.086178777,1.051176559,0.986914379,0.955163123,1.226978861,1.066788724,0.883052352,0.918060699,0.884911915,0.975485782,0.962829641,0.915799564,0.740993497,0.717006012,0.704947532,0.732822198,0.888020554,0.713490244,0.229496532,0.202268648,0.198258012,0.209015399,0.239366323,0.224366305,0.052223322,0.04200969,0.042534495,0.053733492,0.0438731,0.037272903,0.028202447,0.085979622,0.026335725,0.039081298,0.108349711,0.033928416,0.02801956,0.079091412,0.030405754,0.026478354,0.088585003,0.027637606,0.015018072,0.05626248,0.018430507,0.014326238,0.064758994,0.018792451,0.012577268,0.055134007,0.015629149,0.019483111,0.059847524,0.01759341,0.082411223,0.087270303,0.103329332,0.095520406,,,,,,0.13906214,0.915193886,0.953323153,0.78912053,0.750485761,0.377645713,0.99445626,0.429624047,0.717901509,0.899778332,0.084806114,0.046676847,0.21087947,0.249514239,0.622354287,0.00554374,0.570375953,0.282098491,0.100221668,0.087270303,0.027723141,3,1,1,2,52.23046092,51.90981964,51.9739479,51.90981964,52.35871743,51.84569138,0.992527543,0.994517289,0.993059999,0.997348891,0.992193447,0.991492973,55.27655311,0,1,,0.133531075,0.103660442,0.084806114,0.325992459,1,1
ACOX1,IPI00296907.4,Q15067,6,11,5,10,4,9,6,9,5,10,4,9,1,1,1,1,1,1,0.902358844,0.942772486,1.115041537,1.096373909,1.039903754,0.931791284,0.908535005,0.954154132,1.021806591,0.876670926,0.985571052,0.951483954,0.919367425,0.654609052,0.963225288,0.657469941,0.6962626,0.772897873,0.726105674,0.559966704,0.925608472,0.662385156,0.543594346,0.734759351,0.697904571,0.55656463,0.692966466,0.573961198,0.471535751,0.636384994,0.733989103,0.835227272,0.851567949,0.680665683,0.847362549,0.657288694,1.561714519,1.801114688,1.817654892,1.328134812,1.633304405,1.43407101,1.615427215,2.099400124,2.038910697,1.604826357,1.756645559,1.720574559,1.408021319,1.621527182,1.305909675,1.4182252,1.394454228,1.191590481,0.001853473,-0.035880022,-0.237438035,-0.169483345,-0.214714788,-0.153865401,-0.23892912,-0.170520251,-0.113133927,0.143163758,0.51321087,0.24976706,0.148779406,0.093487885,0.022857842,0.158044266,0.027128417,0.084300394,0.115552907,0.48678913,0.75023294,0.851220594,0.906512115,0.977142158,0.841955734,0.972871583,0.915699606,0.884447093,-0.23892912,0.005177655,3,5,1,7,,,,,,,0.740766841,0.607132373,0.657243513,0.555898828,0.603749412,0.558980796,37,,,1,-0.625788745,,0.48678913,0.98184644,0,1
ACP1,IPI00219861.3,P24666,,,,1,,,,,,1,,,,,,1,,,,,,1.198187242,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128884174,,,0.230680628,,,0.085494826,,,0.083307646,,,0.058177506,,,0.059361583,,,0.045734419,,,0.055305002,,0.260853378,,,,,0.839821736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.61523046,,,57.80961924,,,0.999998126,,,0.999990121,,60.72745491,5.194388778,,,,,,,0,0
ACPP,IPI00289983.3,P15309,2,3,3,1,1,2,2,3,3,1,1,2,1,1,1,1,1,1,0.797665503,1.036292655,1.028148262,0.85553784,1.17247692,1.134193295,0.782160644,0.869883441,1.049166709,0.814954104,0.854519767,1.032004208,0.636081959,0.580681136,0.706568598,0.545938838,0.489747496,0.659498153,0.365736347,0.334265266,0.361160464,0.329787737,0.29390045,0.462228447,0.214243893,0.153830448,0.273214135,0.279294947,0.142096402,0.198598362,0.243797302,0.293251525,0.2962031,0.251488028,0.274081163,0.31180982,0.261012556,0.438663124,0.474208415,0.22598706,0.398038824,0.425029378,0.256179099,0.493685537,0.529532124,0.263564585,0.510498291,0.493540931,0.266892354,0.430777,0.441453496,0.303307088,0.579964547,0.496690615,-0.008089129,0.003250183,-0.188547468,0.007011315,-0.064038021,0.007117252,-0.168680675,-0.004076988,0.261210247,0.159114069,0.4661847,0.540891636,0.02640301,0.514176028,0.408974326,0.547261532,0.007059416,0.470502646,0.955133212,0.5338153,0.459108364,0.97359699,0.485823972,0.591025674,0.452738468,0.992940584,0.529497354,0.044866788,0.261210247,0.284983789,3,5,1,9,50.37074148,49.66533066,51.01202405,49.53707415,48.63927856,50.69138277,0.974085898,0.855496048,0.91792055,0.991539718,0.790434138,0.898735636,52.51903808,-0.726786907,0.363827908,1,0.538424639,,0.4661847,,0,0
ACSL1,IPI00012728.1,P33121,,,,,1,,,,,,1,,,,,,1,,,,,,0.931480086,,,,0.984094241,,,1.030312557,,,0.778431016,,,0.829151339,,,0.400990255,,,0.388948993,,,0.179891397,,,0.142830111,,,,,,,,,,,,,,,,,,,,,,,,,-0.102403169,0.066213675,0.091066257,-0.043986205,-0.332826042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.74348697,,,53.12825651,,,0.999928674,,,0.982261274,56.36673347,0.384769539,,,,,,,0,0
ACTL6A,IPI00003627.1,O96019,1,1,1,,,,1,1,1,,,,1,1,1,,,,0.814516949,1.074803596,1.160993074,,,,0.630204452,0.895952654,,0.653291238,0.959526434,,0.471811572,0.718009203,,0.466141539,0.723451202,,0.223749007,0.238507968,,0.17704524,0.258445019,,0.100953842,0.160461303,,0.08847745,0.132217886,,0.270030591,,,0.246077969,,,0.173973295,,,0.221647834,,,0.105293408,,,0.10951,,,0.051532054,,,0.103281838,,,0.007816348,0.075403201,-0.003274677,-0.110971642,-0.279308068,-0.134007357,0.349403392,,,0.160728973,0.517787902,0.903845124,0.42769833,0.355149901,0.059613225,,,,,0.482212098,0.096154876,0.57230167,0.644850099,0.940386775,,,,,-0.279308068,0.059613225,1,5,1,5,48.83166333,51.78156313,,48.25450902,51.84569138,,0.954336608,0.984976534,,0.956629354,0.991048402,,56.43086172,-0.256513026,0.922179577,1,-0.71978197,,0.482212098,,0,0
ACTN1,IPI00759776.1,P12814,5,2,4,2,5,1,4,2,4,2,4,1,1,1,1,1,1,1,1.134841315,1.16372812,1.255790407,1.263429947,1.032341886,1.01634688,1.040356258,1.001631769,1.015994652,1.201915795,1.28584189,1.00070239,1.039809134,0.974044079,0.941366369,1.114313722,1.295666934,0.941208806,0.842137771,0.846204555,0.751353647,0.865485341,0.820983329,0.691179008,0.571065591,0.523751948,0.569441756,0.616964534,0.552613034,0.506347065,0.471259365,0.426977721,0.666002122,0.374292852,0.381201166,0.532073605,0.076880384,0.047177611,0.253449522,0.089492001,0.062461632,0.235737406,0.085039378,0.036991096,0.204051603,0.069809856,0.045555178,0.192472913,0.069612248,0.043164686,0.179792882,0.091304136,0.055428755,0.137545169,0.189416618,0.18224646,0.170410392,-0.041544376,0.006498429,-0.273287664,-0.104517745,-0.084278616,-0.386430435,0.145001406,0.990902539,0.878684027,0.848418715,0.231580198,0.525922895,0.019029196,0.817663806,0.453157016,0.660495033,0.009097461,0.121315973,0.151581285,0.768419802,0.474077105,0.980970804,0.182336194,0.546842984,0.339504967,-0.273287664,0.059036346,3,1,1,6,58.13026052,57.68136273,59.34869739,56.9759519,56.78356713,56.46292585,0.971740051,0.977765365,0.935472888,0.989503101,0.958272759,0.973464541,64.70340681,-1.645958584,0.034030895,,-0.705767806,0.171690242,0.009097461,0.110994239,1,1
ACVR1,IPI00029219.1,Q04771,3,5,5,5,6,5,3,5,5,5,6,5,1,1,1,1,1,1,0.929988449,0.905427772,0.885942691,0.867115195,0.91387231,0.96120955,0.505218571,0.494775482,0.50152832,0.485335366,0.422292893,0.513669917,0.0931971,0.085487588,0.110938536,0.093696695,0.057167681,0.121624419,0.017759903,0.007659725,0.034048909,0.019395705,0.007513795,0.032761148,0.013140445,0.008416086,0.026763164,0.016817266,0.007466726,0.020566306,0.003663714,0.008834254,0.004820846,0.010213502,0.007769604,0.006636401,0.013822562,0.020301509,0.013646735,0.012818866,0.014173158,0.013293,0.012054608,0.016439076,0.011594427,0.011199587,0.016697804,0.010715517,0.01103941,0.017071793,0.010242144,0.013063298,0.01957451,0.009400848,-0.135912598,-0.083981769,,,,,,,,0.09285098,0.000704878,0.194755901,0.286654033,0.589234933,0.396475462,0.824677238,0.138481243,0.137582558,0.771584754,0.999295122,0.805244099,0.713345967,0.410765067,0.603524538,0.175322762,0.861518757,0.862417442,0.228415246,-0.135912598,0.001358171,2,1,1,1,47.42084168,47.35671343,47.35671343,47.5490982,47.22845691,47.74148297,0.999850341,0.999509794,0.99981901,0.999895859,0.999658138,0.999914309,50.65931864,0.128256513,0.443938889,,-0.385989159,0.022764146,0.000704878,0.056554619,1,1
