Accession,IPI_ID,UniProt_ID,qusm.1.1,qusm.1.2,qusm.2.1,qusm.2.2,qusm.3.1,qusm.3.2,qupm.1.1,qupm.1.2,qupm.2.1,qupm.2.2,qupm.3.1,qupm.3.2,37C_cond1.1.1,37C_cond1.1.2,37C_cond1.2.1,37C_cond1.2.2,37C_cond1.3.1,37C_cond1.3.2,37C_cond2.1.1,37C_cond2.1.2,37C_cond2.2.1,37C_cond2.2.2,37C_cond2.3.1,37C_cond2.3.2,47.4C_cond1.1.1,47.4C_cond1.2.1,47.4C_cond1.3.1,47.4C_cond2.1.1,47.4C_cond2.2.1,47.4C_cond2.3.1,51C_cond1.1.1,51C_cond1.2.1,51C_cond1.3.1,51C_cond2.1.1,51C_cond2.2.1,51C_cond2.3.1,53.9C_cond1.1.1,53.9C_cond1.2.1,53.9C_cond1.3.1,53.9C_cond2.1.1,53.9C_cond2.2.1,53.9C_cond2.3.1,56.8C_cond1.1.1,56.8C_cond1.2.1,56.8C_cond1.3.1,56.8C_cond2.1.1,56.8C_cond2.2.1,56.8C_cond2.3.1,59.9C_cond1.1.2,59.9C_cond1.2.2,59.9C_cond1.3.2,59.9C_cond2.1.2,59.9C_cond2.2.2,59.9C_cond2.3.2,62.5C_cond1.1.2,62.5C_cond1.2.2,62.5C_cond1.3.2,62.5C_cond2.1.2,62.5C_cond2.2.2,62.5C_cond2.3.2,65.6C_cond1.1.2,65.6C_cond1.2.2,65.6C_cond1.3.2,65.6C_cond2.1.2,65.6C_cond2.2.2,65.6C_cond2.3.2,69C_cond1.1.2,69C_cond1.2.2,69C_cond1.3.2,69C_cond2.1.2,69C_cond2.2.2,69C_cond2.3.2,meanlog2Ratio37C,meanlog2Ratio47.4C,meanlog2Ratio51C,meanlog2Ratio53.9C,meanlog2Ratio56.8C,meanlog2Ratio59.9C,meanlog2Ratio62.5C,meanlog2Ratio65.6C,meanlog2Ratio69C,meanStDev,pValue_less37C,pValue_less47.4C,pValue_less51C,pValue_less53.9C,pValue_less56.8C,pValue_less59.9C,pValue_less62.5C,pValue_less65.6C,pValue_less69C,pValue_greater37C,pValue_greater47.4C,pValue_greater51C,pValue_greater53.9C,pValue_greater56.8C,pValue_greater59.9C,pValue_greater62.5C,pValue_greater65.6C,pValue_greater69C,collation.log2Ratio,collation.pValue,collation.pvalue.count,collation.pValue.start,collation.ratio.count,collation.ratio.start,Meltpnt_cond1_1,Meltpnt_cond1_2,Meltpnt_cond1_3,Meltpnt_cond2_1,Meltpnt_cond2_2,Meltpnt_cond2_3,Rsq_cond1_1,Rsq_cond1_2,Rsq_cond1_3,Rsq_cond2_1,Rsq_cond2_2,Rsq_cond2_3,Plateau,Mean_dTm,dTm_pValue,Significance_in_plateau,distancescore,collation.pValue.corrected,pValue37C,pValue37C.corrected,fullfil_all_criteria_collation,fullfil_all_criteria_37
COPB1,IPI00295851.4,P53618,9,6,10,4,8,9,9,6,10,4,8,9,1,1,1,1,1,1,1.021540507,1.020584754,1.198108707,1.110164397,1.143009112,1.121280462,0.882489693,0.896843539,0.957967326,0.900687059,1.041368023,1.013294028,0.618877006,0.593829833,0.618688924,0.544176918,0.698244688,0.647898071,0.141379132,0.134657817,0.167302779,0.129445286,0.143506326,0.179102723,0.049211152,0.041876589,0.078896147,0.049972661,0.04290361,0.058306369,0.0508234,0.064516572,0.053839007,0.065186311,0.090035777,0.067807185,0.030696734,0.046958055,0.036157167,0.0265361,0.052394537,0.029771087,0.02205265,0.026184452,0.018839174,0.015996501,0.026268921,0.020327147,0.018828393,0.021467563,0.019954559,0.019981287,0.028528989,0.018854787,0.13827644,0.1086676,0.038219606,0.098325857,,,,,,0.133032988,0.992879704,0.905388078,0.60825977,0.598087914,0.250231537,0.993331149,0.250313982,0.288430938,0.780011282,0.007120296,0.094611922,0.39174023,0.401912086,0.749768463,0.006668851,0.749686018,0.711569062,0.219988718,0.13827644,0.011397434,3,1,1,1,51.46092184,51.26853707,51.5250501,50.43486974,51.46092184,51.33266533,0.993361299,0.994756603,0.998964155,0.993106825,0.99634692,0.997553102,54.57114228,-0.342017368,0.360942711,,0.252262033,0.06418657,0.007120296,0.107970626,1,1
CORO1A,IPI00010133.3,P31146,0,2,2,2,3,1,0,2,2,2,3,1,,1,1,1,1,1,,1.135980075,1.083226842,1.044330577,1.172774661,1.072907899,,0.898916231,0.964895117,,1.003766965,1.038300027,,0.252144638,0.300539857,,0.285692821,0.366635128,,0.063647324,0.126135543,,0.056697161,0.170060037,,0.044972353,0.086259814,,0.046621824,0.08218013,0.007686181,0.022577053,0.068153342,0.018897885,0.01945554,0.075837974,0.019584667,0.040500683,0.08582133,0.00538361,0.030295792,0.086010027,0.008312637,0.050601251,0.093229837,0.00765622,0.041871152,0.090439586,0.04230096,0.053741476,0.082495718,0.049388393,0.065926169,0.094299496,0.138660692,0.132472568,0.233500962,0.431069299,,,,,,0.060120424,0.995023676,0.936708081,0.928580947,0.632464543,0.453496203,0.769675913,0.155518075,0.082232289,0.992085576,0.004976324,0.063291919,0.071419053,0.367535457,0.546503797,0.230324087,0.844481925,0.917767711,0.007914424,0.138660692,0.001551457,3,1,1,1,,49.6012024,49.92184369,,49.79358717,50.0501002,,0.999501421,0.999082724,,0.999157712,0.997714821,52.45490982,0.160320641,0.516631755,,0.253156488,,0.004976324,,0,0
CORO1B,IPI00007058.1,Q9BR76,5,3,8,3,5,4,5,3,8,3,5,4,1,1,1,1,1,1,0.916352601,0.925037694,0.751822512,0.767632048,0.989177021,1.057041084,1.085839324,1.056905909,1.141603342,1.028489277,0.788193768,1.044991373,0.675395655,0.72394507,0.75159036,0.688626354,0.591451568,0.700087909,0.049014255,0.125624569,0.083195652,0.05728548,0.132589419,0.089403539,0.024011418,0.107333482,0.029393913,0.02642849,0.099401196,0.025402015,0.07723828,0.064408826,0.074604431,0.073721397,0.086868769,0.07471921,0.062099371,0.037721808,0.067966453,0.049501825,0.033922278,0.056464494,0.057715755,0.039609965,0.050087076,0.050858993,0.044637399,0.045713611,0.079110839,0.050316114,0.076539468,0.072485261,0.067922109,0.066477429,-0.161193041,-0.209693005,-0.122014059,,,,,,,0.181444641,0.05073994,0.095467297,0.159516011,0.951987816,0.30810364,0.74226281,0.019726824,0.355534708,0.560309969,0.94926006,0.904532703,0.840483989,0.048012184,0.69189636,0.25773719,0.980273176,0.644465292,0.439690031,,,3,1,1,7,51.14028056,51.71743487,51.58917836,51.39679359,51.39679359,51.65330661,0.993923463,0.995731294,0.987210828,0.990724619,0.98437709,0.988075947,53.03206413,-7.11E-15,1,1,,,0.05073994,0.24295342,1,1
CORO1C,IPI00867509.1,Q9ULV4,,,0,,1,,,,0,,1,,,,,,1,,,,,,0.903623135,,,,0.863385992,,,0.911438733,,,0.640401229,,,0.609725072,,,0.191087336,,,0.206404119,,,0.113803697,,,0.035261859,,,,,,,,,,,,,,,,,,,,,,,,,-0.146206887,0.078139996,-0.070817205,0.111239596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58917836,,,52.03807615,,,0.983975776,,,0.99831292,55.91783567,0.448897796,,,,,,,0,0
CPD,IPI00027078.3,O75976,3,8,3,5,1,4,3,8,3,5,1,4,1,1,1,1,1,1,0.975407499,0.821845483,0.795530569,0.86015808,0.855898628,0.882912609,0.809662192,0.949026257,0.935239561,0.782289057,0.716379244,0.686904027,0.726461967,0.700674481,0.738272453,0.679064395,0.567786778,0.528087317,0.493037787,0.546720218,0.564983807,0.591166608,0.555041013,0.506660529,0.356648756,0.40636049,0.314233772,0.422912874,0.446553937,0.252729818,0.200947086,0.325870527,0.316804657,0.214525965,0.279734482,0.268029092,0.32464387,0.607692585,0.500468543,0.31437528,0.462732449,0.423521783,0.375099303,0.789544006,0.585034046,0.450086601,0.781555771,0.590873459,0.466383502,0.807812524,0.585853842,0.555779828,0.892050882,0.573238415,-0.211744426,-0.30019007,-0.294703605,0.042156044,0.022562829,-0.122369365,-0.226792275,0.087529264,0.121565571,0.186348572,0.001845702,0.069868683,0.059161792,0.619230408,0.546351988,0.188288307,0.076152751,0.787426476,0.860103377,0.998154298,0.930131317,0.940838208,0.380769592,0.453648012,0.811711693,0.923847249,0.212573524,0.139896623,-0.211744426,0.004406545,3,1,1,1,50.88376754,49.85771543,51.01202405,52.23046092,47.42084168,48.19038076,0.898358473,0.544770368,0.823516342,0.779791849,0.243909469,0.625300409,52.83967936,-1.303941216,0.443651461,,-0.562508815,,0.001845702,0.068281044,0,1
CPNE1,IPI00894409.1,B0QZ18,1,2,3,3,,2,1,2,3,3,,2,1,1,1,1,,1,0.951577302,1.221807223,1.168180872,1.155381045,,0.910817519,0.493823993,0.761086731,,0.628781865,0.933480946,,0.082401933,0.586607431,,0.127671829,0.728665033,,0.023134912,0.253969844,,0.0248557,0.244146079,,0.01,0.156482231,,0.001975482,0.133999875,,0.058462633,0.072011026,0.027011679,0.055436416,0.08977982,0.03176707,0.060069349,0.05685111,0.025494008,0.065519839,0.050582802,0.016878419,0.06443753,0.072592295,0.01725407,0.066321655,0.068287076,0.018213155,0.110052577,0.068310885,0.015939937,0.109665503,0.106061806,0.017501977,0.103055157,0.321561191,0.312860415,-0.056912592,-0.223767196,,,,,0.115084474,0.851877393,0.973334083,0.896378165,0.589975938,0.219649689,0.841157523,0.208003041,0.572618332,0.840100107,0.148122607,0.026665917,0.103621835,0.410024062,0.780350311,0.158842477,0.791996959,0.427381668,0.159899893,0.321561191,0.016056211,3,1,1,2,47.29258517,50.94789579,48.44689379,47.48496994,51.26853707,58.83567134,0.992679687,0.989578456,0.999975264,0.993588165,0.984108499,0.999997473,54.63527054,3.633934536,0.358623286,,0.678908234,,0.148122607,,0,0
CPVL,IPI00301395.4,Q9H3G5,,2,,2,,1,,2,,2,,1,,1,,1,,1,,1.165605286,,0.790975714,,0.749038977,,,,,,,,,,,,,,,,,,,,,,,,,0.601797772,0.603590666,1.330498107,0.480160298,0.508560346,0.824999685,1.00294996,1.009153951,3.658863366,0.71461444,0.858808726,2.805505567,0.865342992,0.937543116,2.826183643,0.878102478,1.043735434,2.801658727,0.686014861,0.869918676,2.033806783,0.820669705,1.031397644,1.972797844,-0.178034224,,,,,-0.42080505,-0.368294982,0.054447458,0.153423527,0.194442256,0.234450504,,,,,0.045393602,0.019211016,0.800838806,0.869753629,0.765549496,,,,,0.954606398,0.980788984,0.199161194,0.130246371,-0.789100032,0.008412013,2,5,2,6,,,,,,,,,-0.414615569,,0.580956821,0.095373933,,,,,-1.906464457,,0.234450504,,0,0
CREG1,IPI00021997.1,O75629,,,1,2,,1,,,1,2,,1,,,1,1,,1,,,0.807565975,0.949317173,,0.871827956,,0.899673232,,,0.71590512,,,0.626124357,,,0.64336111,,,0.388547668,,,0.359807005,,,0.441178996,,,0.484116171,,,0.281343224,0.628912573,,0.2510246,0.525052014,,0.553988757,0.833410634,,0.443120063,0.655414042,,0.626554159,0.853513521,,0.601694068,0.691799969,,0.806087037,0.727633311,,0.801451361,0.784325904,-0.193756836,-0.329632701,0.039179505,-0.110868328,0.133989176,-0.212450796,-0.334389987,-0.180734074,0.049960503,0.091446357,0.051327671,,,,,0.070656039,0.01163759,0.189394707,0.7255792,0.948672329,,,,,0.929343961,0.98836241,0.810605293,0.2744208,-0.334389987,0.011664461,2,5,1,7,,49.0240481,,,48.31863727,,,0.613044094,,,0.418679108,,49.37675351,-0.705410822,,1,-0.848000447,,0.051327671,,0,0
CRELD2,IPI00794252.1,Q6UXH1,,2,,3,,2,,2,,3,,2,,1,,1,,1,,1.036291637,,1.036621816,,0.989254936,,,,,,,,,,,,,,,,,,,,,,,,,0.906663762,0.99318138,1.118830308,0.730687324,0.815033096,0.810705702,1.574463756,2.163882059,2.063108577,1.048436218,1.46715562,1.474160918,1.063508705,1.914008448,1.899103875,0.932539636,1.377791839,1.397508911,0.976840744,1.027672208,1.090127245,0.770212661,0.923062874,0.883248156,0.029244665,,,,,-0.35375102,-0.544049049,-0.368765162,-0.267117229,0.088759628,0.839031901,,,,,0.012079796,0.001564169,0.027390427,0.021498674,0.160968099,,,,,0.987920204,0.998435831,0.972609573,0.978501326,-1.53368246,6.22E-05,3,6,4,6,,,,,,,0.244750584,0.361429853,0.366875347,,0.323464543,0.284159619,37,,,1,-3.639687006,,0.160968099,,0,0
CRLF3,IPI00295387.5,Q8IUI8,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
CRTAP,IPI00748502.2,O75718,,1,1,2,1,3,,1,1,2,1,3,,1,1,1,1,1,,1.246115663,0.981481471,0.957254187,1.095149094,1.100722148,,0.989449291,1.007202388,,0.809277921,0.916151608,,0.628796024,0.768699419,,0.555090384,0.672066519,,0.485721411,0.694960271,,0.403811005,0.422919117,,0.400858667,0.656197747,,0.3184775,0.34053236,0.323771852,0.278599911,0.253810741,0.341604618,0.239414708,0.177294526,0.453815508,0.368790282,0.329697421,0.495000928,0.309017476,0.223331973,0.437546796,0.381919473,0.305717798,0.414932152,0.320379124,0.243918921,0.522647578,0.344033094,0.31975461,0.569980685,0.362457122,0.256562939,0.099404505,-0.21334294,-0.186842469,-0.491498791,-0.639120477,-0.219646076,-0.230579896,-0.218616359,-0.03910494,0.226168342,0.891258979,0.109787843,0.011874011,0.136679635,0.142628265,0.16463725,0.18290684,0.049045466,0.403126105,0.108741021,0.890212157,0.988125989,0.863320365,0.857371735,0.83536275,0.81709316,0.950954534,0.596873895,-0.218616359,0.008355629,3,2,1,8,,50.88376754,54.9238477,,48.89579158,50.94789579,,0.978452486,0.93337699,,0.983073669,0.989048836,57.13627255,-2.981963928,0.318731592,1,-0.578505148,,0.108741021,,0,0
CS,IPI00025366.4,O75390,6,6,6,6,5,6,6,6,6,6,5,6,1,1,1,1,1,1,0.923940261,1.150496286,1.095935191,1.072694971,0.987742709,0.890474402,0.726519278,0.803542191,0.859840153,0.85827191,0.95905405,0.831634274,0.56402912,0.532080927,0.597460131,0.586606468,0.678932895,0.588868801,0.29497138,0.28721434,0.313054525,0.293751419,0.289477229,0.278772002,0.103653017,0.110520462,0.100571981,0.124732014,0.099175349,0.121108062,0.039507166,0.027689846,0.046831249,0.046117912,0.034511582,0.056982482,0.050022715,0.027082634,0.047451609,0.043844332,0.030668796,0.04131434,0.044704062,0.025538204,0.03690451,0.043269821,0.025694813,0.038153452,0.046473312,0.020787424,0.035401079,0.046206163,0.030512439,0.034334431,0.022730571,0.149184261,0.129116809,-0.053995118,,,,,,0.153079124,0.640515017,0.865030651,0.813422569,0.221357066,0.767156454,0.995025205,0.315246742,0.541692107,0.76047143,0.359484983,0.134969349,0.186577431,0.778642934,0.232843546,0.004974795,0.684753258,0.458307893,0.23952857,,,3,1,1,6,50.94789579,51.20440882,51.71743487,51.33266533,52.03807615,51.26853707,0.987900898,0.997987308,0.99764649,0.9980166,0.999662336,0.996899752,57.6492986,0.256513026,0.486032912,1,,,0.359484983,0.818970584,1,1
CSDE1,IPI00844264.7,O75534,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,0.88916922,1.427259681,1.061606026,0.994304732,1.069842986,1.144505828,0.496886703,0.40331127,0.509538577,0.501819656,0.466170654,0.595357518,0.267461932,0.122483135,0.194727592,0.215345278,0.165206839,0.188277051,0.097389342,0.016488115,0.046693564,0.071033643,0.013627116,0.050696057,0.051716165,0.017329206,0.049515398,0.04985668,0.00743643,0.026829543,0.065681106,0.030002174,0.016920555,0.088325023,0.019508401,0.053855593,0.01,0.031563069,0.008945825,0.015588216,0.004161361,0.005381058,0.01,0.05166252,0.005278287,0,0.063737916,0.006757155,0.018142379,0.069006202,0.00924463,0.014764554,0.138965285,0.009969107,0.118985015,0.149260473,0.02346942,,,,,,,0.241174063,0.87049474,0.920942397,0.537973396,0.176022147,0.087005618,0.73261956,0.217416438,,0.724081698,0.12950526,0.079057603,0.462026604,0.823977853,0.912994382,0.26738044,0.782583562,,0.275918302,0.149260473,0.129118154,3,1,1,2,47.42084168,46.65130261,47.48496994,47.03607214,46.84368737,47.80561122,0.996716749,0.995813225,0.998755381,0.99545616,0.98231354,0.998467258,52.58316633,0.042752171,0.919553134,,0.277830424,,0.12950526,,0,0
CSF1,IPI00015881.1,P09603,,,2,,,,,,2,,,,,,1,,,,,,0.771228055,,,,,0.777212256,,,0.681803878,,,0.702833065,,,0.654145946,,,0.731153568,,,0.728470536,,,0.64539985,,,0.662022196,,,,,,,,,,,,,,,,,,,,,,,,,,-0.374770561,-0.188951846,-0.103569514,-0.005303832,0.036686346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.56112224,,,,,,0.960438444,,,,,,,,,,,,,0,0
CSK,IPI00013212.1,P41240,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1.03043337,0.843639152,1.052787248,1.044593945,0.821802468,0.885619512,0.772896903,0.733255881,0.739653916,0.820420338,0.731842638,0.649180122,0.346979461,0.34311436,0.281969863,0.387469279,0.254479459,0.295672187,0.251006557,0.11259172,0.103731541,0.231215503,0.164393355,0.114614304,0.21036595,0.145337107,0.049528562,0.271697232,0.122621219,0.072907274,0.071400787,0.205491747,0.280792298,0.195957319,0.243055609,0.261341333,0.074228641,0.242506374,0.230582384,0.049503475,0.200551645,0.192043527,0.100902486,0.205707389,0.179826918,0.048382455,0.193138697,0.189259919,0.048186868,0.124721696,0.099300737,0.092221414,0.147331654,0.055762113,-0.08721203,-0.034975853,-0.067817021,0.213782166,0.369098661,0.531721838,-0.268948914,-0.008598219,,0.290883586,0.126468938,0.353673121,0.373607946,0.785922433,0.776242062,0.8111054,0.035393962,0.208416112,0.577900486,0.873531062,0.646326879,0.626392054,0.214077567,0.223757938,0.1888946,0.964606038,0.791583888,0.422099514,-0.268948914,0.059986607,2,7,1,7,49.53707415,48.51102204,48.38276553,50.0501002,48.38276553,48.19038076,0.986024968,0.974845812,0.949973437,0.964282581,0.986466383,0.950724627,51.81362725,0.064128257,0.930851068,1,-0.695668161,,0.126468938,,0,0
CSNK1D,IPI00556134.1,"P48730,H7BYT1",1,,,,,,1,,,,,,1,,,,,,0.709309521,,,,,,0.924746062,,,0.937913036,,,0.443633626,,,0.335313301,,,0.073103926,,,0.034757829,,,0.172676162,,,0.017644344,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.495512782,0.02039691,-0.40385901,,-3.29079122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.37074148,,,50.94789579,,,0.985725384,,,0.921539081,,,52.58316633,0.577154309,,,,,,,0,0
CSNK2A1,IPI00016613.2,Q5U5J2,,,1,,,,,,1,,,,,,1,,,,,,0.982540249,,,,,0.726645211,,,0.69367872,,,0.363124578,,,0.417858834,,,0.22795975,,,0.205115225,,,0.182660335,,,0.118756112,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025411588,-0.066983502,0.202551057,-0.152344528,-0.621161621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.70340681,,,49.92184369,,,0.999986769,,,0.99910026,,57.32865731,1.218436874,,,,,,,0,0
CST3,IPI00032293.1,P01034,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0.958336773,,1.033971407,,1.266775744,,,,,,,,,,,,,,,,,,,,,,,,,0.579252999,0.601714008,0.831970083,0.527460802,0.443743786,0.916670692,1.037365623,0.988433797,1.275140481,0.737638737,0.835478363,0.976125492,1.076053528,1.275267064,1.688871679,1.201704015,1.199539227,1.576476307,1.549472648,1.395969312,1.765962435,1.4761628,1.59465443,1.675084318,0.109320691,,,,,-0.144869618,-0.373332557,-0.009447848,0.015276735,0.184466274,0.770517106,,,,,0.238880262,0.017736843,0.460569349,0.56066898,0.229482894,,,,,0.761119738,0.982263157,0.539430651,0.43933102,-0.373332557,0.027387443,2,5,1,7,,,,,,,0.618643763,0.579377603,0.801148887,0.38549327,0.455444109,0.895845831,37,,,1,-0.938650102,,0.229482894,,0,0
CTNND1,IPI00182540.5,"C9JZR2,O60716",3,2,3,2,2,2,3,2,3,2,2,2,1,1,1,1,1,1,1.059478805,1.015407523,1.045896633,0.99223039,0.933084263,0.957337991,0.492501302,0.390128183,0.401213956,0.459332153,0.376522117,0.439287438,0.185747192,0.174190557,0.134946745,0.15435783,0.139300445,0.062951562,0.079101126,0.068985329,0.030124847,0.047617565,0.076325781,0.052714538,0.069033754,0.065583479,0.064179951,0.059136122,0.04916949,0.042873607,0.175906098,0.138015433,0.167539163,0.163379094,0.180315456,0.139064819,0.089722573,0.130728062,0.113844146,0.065326801,0.100800643,0.071625388,0.077984958,0.073703535,0.052446019,0.065674937,0.088286499,0.082566822,0.053382814,0.077020848,0.068794313,0.040904705,0.097957702,0.06299414,-0.000653258,-0.007003306,-0.294764147,,,0.003456825,,,,0.143382919,0.491526753,0.464894458,0.085623418,0.558000092,0.029589598,0.506210767,0.014571835,0.75790486,0.411021716,0.508473247,0.535105542,0.914376582,0.441999908,0.970410402,0.493789233,0.985428165,0.24209514,0.588978284,,,1,3,1,7,47.03607214,46.20240481,46.58717435,46.90781563,46.39478958,47.29258517,0.986704959,0.990543056,0.982781665,0.986125758,0.986287154,0.992041323,50.01803607,0.256513026,0.509348519,1,,,0.491526753,0.985127459,1,1
CTNS,IPI00412430.2,O60931,,1,,1,1,,,1,,1,1,,,1,,1,1,,,1.047276575,,1.097954122,1.169809653,,,,0.913175439,,,0.891266023,,,0.846482524,,,0.85087055,,,0.796585567,,,0.73804752,,,0.715444284,,,0.690398358,0.819452137,0.935236391,,0.85894071,0.791321802,,0.832077381,0.895897356,,0.821185338,0.884482683,,0.654394351,0.745561919,,0.662942415,0.695906395,,0.748950555,0.766446367,,0.69545567,0.728323689,,0.142578022,-0.035035948,0.007459376,-0.110115631,-0.051410386,-0.086583849,-0.018754693,-0.040355823,-0.090258496,0.081206482,0.954470142,,,,,0.337391207,0.004330033,0.309243031,0.058077584,0.045529858,,,,,0.662608793,0.995669967,0.690756969,0.941922416,0.142578022,0.045529858,3,7,1,1,59.54108216,62.49098196,61.59318637,59.9258517,60.11823647,51.90981964,0.830254863,0.946992844,0.99666567,0.961724525,0.871586515,0.981011879,49.50501002,-3.890447562,0.242870596,,0.262275161,,0.045529858,,0,0
CTSB,IPI00295741.4,P07858,3,6,3,5,3,6,3,6,3,5,3,6,1,1,1,1,1,1,0.946162193,1.074238308,1.092252137,1.14009479,0.95288979,0.914575502,0.949881104,1.009563163,1.04774028,1.068753227,1.191965387,1.081415808,0.953834599,0.938109158,1.005922031,1.072098507,1.100311924,0.936384949,0.900146329,0.877826774,0.91117474,0.96836323,0.908312172,0.826638916,0.707133121,0.728083564,0.723312229,0.852853064,0.800216768,0.746365456,0.542343031,0.636746525,0.69907691,0.494733279,0.65487799,0.568474087,1.057918387,1.243146008,1.342719583,0.889034005,1.039974202,1.054499904,1.262701535,1.846814817,1.823606572,1.509109604,1.801480618,1.643035794,2.263963542,2.584126046,2.250145642,2.465198123,2.580156824,2.129169289,0.023581442,0.151787102,0.098455491,0.004723408,0.150621953,-0.130134777,-0.285654972,0.023632412,0.013635821,0.131807646,0.660014126,0.942034376,0.781027655,0.522428262,0.926152115,0.157426517,0.005981956,0.5681987,0.580622305,0.339985874,0.057965624,0.218972345,0.477571738,0.073847885,0.842573483,0.994018044,0.4318013,0.419377695,-0.285654972,0.039978228,3,6,1,7,,,,,,,0.536326645,0.513349673,0.611495759,0.501342656,0.483456289,0.609315272,37,,,1,-0.734556153,,0.339985874,0.791633776,0,1
CTSZ,IPI00002745.1,Q9UBR2,,2,,2,,3,,2,,2,,3,,1,,1,,1,,1.037483327,,1.512480612,,1.16532218,,,,,,,,,,,,,,,,,,,,,,,,,0.8411235,1.030923481,0.933356055,0.798218387,0.998915263,0.928217841,1.566721613,2.051616258,1.547903571,1.29338718,1.644174816,1.319124736,1.381304267,2.400293055,1.503023994,1.527849987,2.177471744,1.568405235,2.282437576,2.861075732,1.794339261,2.449125432,2.936123169,1.720272689,0.290244559,,,,,-0.043000433,-0.275575485,0.022115172,0.026076881,0.117108605,0.893590836,,,,,0.079405918,0.004259739,0.590595522,0.681774451,0.106409164,,,,,0.920594082,0.995740261,0.409404478,0.318225549,-0.275575485,0.003817776,2,5,1,7,,,,,,,0.48580223,-0.076251751,0.830802974,0.324671369,-0.028088647,0.7245551,37,,,1,-0.711093345,,0.106409164,,0,0
CTTN,IPI00746806.1,Q14247,7,6,7,6,5,8,7,6,7,6,5,8,1,1,1,1,1,1,1.095013074,1.344348609,1.248049547,1.382505219,1.15564308,1.098069044,0.863476144,0.886775026,0.950099711,1.070145594,1.150047627,1.089766193,0.63882571,0.649907072,0.680746958,0.763704787,0.855370359,0.728141779,0.515388719,0.509992166,0.56544673,0.578050645,0.548342023,0.574678208,0.484167835,0.521667938,0.530121271,0.542561681,0.529151557,0.521655656,1.232987635,1.188565593,0.866670294,1.051499554,1.109835675,0.901040527,0.600165601,0.645153902,0.474995373,0.603799185,0.622609533,0.527246047,0.355109056,0.452956708,0.34348314,0.382086196,0.512754,0.395108423,0.407803755,0.376532771,0.313382907,0.370057104,0.511101236,0.372281269,0.281413365,0.294166745,0.250336407,0.097833041,0.053868172,-0.090825598,0.035985133,0.162179658,0.183057679,0.127527296,0.997383201,0.98522207,0.949280634,0.929638019,0.779045799,0.193108354,0.695624065,0.984691926,0.801922749,0.002616799,0.01477793,0.050719366,0.070361981,0.220954201,0.806891646,0.304375935,0.015308074,0.198077251,0.57558011,0.00080163,3,1,2,1,58.83567134,59.41282565,59.54108216,57.4248497,50.88376754,49.6012024,0.264292521,0.28259638,0.698975525,0.615961086,0.611879663,0.752268701,,-6.626586506,0.052744618,,1.27020787,,0.002616799,0.075332088,0,1
CUL4B,IPI00480142.2,Q13620,2,,3,,2,,2,,3,,2,,1,,1,,1,,1.039763161,,1.152846231,,1.278565418,,0.785334315,0.952802201,1.477626466,0.920823446,1.008849224,1.561429978,0.745793805,0.819348743,1.857212643,0.745094399,0.840876342,1.915048661,0.779519208,0.608093621,2.033937806,0.678138223,0.623713686,1.917647704,0.309287983,0.399658895,1.17413636,0.474341003,0.383817094,0.588025302,,,,,,,,,,,,,,,,,,,,,,,,,0.205327007,0.130555272,0.026768153,-0.083117537,-0.146342086,,,,,0.237847771,0.930059937,0.940575276,0.899976463,0.174674148,0.392090416,,,,,0.069940063,0.059424724,0.100023537,0.825325852,0.607909584,,,,,0.130555272,0.016251371,3,1,1,2,55.56513026,54.4749499,,54.79559118,54.28256513,56.78356713,0.759780701,0.999950011,,0.985594431,0.997314882,-0.044832613,68.35871743,0.267201069,0.818123667,,0.234288869,,0.069940063,,0,0
