Accession,logFC,-logPval,-logAdjPval,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,MTX1,MTX2,MTX3,MTX4,MTX5
A0A096LNH6;Q14185,0.0789,0.6793,0.1297,31590.0,34756.0,46625.0,42071.0,39427.0,39853.0,35966.0,42337.0,47475.0,44782.0
REV__P46939;REV__P46939-2;REV__P46939-3;REV__Q5T097;REV__P46939-4,0.095,0.679,0.1295,13581.0,15975.0,18506.0,17263.0,15753.0,19325.0,14684.0,16858.0,19825.0,18378.0
Q8NF67,-0.1109,0.6782,0.1294,15113.0,16916.0,20948.0,21278.0,19817.0,18464.0,18644.0,16165.0,17392.0,17838.0
Q6ZVM7;Q6ZVM7-2;Q6ZVM7-3;Q6ZVM7-5;B7Z2U2;F5H3S6;Q6ZVM7-4;K7EKL6;K7ENB0,-0.0487,0.6783,0.1294,98612.0,106620.0,136070.0,131590.0,116000.0,113460.0,105580.0,114560.0,130570.0,118710.0
P02462;P02462-2,-0.0857,0.6781,0.1294,25608.0,25953.0,34413.0,32546.0,28990.0,27575.0,23372.0,27748.0,32557.0,31751.0
Q7Z7M9,0.1613,0.678,0.1294,2739.6,3286.1,3696.6,4215.5,3848.8,3903.8,3593.3,3800.0,5008.0,4111.7
P49354;E9PQP6;P49354-2;B3KVN2;H0YCW1;E9PPM9;E9PN85,0.0584,0.6762,0.1293,86142.0,87735.0,126650.0,118520.0,107500.0,110860.0,94743.0,109070.0,128980.0,117360.0
F8WC89;A6NKF1;H0YEW7;A6NKF1-2,0.084,0.6749,0.1293,16671.0,17043.0,22524.0,21415.0,19798.0,21485.0,18099.0,20942.0,22579.0,22814.0
Q8WUN7;Q9HAC8,-0.1147,0.6748,0.1293,10468.0,12805.0,13483.0,13926.0,12530.0,10348.0,11662.0,11591.0,12649.0,13670.0
P58546;C9JL85,-0.0486,0.6746,0.1293,147610.0,167580.0,218980.0,204240.0,187570.0,179010.0,152200.0,191630.0,193460.0,199830.0
Q99497;K7ELW0;K7EN27,-0.0588,0.6762,0.1293,649920.0,774770.0,917780.0,903820.0,776780.0,783850.0,712040.0,771200.0,850540.0,834240.0
Q8NB46,0.0854,0.6763,0.1293,17154.0,18836.0,23056.0,20165.0,19200.0,21548.0,17920.0,21121.0,24345.0,22629.0
Q9UJX3;Q9UJX3-2;H0YIW2;H0YIX7,0.0792,0.6778,0.1293,50137.0,56203.0,68868.0,58305.0,57419.0,63287.0,49301.0,63737.0,71740.0,69162.0
P30622;F6VGP8;F5H1T5;F5H270;F5H367;F5H6H4,-0.0755,0.6751,0.1293,1234800.0,1393600.0,1702400.0,1724400.0,1441800.0,1415100.0,1305500.0,1455800.0,1589800.0,1513400.0
P42166;P42167-3,-0.0446,0.6748,0.1293,284490.0,326300.0,403300.0,394390.0,333110.0,352070.0,305220.0,328280.0,364000.0,377660.0
Q9BT40-2;Q9BT40;I3L4A5;C9JZB0,0.1458,0.6757,0.1293,3916.0,4162.3,5527.0,5440.5,5264.8,5605.9,4811.1,4960.8,6441.8,5744.7
Q01469;I6L8B7;A8MUU1;REV__Q99880;REV__Q99879;REV__Q99877;REV__Q93079;REV__Q8N257;REV__Q5QNW6;REV__Q16778;REV__P62807;REV__P58876;REV__P57053;REV__P33778;REV__P23527;REV__P06899;REV__O60814;REV__Q5QNW6-2;REV__U3KQK0,-0.054,0.6763,0.1293,488590.0,549050.0,665870.0,695910.0,567870.0,557600.0,491740.0,575510.0,682920.0,626880.0
P31751;P31751-2;M0R0P9;J3QLS6;C9JHS6;J3KRI8;A0A1B0GXA2;A8MX96;E7EVP8;M0QZK3;J3QKW1;C9JIJ1;C9JC83;A0A0A0MRF1;J3KSY8;J3QL45;C9JIF6;C9J258;M0R283;M0R275;M0QZW8,0.0452,0.6752,0.1293,129510.0,142080.0,192760.0,182810.0,161310.0,169060.0,149910.0,161950.0,192050.0,179460.0
Q5C9Z4,0.1163,0.6772,0.1293,9605.4,10671.0,12415.0,10512.0,11540.0,12025.0,10229.0,13094.0,13554.0,12344.0
P52597;A0A1B0GW42,-0.0461,0.6764,0.1293,355560.0,400640.0,507070.0,491910.0,449120.0,415270.0,388770.0,437980.0,496300.0,447190.0
P51991-2,-0.1088,0.6759,0.1293,23113.0,31305.0,33512.0,34163.0,28109.0,29583.0,26648.0,26349.0,26422.0,33104.0
Q5VZU9;P29144,0.0503,0.6753,0.1293,408570.0,437640.0,591850.0,567270.0,507000.0,520880.0,449640.0,535930.0,598940.0,557280.0
P54922;C9JZW7,0.0778,0.6756,0.1293,31958.0,36240.0,47786.0,46147.0,41382.0,43250.0,37816.0,42612.0,50047.0,45921.0
Q9UK73;H3BT12;H3BTV3,0.0825,0.6743,0.1292,27872.0,29107.0,40790.0,39155.0,33993.0,35287.0,32941.0,37108.0,41452.0,37983.0
O60216;E5RFZ5;E5RI01;E5RFV8;E5RIN7;E5RJW1;E5RJK5;E5RG18,0.0535,0.6739,0.1291,78992.0,82062.0,106960.0,103780.0,94415.0,94877.0,88544.0,94793.0,113490.0,104520.0
Q96FX2;Q96FX2-2,-0.0847,0.6735,0.1291,30102.0,32484.0,37107.0,38009.0,33179.0,30721.0,29550.0,33177.0,38034.0,34431.0
Q9NXV2;H3BSS5,-0.0761,0.6734,0.1291,34069.0,38869.0,49320.0,46938.0,40766.0,39696.0,34201.0,40736.0,45400.0,44100.0
Q15119-2;Q15119;D6RJH7;D6R983;D6RDN9,-0.1594,0.6738,0.1291,4160.9,4967.7,6229.5,5988.1,4966.6,4893.4,4274.9,4730.0,4188.6,5911.2
Q2NL68-2;Q2NL68,-0.1367,0.6729,0.1288,8959.2,10997.0,11987.0,10856.0,8924.5,10054.0,8862.2,9118.0,8710.4,11490.0
A0A1W2PRK4;A0A1W2PNG4;A0A1W2PPH8,-0.1277,0.6723,0.1286,7556.4,10048.0,10407.0,11014.0,8633.9,8068.1,8157.6,8501.9,9447.9,10560.0
Q9BX40;Q5TBQ0;Q5TBQ1;Q5TBP9;Q9BX40-3;Q9BX40-2;A0A0C4DFV2,-0.0839,0.6725,0.1286,16157.0,18887.0,24136.0,22552.0,21120.0,19743.0,16982.0,19264.0,21483.0,21844.0
P49642;F8VNY2;F8VSB2,0.0653,0.6714,0.1282,71791.0,76399.0,101930.0,95627.0,84586.0,91648.0,74921.0,95168.0,111510.0,88923.0
F8VV52;Q9NZN8-2;Q9NZN8;Q9NZN8-5;F8VRS8;F8W145;Q9NZN8-4;F8VP97;H0YH84;Q9NZN8-3;F8VQF4;H0YI11;H0YHT6,-0.0601,0.6713,0.1282,67938.0,70420.0,87964.0,79497.0,71638.0,73953.0,65394.0,73636.0,82542.0,76818.0
J3KNE0;A6NKT7,0.1242,0.6714,0.1282,6216.2,6823.3,9362.1,7499.6,6911.9,8661.6,7010.4,8103.6,9192.1,8115.3
Q13619;A0A0A0MR50;Q13619-2;A0A087WWN2,0.0493,0.6711,0.1281,199310.0,203740.0,278780.0,268820.0,239860.0,246620.0,210560.0,254190.0,295620.0,256240.0
Q9P000-2;Q9P000,-0.0569,0.6653,0.128,67376.0,71311.0,86310.0,83990.0,80234.0,74168.0,68250.0,75387.0,86825.0,80182.0
Q86SX6,-0.0718,0.665,0.128,46968.0,51744.0,68740.0,69566.0,60189.0,54755.0,48618.0,57501.0,67611.0,60948.0
P0CG39,0.1589,0.6629,0.128,3869.6,4337.3,6033.9,5675.8,5777.7,5548.9,5926.4,4789.9,6403.2,6519.9
Q969E4;Q5H9L2;Q6IPX3-2;Q6IPX3,-0.0782,0.669,0.128,40482.0,44458.0,52063.0,50292.0,41991.0,44267.0,38191.0,45874.0,49799.0,45257.0
Q9P1Y5;Q9P1Y5-2,-0.1296,0.6707,0.128,6725.4,8258.3,8872.8,8577.0,7709.8,7202.2,6419.0,6957.0,7907.1,9342.1
Q96MW1;Q86WV7;Q96MW1-2;K7ER24,-0.0549,0.6587,0.128,91913.0,103030.0,120310.0,126650.0,102850.0,106150.0,96069.0,106500.0,123450.0,105550.0
Q8N1F8,0.1338,0.6624,0.128,5139.0,6493.8,7024.5,7146.5,6350.3,7965.8,6272.8,6388.0,8162.2,7437.6
Q92823-5;Q92823-2,0.14,0.6553,0.128,4803.5,6151.8,6343.0,5746.6,5661.4,6394.2,5143.4,6641.4,7439.3,7114.0
Q9UBQ5;K7ERF1;Q9UBQ5-2;K7ES31;A0A087WVB9;K7EQM4;K7EK53;B4DQ48,0.0497,0.6551,0.128,164290.0,165540.0,235210.0,221440.0,197060.0,204850.0,172510.0,205250.0,243260.0,217590.0
Q92851-6;Q92851-2;Q92851-4;Q92851-7;Q92851-3;Q92851-5;Q92851;B4E3T5,-0.0811,0.6601,0.128,19639.0,21069.0,25357.0,26464.0,23086.0,20451.0,20252.0,22214.0,25417.0,23861.0
REV__H0Y6Y5,-0.1814,0.6477,0.128,2433.7,2769.7,3359.5,2883.5,2337.9,2639.8,2239.1,2079.2,2475.0,3043.5
REV__D6RFF7;REV__P98082-2;REV__P98082-3;REV__P98082,-0.1812,0.6547,0.128,5567.3,8006.6,8700.1,8019.5,5409.3,7592.8,5403.8,5257.1,5726.4,8191.3
I3L380;Q8N2K0;Q8N2K0-2,-0.1912,0.667,0.128,3319.5,5342.1,4251.9,4060.3,3832.8,3139.7,3600.1,3547.4,4068.3,4501.2
A6NEM2;P51610-4;P51610-3,-0.0522,0.6475,0.128,532800.0,609100.0,768780.0,753120.0,638340.0,606840.0,566540.0,652170.0,731180.0,704080.0
Q8N488,-0.0847,0.6539,0.128,25730.0,29866.0,32976.0,34948.0,27837.0,28292.0,26391.0,27515.0,32097.0,32300.0
G5E994;Q5VW38-2;Q5VW38;Q5VW38-3,0.1674,0.6616,0.128,4727.6,6007.2,5465.6,4618.1,5312.5,6219.8,4585.7,6293.8,7109.1,6434.6
Q6ICL3-5;Q6ICL3-3;Q6ICL3;Q6ICL3-4;A0A0A0MSI5;Q6ICL3-2;C9JDT9;C9J695;Q6ICL3-6,0.1052,0.66,0.128,11381.0,12205.0,14595.0,15235.0,13222.0,16421.0,13228.0,14270.0,15925.0,13522.0
A6NGJ0;P51808;F2Z328,0.0893,0.6595,0.128,23047.0,23874.0,32514.0,33507.0,27869.0,27323.0,27370.0,29722.0,36547.0,32312.0
G3V1B6;H7C1U8;Q9BUR5-2;Q9BUR5,-0.1796,0.6614,0.128,2943.8,4189.0,4559.7,3814.7,4081.1,4069.2,3483.8,3055.6,3209.5,3812.6
G3V1P3;Q969J3;Q969J3-2,-0.0852,0.6588,0.128,29944.0,34319.0,42795.0,40434.0,33520.0,35092.0,32571.0,33343.0,35026.0,38117.0
A3KMH1-2;A3KMH1-3;A3KMH1,0.1144,0.6626,0.128,9832.0,9957.6,12922.0,10971.0,11509.0,12820.0,9532.2,12630.0,14164.0,12543.0
A0MZ66;A0MZ66-3;A0MZ66-4;A0MZ66-6;A0MZ66-5;A0MZ66-8;A0MZ66-2;A0MZ66-7,-0.0491,0.6635,0.128,461600.0,505110.0,634950.0,647160.0,555350.0,544650.0,490370.0,546810.0,626980.0,566030.0
Q9P0L0;Q9P0L0-2;J3QKM9,-0.0644,0.6558,0.128,79195.0,93956.0,107390.0,105280.0,92500.0,84067.0,76419.0,100010.0,111480.0,99366.0
A6NHN7;A6NHB5;Q14202;Q14202-2;A6NL54;Q14202-3;A6NC58,0.0509,0.6498,0.128,98174.0,107980.0,136660.0,118900.0,114740.0,122740.0,103290.0,121460.0,135590.0,130740.0
Q86U42;Q86U42-2,0.0576,0.6532,0.128,87320.0,95948.0,120380.0,106420.0,103480.0,116510.0,94956.0,108670.0,118990.0,109220.0
Q92997-2;Q92997,-0.1138,0.6517,0.128,8330.9,8519.5,10981.0,9852.9,9658.5,9094.2,7634.6,9169.6,9747.1,9331.7
A0A1C7CYX1;H7C1L3;A0A0A0MSU2;Q6PJG2,-0.1191,0.65,0.128,12061.0,15686.0,18517.0,16594.0,15937.0,11587.0,12822.0,15504.0,15902.0,18662.0
F5H4V9;Q16342-3;Q16342;F5GWT2;J3QK82;A0A087WYJ3;Q16342-5;Q16342-2;Q16342-4;H0YFZ5;H0YFM2;H0YFS8,-0.083,0.6563,0.128,45263.0,51824.0,61345.0,72071.0,51790.0,53893.0,51044.0,49911.0,59087.0,57798.0
P43897;P43897-2;C9JT21;C9JG32;F8VPA7;F8VS27;P43897-4;P43897-3;F8WCK2,0.0658,0.653,0.128,83596.0,87833.0,125540.0,120680.0,103210.0,117040.0,88201.0,116710.0,121300.0,113540.0
Q9P206-2;Q9P206;Q9P206-3;Q9P206-4,-0.0898,0.6587,0.128,71478.0,84318.0,91486.0,81381.0,68965.0,75838.0,74723.0,73778.0,74652.0,84470.0
G3V5A1,0.274,0.6589,0.128,368.02,524.66,566.8,526.69,463.73,610.6,679.08,533.11,355.67,814.37
Q86UU1-2;Q86UU1;Q86UU1-3;A0A087WZL0;A0A087WTZ7;A0A087WXY7,-0.0856,0.6569,0.128,31997.0,37462.0,44951.0,47632.0,37365.0,37652.0,36929.0,36658.0,39328.0,40867.0
Q9Y2Q9;H7C5V3;H0YAT2;E5RGC7;E5RFT8;E5RK86;E5RFH3;U3KQQ8,-0.0753,0.6474,0.128,37042.0,42570.0,49927.0,53191.0,44456.0,42622.0,40273.0,41246.0,48118.0,48549.0
Q8WVE0,0.2163,0.6682,0.128,1622.1,2043.1,2300.5,2529.4,2096.0,2235.8,1894.6,2890.0,3743.8,1921.1
Q8NBS9;Q8NBS9-2,-0.041,0.6532,0.128,256250.0,289090.0,357810.0,349710.0,306970.0,306790.0,284330.0,307930.0,338860.0,312210.0
F8VUY8;Q96QD8,-0.141,0.6618,0.128,11728.0,13763.0,15853.0,12198.0,11987.0,14045.0,11205.0,10792.0,10831.0,14139.0
H7C5U6;Q9NRR4-3;Q9NRR4-2;Q9NRR4-4;Q9NRR4,0.1545,0.6507,0.128,2842.8,2947.5,3896.8,3682.6,3014.4,3520.6,3059.0,3591.7,4426.9,4162.6
I3L0N3;P46459;P46459-2;I3L2G1;I3L0L3;K7EQD6;I3L338;I3L4Q9,0.0408,0.6607,0.128,261230.0,276760.0,357580.0,330240.0,292390.0,323780.0,277000.0,318690.0,351410.0,330650.0
P08582;P08582-2;C9JVN1,0.0982,0.6496,0.128,18901.0,23244.0,23985.0,22603.0,20383.0,26612.0,21256.0,22267.0,24295.0,25781.0
Q96DF8;F8WEF8,-0.1059,0.663,0.128,43768.0,51980.0,58956.0,55589.0,49505.0,52229.0,48925.0,46334.0,42878.0,55936.0
A0A140T963;O00237,0.197,0.6573,0.128,2963.8,2907.4,3992.6,3179.3,4001.5,3448.9,3398.4,4733.5,5427.6,3160.9
Q96EY8;F5H4Z7;S4R3P5;F5H079;A0A087X114;S4R3Z1,-0.0688,0.6479,0.128,42630.0,46932.0,57701.0,60052.0,50271.0,49005.0,44867.0,48424.0,57037.0,52232.0
Q92574-2;Q92574;Q86WV8,0.1522,0.6646,0.128,5167.2,5359.5,6340.8,5402.6,5063.3,6063.0,4620.9,6341.8,7105.2,7426.7
P48449-3;P48449;P48449-2;C9J315;A0A0G2JQD0;A0A0G2JS81;H7C3A5,0.0859,0.6633,0.128,39433.0,44187.0,54576.0,51220.0,48497.0,59751.0,43663.0,47965.0,55601.0,51878.0
Q8NDC0,-0.1779,0.6482,0.128,59036.0,51499.0,68020.0,42335.0,45963.0,63174.0,39046.0,54255.0,47900.0,39910.0
A0A087WXZ7;K7EIX2;Q6AI08;K7ELR8;K7EKB1;K7EK31,0.0821,0.6623,0.128,27705.0,28711.0,37900.0,34482.0,30610.0,35462.0,29210.0,34220.0,38241.0,36045.0
Q96FH0;K7ENY0;Q96FH0-2,-0.1392,0.6551,0.128,5510.1,6398.8,8230.8,7014.4,6904.9,5955.7,6059.0,5472.3,6626.9,7522.0
REV__G8JLG1;REV__Q14683;REV__H0Y7K8;REV__V9GY57,-0.1004,0.6524,0.128,15765.0,19999.0,20360.0,20891.0,17198.0,19245.0,16098.0,16520.0,18385.0,20031.0
A5PLN9-2;A5PLN9;A5PLN9-7,0.0993,0.6607,0.128,22496.0,23302.0,31374.0,29458.0,29473.0,29189.0,25991.0,27730.0,37949.0,28954.0
O75891;O75891-3;O75891-4;O75891-2;C9IZ36;Q3SY69-2,-0.176,0.6566,0.128,17560.0,27950.0,28541.0,32043.0,19672.0,22025.0,19471.0,18876.0,19025.0,34036.0
Q7Z5K2;Q7Z5K2-2;Q7Z5K2-3;F6QZY1;Q8WVX6,-0.0482,0.6548,0.128,113920.0,125400.0,157670.0,156720.0,132970.0,132580.0,123460.0,132540.0,144570.0,145950.0
REV__H3BNK9;REV__H3BU93;REV__Q9GZU8,-0.1647,0.6663,0.128,5249.0,6760.8,7028.7,6705.6,5208.8,6285.8,5228.5,4777.0,5277.0,6742.9
P53814-5;P53814;P53814-6;A0A087X1R1;A0A087WVP4;C9JGQ0;H7C372;P53814-2;C9JBH9;C9JP19;C9JV14;C9JYU8;C9JQZ8;H7BZZ8;A0A096LNK9;B5MCI0,-0.078,0.6566,0.128,38677.0,46110.0,55593.0,53109.0,43533.0,44411.0,43409.0,45395.0,47263.0,48668.0
A6NJH9;O14602,-0.0561,0.6568,0.128,147700.0,185150.0,221380.0,228120.0,184900.0,181430.0,169710.0,184070.0,195250.0,218860.0
Q9UBU9;E9PIN3;Q9UBU9-2;B4E227;E9PLA7;E9PMV7;E9PQA4;H0YDU0,0.0499,0.6518,0.128,94440.0,98813.0,133030.0,129100.0,110090.0,119850.0,101900.0,120220.0,135340.0,121940.0
I3L172;Q9BUT9-2;Q9BUT9,-0.1991,0.6475,0.128,1383.2,1661.7,2217.0,1530.6,1479.6,1661.1,1395.5,1297.7,1347.8,1642.2
O95164,0.1709,0.6533,0.128,5743.2,6874.0,8970.2,8832.2,6967.5,11898.0,7006.4,6319.3,8581.6,9039.5
Q7Z6J0;Q7Z6J0-3;H0YA90;D6RHX5;Q8TEJ3,-0.0553,0.653,0.128,61927.0,75212.0,88790.0,85794.0,74953.0,75551.0,68615.0,73326.0,81522.0,81775.0
Q6R327;Q6R327-3,0.0928,0.6638,0.128,16491.0,17224.0,21793.0,18558.0,17678.0,20356.0,16482.0,21275.0,21368.0,21250.0
E7EVC7;Q676U5-2;Q676U5;Q676U5-3;Q676U5-5;Q676U5-4;C9J1B2;C9JAY7;C9J8C6;C9JK97,0.0753,0.6584,0.128,35244.0,40179.0,50608.0,44820.0,41354.0,47181.0,38219.0,44511.0,50212.0,49368.0
Q8IX12-2;Q8IX12;A0A0C4DGG8;F5H2E6;F5H1H2;F5H3E1;H0YFJ7;F5H7M9;F5H1L3;F5H3I8,-0.0418,0.6606,0.128,356330.0,406060.0,514050.0,488670.0,423670.0,434840.0,372460.0,429430.0,477770.0,462750.0
Q9H9A5-2;Q9H9A5;Q9H9A5-4;Q9H9A5-3;E9PCN5;Q9H9A5-6;Q9H9A5-5;H7C1X9;H7C0K1,0.0538,0.6617,0.128,81321.0,89652.0,111290.0,101600.0,89377.0,104260.0,86187.0,96730.0,109900.0,107290.0
Q15311;A0A1W2PRI7;J3QLT3;E7ENF8,-0.046,0.6478,0.128,119010.0,128530.0,166430.0,165610.0,138160.0,139660.0,125960.0,140200.0,154670.0,150430.0
Q96SL8,-0.1994,0.6527,0.128,1622.0,1906.5,2405.4,2147.4,2024.8,1443.2,1261.3,1801.3,2597.2,2029.2
A0A0G2JMS5;A0A087WU62;A0A087X2D5;Q9BRJ2,0.1407,0.6545,0.128,5999.1,8740.5,8344.1,6948.5,6852.7,8590.1,6850.4,8192.8,9246.3,9174.5
Q9BQA1;Q9BQA1-2;H0Y711,0.0671,0.6658,0.128,42994.0,47105.0,60983.0,57552.0,51624.0,54172.0,49268.0,53870.0,61398.0,60528.0
Q15631;E9PGT1;H7C1D4;Q15631-2;A0A0J9YVW2;A0A0J9YX41,-0.0551,0.6659,0.128,135680.0,153600.0,204350.0,201550.0,173090.0,151310.0,148240.0,179100.0,192780.0,182360.0
P23025;F2Z2T2,-0.0887,0.6625,0.128,15398.0,16675.0,23750.0,21153.0,19391.0,18575.0,15467.0,17606.0,20550.0,20480.0
O15514;E9PB93;E9PHV4,-0.088,0.6645,0.128,32199.0,36780.0,46582.0,44616.0,37349.0,38041.0,34679.0,33901.0,38961.0,44307.0
E9PQT8;O43189-2,-0.2194,0.6587,0.128,720.33,1060.2,1024.1,949.8,897.41,715.17,800.81,689.59,797.46,1102.4
Q13043;F5H5B4;Q13043-2;A0A087WYT4;A0A087WVN8,0.0467,0.651,0.128,101590.0,107110.0,138940.0,135160.0,115800.0,125450.0,111050.0,120690.0,143030.0,133560.0
P36915;A0A140T8Y2;P36915-2;A2AB27,-0.0536,0.6604,0.128,80180.0,88984.0,113300.0,109490.0,96999.0,89755.0,87551.0,96561.0,102120.0,105810.0
Q9UM13;D6R9Q5;A0A286YEY6;D6RD74;D6RA92,0.0617,0.6694,0.128,67127.0,69636.0,96134.0,96556.0,83551.0,85633.0,76646.0,87098.0,103220.0,88117.0
H0YJE3;Q6ZU80-1;Q6ZU80,-0.1094,0.6474,0.128,13804.0,16960.0,20035.0,21575.0,19272.0,15663.0,15771.0,17429.0,16409.0,21395.0
Q15329-2;Q15329;C9JYE9,-0.0937,0.6495,0.128,15091.0,18179.0,19908.0,20163.0,17778.0,17763.0,16931.0,16483.0,17861.0,18326.0
O14965;Q5QPD4;A3KFJ0;A3KFJ1;Q5QPD2,0.0835,0.6469,0.128,25741.0,26525.0,32342.0,30675.0,28543.0,32077.0,25717.0,32273.0,34051.0,32897.0
Q15154-5;Q15154;Q15154-2;Q15154-4;E5RGQ4,0.0516,0.6702,0.128,272540.0,301360.0,347090.0,313810.0,293580.0,318380.0,275460.0,324360.0,366540.0,350340.0
P63261;I3L3I0;I3L1U9;I3L4N8;K7EM38;I3L3R2;J3KT65,0.093,0.6674,0.128,2481600.0,2714200.0,3428200.0,3087800.0,2795200.0,3117200.0,2650400.0,3213200.0,3443500.0,3472800.0
A0A0A0MRY0;Q8WUA7-4;Q8WUA7;B0QYI1;Q8WUA7-3;Q8WUA7-2;F8WDP1,0.0675,0.6472,0.128,42866.0,48883.0,60313.0,60403.0,50240.0,54468.0,49239.0,53113.0,65669.0,59712.0
Q14966-3;Q14966;Q14966-5;Q14966-4;A0A096LPK8;A0A096LNS4;Q14966-2;Q14966-6;A0A096LPI0;C9JWN0,-0.0416,0.6486,0.128,272860.0,300600.0,358420.0,351750.0,300170.0,312360.0,283550.0,314620.0,337680.0,329810.0
Q5T7W0-4;Q5T7W0;Q5T7W0-3,-0.0582,0.6593,0.128,124790.0,120890.0,150470.0,144970.0,127920.0,125090.0,117540.0,129600.0,149450.0,140520.0
O00507;O00507-2;H7C2M9,0.214,0.6566,0.128,841.74,920.75,1105.1,1340.4,1272.1,970.69,1386.5,1157.5,1516.6,1458.3
Q562F6-2;Q562F6,-0.1079,0.6585,0.128,10253.0,11216.0,13128.0,11859.0,11625.0,10972.0,10068.0,10349.0,11838.0,12246.0
P31930,0.0563,0.655,0.128,85689.0,97011.0,123440.0,109290.0,100540.0,101590.0,92804.0,112660.0,119210.0,124460.0
Q16352;E7EMV2;E7ESP9;P07197,-0.0755,0.6623,0.128,41216.0,46138.0,56686.0,54463.0,49429.0,47484.0,46547.0,46409.0,51115.0,48810.0
Q16864;Q16864-2,-0.0783,0.6552,0.128,39843.0,43950.0,53895.0,49331.0,42096.0,44311.0,41753.0,42524.0,47575.0,46083.0
Q9BU76;Q9BU76-4;Q9BU76-2;Q9BU76-3,-0.0873,0.6479,0.128,61900.0,75623.0,83718.0,78933.0,67810.0,75358.0,67870.0,68026.0,65253.0,77466.0
Q2TB90;Q2TB90-3;Q2TB90-2,0.0738,0.6574,0.128,35171.0,41765.0,48132.0,46458.0,42121.0,45068.0,40002.0,45036.0,53367.0,47629.0
Q16706,0.1404,0.6617,0.128,4398.4,4548.9,5621.4,5299.0,5085.6,5870.0,5036.7,5469.4,6191.0,5689.0
P17544-4;P17544-2;P17544-6;K7ELQ4;P17544-3;P17544;K7ESA4;P17544-5,-0.0605,0.6482,0.128,90981.0,103520.0,119840.0,111190.0,102280.0,108480.0,94899.0,96607.0,107550.0,111970.0
CON__P02777,-0.1136,0.6576,0.128,11637.0,13297.0,15009.0,14990.0,13123.0,14502.0,11854.0,11658.0,12130.0,14260.0
P19525-2;P19525;F8WBH4;C9JZT2,0.0787,0.6472,0.128,37121.0,39098.0,49058.0,42374.0,40114.0,44681.0,38023.0,45532.0,50010.0,47725.0
P33316;H0YNW5;H0YKI0;H0YMM5;A0A0C4DGL3;H0YKC5;H0YMP1,-0.1497,0.6538,0.128,9429.7,12008.0,14679.0,11028.0,11485.0,12628.0,10280.0,9432.0,9072.6,12454.0
B7Z896;F5H3M2;Q9BVG8-5;Q9BVG8-2;Q9BVG8;Q9BVG8-6;A0A0C4DGM9;Q9BVG8-4;H3BTU1;H3BTL6;H3BMQ3;H3BMJ1;H3BTN1;H3BMR0;H3BV47;H3BUC0,0.0585,0.649,0.128,96802.0,116070.0,128520.0,115650.0,108100.0,116570.0,106390.0,117200.0,133780.0,132410.0
Q08945;A0A0U1RRK2;E9PMD4;E9PPZ7,0.0451,0.6616,0.128,233590.0,253390.0,327340.0,325780.0,286770.0,288010.0,259800.0,293390.0,359820.0,308630.0
REV__Q96QB1-4;REV__Q96QB1-1;REV__Q96QB1-6;REV__Q96QB1,0.7468,0.6699,0.128,1694.5,2002.5,2994.8,2614.5,13950.0,1914.4,18268.0,3400.7,2258.2,12500.0
A0A096LP25;A0A096LNZ0;Q6ZSR9;A0A096LP60,-0.0805,0.6627,0.128,42647.0,50633.0,59022.0,59188.0,50166.0,51559.0,47700.0,49025.0,49174.0,55111.0
P17050,0.1096,0.6586,0.128,15132.0,16567.0,21110.0,19843.0,20279.0,19817.0,15785.0,22114.0,26619.0,19041.0
O15144;H7C3F9;C9JTV5;G5E9J0;G5E9S7,0.0534,0.6599,0.128,391150.0,428410.0,582150.0,569710.0,476670.0,541910.0,447280.0,492550.0,580830.0,530830.0
P17010-2;P17010;P17010-3;E9PEP7;P08048-2;P08048-3;P08048,0.0886,0.6599,0.128,17752.0,19492.0,23051.0,20882.0,20924.0,21023.0,18220.0,22748.0,26961.0,23259.0
A0A0A0MRM9;Q14978;Q14978-3;Q14978-2;S4R349;S4R3C2;S4R402;S4R341,-0.0535,0.6491,0.128,553060.0,622420.0,750830.0,756590.0,615090.0,651770.0,583130.0,642920.0,694000.0,680320.0
E9PNW4;E9PR17;P13987;H0YET2,0.182,0.6633,0.128,26924.0,36170.0,30382.0,20335.0,23724.0,31418.0,23248.0,32149.0,39467.0,38297.0
Q06124-2;Q06124-3,0.1166,0.6551,0.128,6926.1,7574.6,10799.0,10477.0,9379.0,10264.0,8587.4,9286.5,10737.0,11028.0
Q9ULR0;Q9ULR0-2;Q9ULR0-1;A8MVI5;D6RC18;H0YA89,-0.0778,0.6576,0.128,51086.0,60949.0,67565.0,66650.0,56218.0,58203.0,54085.0,55765.0,59136.0,66674.0
M0R2A0;Q5UCC4-2;Q5UCC4,-0.1316,0.6648,0.128,9730.6,13716.0,14111.0,11755.0,12836.0,10672.0,10115.0,11031.0,11934.0,14748.0
H0YCZ8;E9PMA4;Q2VYF4-4;Q2VYF4-3;Q2VYF4-2;Q2VYF4,-0.2047,0.6578,0.128,2592.0,3019.9,3021.6,2500.1,2472.4,2713.4,2404.6,2040.7,2121.7,2893.6
Q5VYY1,0.2051,0.6516,0.128,4247.9,3312.4,5622.4,5205.7,5102.0,4001.0,4346.6,6287.6,8449.2,4910.9
P42330-2,0.1972,0.6551,0.128,49438.0,38925.0,61687.0,58786.0,69415.0,56707.0,43690.0,79479.0,102370.0,49340.0
