Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1,V_log2.i._TMT_2,V_log2.i._TMT_3,V_log2.i._TMT_4,V_log2.i._TMT_5,D_log2.i._TMT_6,D_log2.i._TMT_7,D_log2.i._TMT_8,D_log2.i._TMT_9,D_log2.i._TMT_10,D_log2.i._TMT_11
Q9CYA6,-0.0301,0.1276,0.0001,133524.1510765717,137468.48545811026,125441.21466633325,128297.64563000976,138456.31438159582,142915.17012733404,125441.21466633325,127840.79124450516,133524.1510765717,126426.2435157615,123504.7892850348
Q3UMU9,-0.0229,0.1611,0.0001,3329044.4687591693,3692834.2062738645,3354120.6362242675,3443310.6532830615,3354120.6362242675,3068773.519694839,3661941.344281179,3265514.426089544,3467307.145931365,3294352.7222572197,3535942.999134397
P39038,0.0369,0.1947,0.0001,2784010.7728130925,2296997.5030247937,2920576.6548399515,2593994.849282633,2301316.2983368495,2470615.9230080964,2952215.8113307576,2617940.798524165,2885478.814301524,2299576.472816218,2658442.583202685
B1AR74,0.015,0.1307,0.0001,6346817.561152271,6306221.88527386,6119065.317233838,5885899.242725405,6027760.881524456,6174499.226094346,5940653.759305375,6253893.428314121,6503677.559027233,6139974.557314711,6210741.406321151
P63056,-0.0356,0.2088,0.0001,1119411.4927851197,1171937.802869787,1062997.6620721873,1376454.0684724466,1235569.6962575677,1168058.7064171813,1128116.7970747026,1158950.704445243,1213099.4815009595,1227811.7697281288,1091492.6342632473
O89079,-0.0262,0.1599,0.0001,896789.6120017036,921199.2466863896,824772.1068044369,877685.7252703228,978169.7767183378,836127.3813234756,894862.051559487,876036.832131965,933589.933814089,922694.4608602711,839524.208873392
Q69Z98,0.02,0.1319,0.0001,1218383.8846865802,1246441.344458463,1235569.6962575677,1217291.6474833682,1227811.7697281288,1230540.1356117122,1140761.7589052636,1287744.6446661763,1252604.7881662562,1256522.796900786,1312632.2339194294
Q9DBE0,-0.021,0.162,0.0001,8150357.9944455605,7844109.336709914,7764272.531474387,7734360.246011529,7958656.78717341,7856623.584794484,8799212.645720515,7556084.897982221,7764272.531474387,7022807.848342306,7675561.632907535
Q9D832,0.0221,0.1658,0.0001,3350746.813498177,3551815.1567813274,3382852.6058683097,3339479.150477387,3644793.1767441803,3510663.6976039265,3233914.751846447,3470909.9947563657,3437030.096770427,3748676.5486336076,3649184.98411575
Q9CZX9,0.027,0.1475,0.0001,459793.93735113577,455577.1498097479,495665.21403145057,496342.68760734313,419983.9787413927,464690.7896802818,513182.09952759865,475474.86280060443,480997.3967544378,468423.68098639604,443926.00623912364
V9GX34,0.0301,0.1812,0.0001,1259868.4716153475,1234288.3823570313,1230540.1356117122,1254429.4521905894,1109360.5580958363,1218383.8846865802,1389118.770988366,1254429.4521905894,1286797.3511593372,1118792.7476778722,1196328.9419707255
Q922H2,0.0399,0.2201,0.0001,531241.3043472123,581039.4324958071,555355.0706974352,509431.570330198,523545.4537019432,474618.1244431768,536468.5293594348,543655.6408579164,561108.435807331,607579.0944595666,609875.0193145867
D3Z0M9,-0.0356,0.17,0.0001,230718.29335115838,212966.11493607916,245887.2941208426,209749.4574879841,212966.11493607916,212966.11493607916,227284.7212255389,219997.95181726295,232268.42851927452,205305.46514534773,204852.280223269
Q9CZC8,-0.0146,0.1445,0.0001,82975285.91900957,84362789.35688926,80989133.36163993,82975285.91900957,86902232.96581727,83095502.73195429,82753410.50951837,81542072.64403836,80989133.36163993,84484480.1896243,84115375.23262623
Q8BH61,-0.0458,0.2084,0.0001,1619791.5675631717,1546509.2670269446,1631403.7770521862,1940357.0156920096,1555944.3370624722,1519194.5920996058,2078287.942676537,1566075.6338772196,1593993.5726177497,1521087.8812045834,1366820.2088495123
Q9EP89,-0.0179,0.1708,0.0001,18430443.43988092,18063005.100006614,17146750.904242247,17956246.212669406,18964416.83700552,18430443.43988092,17370391.971547484,17864123.44519484,17471729.33104545,18274452.820085824,17956246.212669406
Q9DC33,-0.0227,0.1568,0.0001,1574978.812748579,1542124.0982344795,1620941.0452890734,1740185.2371591092,1625635.3010205918,1646491.6141637024,1587075.3047994627,1593167.0550722668,1512897.0828813338,1600078.0341156148,1636591.1719651474
A2AJA9,0.0318,0.1922,0.0001,607579.0944595666,614294.8150563898,619980.1965714181,597599.497967653,608599.9736955742,607579.0944595666,669134.8295241835,596091.4709611498,615016.677077478,564922.7147546448,688089.5598045902
P29699,0.0366,0.2548,0.0001,6735534.145140765,6711597.2231491655,6329677.368135703,6650721.154498321,7602230.731890725,7203426.622076678,5871945.410172127,7031350.952812071,6974341.556766139,7495335.914662317,7318677.381260705
Q9CPZ8,-0.0881,0.3682,0.0001,821521.3246360073,1380926.370960775,884417.1464433472,1133900.6619427863,969706.7399493791,935998.3107964525,1038143.3334875596,824305.7332055421,956924.8306219834,1112460.0218644165,995454.7613168127
Q8VDM4,0.0128,0.1255,0.0001,27588789.04018239,28804919.06752931,27456947.43647704,27682902.35248012,28456723.639706347,27802722.664067756,27719997.46121129,28740068.680113334,28265411.827498093,28804919.06752931,28218949.25899276
Q6DID3,-0.0328,0.1724,0.0001,297699.7921944076,293895.5905243498,275109.43438248255,312679.5551492406,320687.1974017377,292318.107341767,262796.6782545798,303147.58491726307,306348.12191820494,296958.12581288296,298638.6213601109
Q5SSZ5,-0.0677,0.2258,0.0001,63029.1653943976,63029.1653943976,62166.719204172,81251.77885951154,54838.58586769559,55421.72477137209,69872.81973660446,59710.85747217921,66023.58644458167,59035.18533213799,61518.03975362669
F2Z468,-0.0344,0.1612,0.0001,234158.0498953319,234554.04084584065,229650.96498735907,233111.97491611043,257649.56057087702,227620.76748198934,257396.45696184435,202085.6699255793,228052.58395083802,249289.9147922085,229163.68046088846
Q3UHF7,-0.0396,0.1927,0.0001,434788.3400772396,433760.448635508,488470.39450773585,451454.75889590645,406856.4970766512,422413.1681447829,504077.99798007065,428596.3685089472,446401.13924081536,357534.6042225969,428596.3685089472
Q9JM14,-0.021,0.1888,0.0001,22513331.768301506,20850519.24354549,23003454.957358737,22829924.384803023,21968964.85827156,21687972.478171103,23439293.561493807,21049549.03905109,22730332.752465617,21049549.03905109,21558334.330135174
Q8R3X6,-0.0461,0.1786,0.0001,98212.68275365594,105108.67707346837,112612.61498298933,116332.25432475535,95727.37733481925,102519.87945480856,116703.5779361933,94042.77353013668,94042.77353013668,100021.70064818727,106614.39796941838
O88587,0.0224,0.1909,0.0001,9381879.843309224,9457248.51716827,9108739.073957589,8536089.295199566,8614854.779385421,9603664.844598303,8948584.688861605,8788612.221481312,9806192.59057183,8980677.239172243,8857926.40171518
Q8BGC1,0.0546,0.2253,0.0001,136309.69419306773,143628.8193106406,138456.31438159582,137468.48545811026,130358.00626540971,131720.3805323728,128807.17414461415,170294.44734524778,130931.89499194217,160335.74880089355,133524.1510765717
E9Q705,-0.033,0.2021,0.0001,3830487.3447259893,4004737.5380506525,3591530.287617653,3747763.7198526454,4040302.9971730593,4025759.9912081277,3123774.709671661,3841852.078578416,3470909.9947563657,4095359.7766816453,3985893.3086549714
E9Q3M9,-0.0154,0.1487,0.0001,63256576.00680447,64445442.578499906,66923795.646320626,65285506.8747868,63933346.024808,61853108.74109214,66923795.646320626,63256576.00680447,64824179.83633863,63088839.033494264,64683263.11463482
Q7TPM6,-0.0364,0.1818,0.0001,1928033.817555746,1841425.447852567,1923983.511857909,2107243.587900245,1869633.4151219765,1776174.9278155747,2276631.136672608,1669334.20234338,1868634.9922355742,2089479.783073748,1638496.685870517
P35762,-0.0454,0.2702,0.0001,15182332.212378945,16936192.09330856,14758269.154859595,16460165.825230038,19422042.907574046,17921456.702556998,13444323.67988765,16579697.487509303,16155696.874262441,17078518.149134614,15070882.61900211
Q9D7J9,0.1094,0.2944,0.0001,38957.39465919441,49899.25841339083,44357.316926540996,57815.4654769609,49899.25841339083,54838.58586769559,74426.22500673946,45065.646945900764,41697.65001206535,55421.72477137209,40493.39238858388
E9QNZ2,-0.0398,0.2042,0.0001,415117.477342431,490896.4077772924,397151.02338301885,452647.85973197466,455577.1498097479,433760.448635508,377278.4407211643,472971.64992531197,402887.97371076874,459793.93735113577,435989.947048797
Q61809,-0.0337,0.1795,0.0001,372619.79702688183,323358.33676025923,376855.5183854206,360800.6757028271,351998.1239128974,352686.04931648704,381900.04185885924,333913.73220968473,370299.371496411,312952.80994277383,342192.6175366915
P62983,0.0414,0.1722,0.0001,118127.84049126321,122540.8487728696,128297.64563000976,112083.32745311264,121122.02794070875,121711.54737958139,144171.1217252715,121711.54737958139,123861.16223004271,114596.67984326495,117830.50126335675
D3YU17,-0.0361,0.1743,0.0001,228052.58395083802,269783.6144092233,225817.518207774,233598.6222944772,238936.1695934689,226735.73511056945,240719.59435908427,230718.29335115838,218935.42279870383,255386.7261567263,228052.58395083802
P63321,-0.0194,0.1813,0.0001,58438134.5871127,52683563.722900815,58269272.06250169,54164217.59512507,57146261.54000182,54810072.79536426,56406512.674062625,57036055.98044793,55964971.3426136,54657349.42707358,53554333.78071972
A0A1B0GT81,-0.0281,0.1788,0.0001,3265514.426089544,3071774.0657134806,3034980.8882182245,3233914.751846447,3049576.649056284,2851491.8597921464,3567294.3909130767,2917547.587494381,3247143.0580795277,2905180.223335101,2943477.999898438
Q3UDP0,0.0339,0.1866,0.0001,1012756.6403510043,967590.8385243441,806432.7787449982,1006250.5007651695,1002829.1817932706,1043764.3785972266,942623.2264824577,1001111.079166504,1067112.3754535252,914255.5353993513,925321.497392869
Q8BKR5,-0.0234,0.1458,0.0001,611274.1444894659,618579.643028665,620692.2884023952,629301.6851980408,652932.3119268572,629301.6851980408,561772.22901908,636174.3235791603,613501.6952096677,635208.3132838304,624188.2738615575
Q31093,-0.1908,0.3483,0.0001,18418.155185442032,16155.871522719635,42565.82480419945,26328.421960314445,34405.39003852176,29160.953729270706,22820.058504683027,30679.56496500736,30679.56496500736,13134.977000256591,18418.155185442032
V9GWU7,-0.0334,0.168,0.0001,313352.6553486501,320100.58923899464,313815.8634463478,309008.80960727157,285773.8601269128,274647.1215888319,325972.113897503,322002.10500071984,297400.3234260153,268423.8044239346,320687.1974017377
Q7TPD2,0.0424,0.2069,0.0001,290338.35163412045,369750.6546837753,331895.90353603044,324361.96897369553,333913.73220968473,319406.27786174655,303147.58491726307,395015.4557021432,332428.37919309014,354583.2973122552,335787.0789475197
Q60973,0.0167,0.1468,0.0001,5065418.539909722,5206898.885526076,5535924.358640092,5234258.168159603,5366824.194514021,5217842.181039336,5545930.203378857,5286273.918535855,5321845.602630786,5217842.181039336,5480887.592402102
Q9Z0U1,-0.0221,0.1651,0.0001,3378537.095657823,3481551.661521187,3482692.856765925,3582939.429674802,3332415.218775526,3329044.4687591693,3741628.3106460217,3340229.29953031,3473537.4995817435,3172997.7898377366,3345523.9381061136
Q8CI08,-0.0253,0.1609,0.0001,813786.1095136955,747480.5434044104,761101.404445421,794802.4693438723,834704.7325689207,834704.7325689207,748107.7433026712,776646.7295276414,785739.3225784171,779309.5883228518,736320.4005181482
Q8BRQ9,0.0351,0.2537,0.0001,4871357.311208879,4908879.257345497,4482487.635988283,4701647.35799006,4901402.858016993,4639966.01197317,4299897.459570701,5302555.502924871,4732741.6090950025,5438800.660671116,4942793.260076932
P26645,-0.0278,0.2207,0.0001,195681756.99756974,209667449.0668549,194513061.06891325,216805722.04385823,212676644.4420348,211048719.16457996,194513061.06891325,200114540.68026525,188152579.38758728,229357879.41240537,188826101.1051048
Q9CXF4,0.0285,0.1582,0.0001,321353.5558455025,357999.7985109882,341785.60944379953,354583.2973122552,346510.1959728456,382190.26724918693,348310.98579511815,329282.47138407873,341785.60944379953,364033.9720072464,342945.17609558115
Q810A7,0.0248,0.1606,0.0001,1322192.7408214966,1425235.981219527,1469830.3040667092,1432173.2454215712,1475654.8682903212,1483060.136377763,1324747.9223426788,1451163.1839656418,1430505.27156374,1507075.292510895,1504255.2964952826
Q9WU60,-0.0277,0.2054,0.0001,3540161.8866641447,3649184.98411575,3409496.75563622,3639833.8653201624,4012600.821677583,3835041.9188254527,3332415.218775526,3498054.553396738,3557752.9358735946,3741628.3106460217,3524668.469100749
J3QPR1,-0.0353,0.1958,0.0001,538907.5351333339,467615.4955602804,455577.1498097479,484238.82242345816,525430.6618340793,518232.6214183451,467615.4955602804,521721.653463305,469356.656540555,453395.3295556539,465041.507027442
P70699,-0.0344,0.2464,0.0001,4029886.6164038363,3887820.165639589,4716668.225921672,4223875.672628066,3863848.56596411,3801355.9862643457,3972337.2662985893,4366745.33623086,3851236.527541549,4257199.984004506,4040302.9971730593
Q8K1R3,-0.0182,0.1694,0.0001,9431513.708877169,9549256.786336979,9300018.548243828,9768233.19087563,9381879.843309224,9409726.164702186,10005678.398836652,9108739.073957589,9570336.2691395,8933238.565950876,9197034.67672407
E9QQ25,-0.045,0.2207,0.0001,1500616.9504048205,1374558.4273291298,1591184.2153716872,1722373.3220936824,1420346.4580140929,1452021.4995424205,1768419.6984191095,1419122.6011358586,1575895.2730457534,1226451.8378330292,1412137.2748759883
O55100,0.0554,0.3092,0.0001,46112859.27046836,41794533.53785715,52585273.98735031,44541580.303832516,41688048.2094244,44105830.97720486,58269272.06250169,46386912.74236526,50720021.95038778,40868970.406381026,42469655.365620576
Q8BGT6,0.0348,0.1997,0.0001,759808.8141107252,678136.4605718439,807914.6258356727,674593.2094117419,783797.3051275305,761804.0604426123,676102.820136014,764208.8127056032,787398.823441582,737011.5596212387,828137.1508254954
P16390,0.0419,0.1883,0.0001,219997.95181726295,200927.375850042,194557.1671134526,190566.86371970357,226735.73511056945,197218.30307748128,202085.6699255793,204852.280223269,241918.90472256797,228052.58395083802,202085.6699255793
E9Q586,-0.0627,0.1939,0.0001,56475.975308671055,70985.37911725107,71467.71633894875,76326.45566823379,63614.22887877835,66023.58644458167,63614.22887877835,51373.7876253237,56982.69213992095,77068.06337769103,74426.22500673946
Q9D3B1,0.024,0.1644,0.0001,2128248.6310111093,1971917.259833235,2144810.1974904756,1899536.149239431,2059490.4893599579,2161556.584731445,1951252.073256513,2110217.373741935,2180931.5148359607,2002794.9497691188,2046943.989016055
Q5SS83,0.0196,0.1782,0.0001,10904649.50274276,11408075.3402684,11434155.74080397,11774209.612689128,10819416.0325565,10937891.88162658,11252467.281263843,11408075.3402684,11027835.311281202,11890472.049380258,12047377.253571656
Q9DB94,-0.0514,0.1933,0.0001,91979.23597529817,87202.62394697568,108761.99759562137,100021.70064818727,86106.72005649247,96586.97049057872,97716.5878185571,97119.24322128376,87202.62394697568,79372.31761628708,91185.99786042304
P70202,-0.0288,0.2223,0.0001,11684786.840885593,12032795.973664448,11471098.686324786,11138744.106000489,12759930.06585017,12166915.56055533,10487343.628384318,12304968.273900876,10603033.192317454,12228536.668527646,11734029.919465626
Q69ZQ2,-0.0375,0.2101,0.0001,804719.7612739241,855816.4454098147,738155.434144045,783797.3051275305,892603.3452329341,862974.3197007101,701138.7454252336,838879.1779271478,742828.672054424,851868.6660673086,768162.0214747719
Q8R0A0,0.0413,0.2196,0.0001,636174.3235791603,624188.2738615575,547961.2741871326,569516.4711599699,682487.4974092479,674101.1587715773,547961.2741871326,639187.5664090567,584084.7156598687,646043.3141611873,688736.0963504277
Q8R3F5,0.0196,0.1723,0.0001,5881298.042233749,5970488.682624424,5860321.575241175,6230442.53519325,6020820.353349252,5923251.24491397,6514741.610942801,6122834.220165734,6152620.440150592,5797710.273387729,5951124.57423451
O70435,-0.0209,0.1876,0.0001,55964971.3426136,56287379.24322439,55585419.24291657,58438134.5871127,61259123.387796275,57619111.726340294,55047238.53037039,59387531.52486988,57619111.726340294,57619111.726340294,52878040.17306701
Q5SVG5,0.0194,0.1749,0.0001,40813117.31278944,41047390.246200524,38136553.798601605,38136553.798601605,41115928.146019496,40338886.224378996,37531224.65664489,41527980.886180475,40113123.03528322,41527980.886180475,41388600.60304409
O88569,-0.0217,0.1951,0.0001,153672394.98859692,148244712.91563702,157020915.5112315,154551141.65914258,147652886.60978645,140625718.7737951,166102256.72884005,143176747.1403622,153672394.98859692,145615153.6100324,150924743.29399478
P04919,0.043,0.2442,0.0001,1033965.7263662064,994149.4501961526,1151573.6053482946,999477.9958035605,1053173.1694600615,1064706.760960829,1289280.7992188267,1051323.043406565,1096744.993280964,1008536.853194683,959865.1465486116
P85094,-0.0452,0.3,0.0001,8693670.398242598,8633326.378289374,8263647.112113574,8821136.039936371,6681465.710160019,8968837.380233739,7814767.071861718,7974404.218616231,7581011.802784926,7734360.246011529,7743533.406279352
Q9D3P8,0.0357,0.2199,0.0001,1593167.0550722668,1704658.434223402,1633443.5175303272,1696379.73186922,1816828.3717826623,1913570.0239518045,1526372.0380495805,1829543.4570003122,1693263.024709438,1806993.872169777,1619791.5675631717
D3Z632,0.0387,0.195,0.0001,324361.96897369553,382190.26724918693,311901.9268837802,345375.8540618858,377278.4407211643,340535.1570687362,322333.2530310532,373885.87149689184,346326.95736550883,401068.93325565464,362894.1223748683
Q9D554,-0.0262,0.1647,0.0001,948915.1683483734,1012756.6403510043,966256.9973288275,905347.5919288106,974443.1542351709,946259.3196953739,847646.07603206,993709.2371106317,956217.1178260099,948004.4960184941,976023.8145174349
P54116,-0.0518,0.26,0.0001,753283.6717904995,652932.3119268572,785739.3225784171,697336.2155976791,581731.0241197877,608885.8591770567,723479.9564419192,660916.317610921,731625.3079457377,579209.3621944597,716352.5599457395
Q9D187,-0.0883,0.3171,0.0001,172767.45785358312,198491.6260926809,123861.16223004271,175583.07983477798,131565.18306362044,141637.81003258447,180840.5960030804,139759.39319135007,159944.19251632036,137924.75589030876,146247.24029452555
E9PX70,-0.0481,0.2255,0.0001,378559.5177898944,317379.4915366832,379193.8320742618,416135.3221895703,351693.4430078182,306914.6230704113,414646.34393430874,356033.2270128825,388573.7039342872,335216.96334131097,338573.0745879419
Q6IRU2,-0.019,0.1756,0.0001,20051307.456325382,20023137.927364353,20208721.63744745,19728703.027742773,21294221.63008286,19990035.536718067,21470753.307366747,19793960.942203276,18885589.41841059,19881401.120882154,19990035.536718067
H3BL05,-0.0241,0.1687,0.0001,2667267.1998529285,2661822.606632037,2489671.062864477,2789899.1315665715,2640252.3300164207,2636193.3074854426,2871033.3267902792,2521882.943543682,2586202.067292776,2489671.062864477,2536214.9034964377
O35526,-0.0187,0.1986,0.0001,228391082.9265797,243202151.46490216,243202151.46490216,254536805.2322482,236841639.39407188,228391082.9265797,240016595.06120116,246980047.1574892,240016595.06120116,233025227.54105815,240929325.53423053
E9QNG1,-0.0198,0.1561,0.0001,3167113.2315539466,3185187.325503025,3464823.493307549,3247143.0580795277,3170316.8049536413,3185187.325503025,3302006.457127055,3227240.411726126,3121424.82079637,3108475.3705981327,3278332.2828420335
Q2M3X8,-0.0259,0.2157,0.0001,9610558.608759709,9236136.986888103,9962294.087231519,10216410.061632937,8980677.239172243,9052791.491369462,10468787.352268284,9275428.489038263,9292341.397820491,9392596.293726642,9124876.980015965
P07901,-0.0242,0.2193,0.0001,215790496.01525173,208081975.9955406,195681756.99756974,208081975.9955406,219383656.33538482,209667449.0668549,188152579.38758728,212676644.4420348,223017695.50333256,203993683.1710984,198466801.41432264
P50114,-0.0357,0.2334,0.0001,16777299.284095693,18625876.010769162,17631564.725738868,18430443.43988092,20051307.456325382,19435368.00280244,15496847.136274299,18994932.91928472,15809818.919095017,19422042.907574046,17999822.171090767
Q923G2,-0.0407,0.1869,0.0001,373267.9283498217,404733.89307908894,361324.00700664596,351693.4430078182,371263.13279148855,411704.16761644883,370693.73408438993,376855.5183854206,360308.2160134175,374504.90873275057,279039.1903111961
P68040,0.0275,0.1845,0.0001,2034935.0934567521,2001518.6178510557,1902311.6859701558,1894792.314755076,2065936.705053635,2013855.2405590643,1836955.2710537866,2138017.2112516523,2011665.0547867508,2171011.629683187,1940357.0156920096
Q91W67,-0.0358,0.1517,0.0001,116703.5779361933,129742.8961526235,127120.30242353762,129742.8961526235,116703.5779361933,127840.79124450516,127434.30069177023,117392.14538695004,113022.74629681761,116193.7138447315,124224.49538441279
Q9Z1B3,-0.0123,0.1373,0.0001,192217378.11928144,197280500.62828755,192217378.11928144,196430154.9142929,198466801.41432264,191213737.12677735,191213737.12677735,195681756.99756974,192217378.11928144,196430154.9142929,195681756.99756974
A2AUK5,-0.0256,0.1989,0.0001,57752184.72792582,57294092.85164092,62619559.596325934,61853108.74109214,55047238.53037039,56116261.06562747,64952058.240754694,56406512.674062625,58522658.17866781,53554333.78071972,57864372.37090003
Q9QX60,-0.0214,0.1671,0.0001,4514400.989722032,4166238.304079666,4416614.901284811,4453911.100902152,4226268.127304958,4316101.4578657,4732741.6090950025,4171473.0102688805,4278229.3155379705,4056944.287530174,4201781.719819939
G3X9L6,0.0225,0.1887,0.0001,90151239.63689922,91364404.30872083,93057457.69375025,85852668.83710107,82484131.6690439,86902232.96581727,84806790.4943926,87332541.32404004,88973284.69438007,96032569.7146914,96032569.7146914
Q8CBC4,-0.0225,0.1639,0.0001,3225926.5096647087,3075093.86539523,3275101.6427973006,3462977.98445748,3207084.307068313,3233914.751846447,3459871.2502506548,3160849.3044896773,3108475.3705981327,3256972.8959634467,2979372.7660621917
Q9EPK7,0.0231,0.1461,0.0001,1190575.0439871044,1215602.4767846887,1200832.0863588415,1300316.389149584,1136357.0965536137,1198360.6623217238,1346441.3264864585,1226451.8378330292,1203523.6389003384,1187483.0287629636,1210610.8669459212
Q91W69,-0.0324,0.1931,0.0001,768162.0214747719,687336.1708455863,738769.9867651026,639811.3645689811,737011.5596212387,720512.6942413702,642906.4992684865,743506.90007865,684351.8038988838,658127.4216728015,742245.8366348267
Q91W18,-0.0337,0.1983,0.0001,628562.674644203,751131.5598008289,639811.3645689811,662685.6877727866,728986.733899642,693392.7465549902,625587.6223785443,628562.674644203,648517.4202684466,694885.3581563296,709290.1972676596
P60469,0.0115,0.111,0.0001,52353935.6884004,52878040.17306701,54721041.96772366,53762455.624679044,51980655.71871775,52461473.10017013,53926542.05342566,53554333.78071972,53926542.05342566,54296858.81383616,53342071.12319499
Q80YR5,-0.0266,0.1729,0.0001,1453615.9301750376,1595279.0317105372,1612129.3216794054,1708316.0525432702,1563118.8986240947,1564264.714706923,1567113.8038272825,1487337.959458699,1564264.714706923,1473041.177184067,1693263.024709438
Q6A099,0.0386,0.1959,0.0001,458201.21023785503,459023.6677473323,544339.3833640305,464690.7896802818,541063.1332291507,500704.8112779691,524203.36876431183,434050.20045224647,537394.9209887104,552408.2006305634,492622.46143838833
Q9R118,-0.0182,0.1248,0.0001,1037467.9329918588,1064266.710122387,1090569.9326301427,1075207.668684411,1105244.3099477948,1059395.5391968933,1033965.7263662064,1085802.763451303,1033965.7263662064,1096744.993280964,1058559.181803604
P63300,-0.0427,0.2538,0.0001,4595223.181549442,4519221.299167481,4308917.947453809,4226268.127304958,5535924.358640092,5155679.044587174,4803225.822378732,4329319.227376798,4463986.007085531,4130285.929441272,4130285.929441272
Q08879,-0.0261,0.142,0.0001,336750.8845592973,332428.37919309014,312679.5551492406,330883.77970762225,334431.753556346,347619.7538877009,333141.6439567468,332428.37919309014,314387.22197852517,297699.7921944076,316640.95854081854
S4R1C4,-0.0376,0.1963,0.0001,1129327.1694239322,1119976.5001033824,1033965.7263662064,1028803.5503825492,1238217.263659484,1185123.8745529952,912642.5758015522,1242625.9793450786,1061844.596210633,1031230.8280530481,1057275.906492672
A0A0A6YY53,-0.0282,0.1726,0.0001,622239.3563525941,642906.4992684865,684958.8332227292,605142.4842849676,701138.7454252336,683825.8669250741,608599.9736955742,640532.5506044028,643963.9863212741,611274.1444894659,644554.9872951533
Q8C2Q3,-0.03,0.2284,0.0001,11644100.257280061,11196494.021495005,12899889.90329763,12674825.011462452,10990298.993715603,11531875.64021505,12899889.90329763,11304116.697763855,11916728.823400186,10732454.946377866,11459233.11866552
E9Q1G8,-0.0168,0.1547,0.0001,100147733.50186563,100147733.50186563,98482328.06748977,97630960.96762945,98482328.06748977,94722959.686291,93410831.17275287,97630960.96762945,95087147.42079051,105919838.92936848,100450476.03398411
Q9CQZ6,0.0283,0.2188,0.0001,6238017.975109577,6643723.9555381285,6629475.274884243,5974845.6310008885,6420918.277523885,5865042.1355434265,7248001.205945833,6509978.642528388,6758415.562996213,6266833.67595951,6415391.299998688
Q3UH93,0.0142,0.1312,0.0001,6573920.902612434,6650721.154498321,6711597.2231491655,6720840.079961331,6668905.988759607,6530746.232085391,7016676.270319965,6650721.154498321,6629475.274884243,6668905.988759607,6906707.529858487
Q62172,-0.0221,0.1652,0.0001,3609570.030773548,3681080.286472339,3853918.521178355,3652735.8127377904,3535942.999134397,3397955.03568291,3586483.226271164,4018837.6070233434,3528154.249661899,3476974.597490265,3667529.522284748
Q9DAU1,0.0314,0.2332,0.0001,14592019.792932129,15207642.68825448,15094931.457776396,14206480.77602678,16830457.526804805,15873560.521664,13514862.335169097,15663293.878388751,15012257.183859924,16904315.234182592,16180070.738532068
Q7M729,0.0483,0.2478,0.0001,2780898.57285902,2701317.595376984,2622684.044774804,2481539.987224361,3308486.8924446944,2888458.4957346604,2266911.746027723,3034980.8882182245,3170316.8049536413,2821890.4942034697,3063232.3676614286
P11031,0.0462,0.2843,0.0001,4327184.063750219,4768937.367824683,4177578.148435933,4629053.983153054,4570551.903052962,3828034.81455714,4210725.769187943,4736372.741824848,4794286.46995789,4895672.927841758,5396675.647596782
P04370,0.0275,0.1935,0.0001,221749529.47757724,224150077.16802165,212676644.4420348,224150077.16802165,175759801.01402143,215790496.01525173,198466801.41432264,211048719.16457996,215790496.01525173,231244856.28226122,223017695.50333256
Q9R099,0.0232,0.1464,0.0001,829166.2715701559,833035.3828973143,784571.1850589081,780041.7029349513,858572.6195416016,801409.1553738414,796578.0592919382,904167.2485534464,841554.5141985271,824772.1068044369,815359.5208701578
A2AV25,-0.0363,0.1905,0.0001,1205371.6109284093,1122099.4654850732,1258640.9669941321,1209136.3263202799,1035150.4897770841,1106048.4694657226,1377337.2491369084,1094065.2685873145,1133900.6619427863,1038143.3334875596,1076202.983710152
H3BJZ7,0.0177,0.1268,0.0001,2216527.1102662524,2241598.409024749,2225699.7450260874,2138017.2112516523,2328125.029425239,2196235.66420524,2166960.933408087,2269029.8023552373,2254852.7891324474,2376787.0930657815,2285546.1696878048
D3Z286,-0.0602,0.1523,0.0001,38323.575573680144,34405.39003852176,43486.4069524354,32390.014164264812,38323.575573680144,40493.39238858388,28098.995070001576,38323.575573680144,47011.68505496953,28098.995070001576,33165.984714817314
Q9DCD0,0.0173,0.1555,0.0001,29761047.741630923,29604669.67774618,26925624.574065868,28507025.781020533,29872137.132038064,29788221.14946504,27556229.29658124,29960568.449644815,29572046.453635104,30006440.60946297,28885211.554455526
Q99LW6,-0.0584,0.209,0.0001,164516.82883027685,146247.24029452555,151852.40467762703,132207.94486012572,188704.18643901398,173586.1939369571,124618.02870610003,157598.76247892313,126426.2435157615,150466.21432226407,170294.44734524778
Q8R1Q8,0.0268,0.2204,0.0001,23390798.96096462,24137685.393536907,23556700.485613257,21998630.816601872,23966161.450771183,23633702.47866408,20850519.24354549,25111150.652677193,23745302.51175711,24603452.50556452,25206434.314909473
Q9ER58,0.0168,0.1532,0.0001,10130660.518606866,9986239.863345668,9700517.93020472,10191908.62692018,11067528.701133607,10552683.004526408,10165365.45969232,10684876.143704388,10299610.46947355,10062818.940222062,10264549.636266207
Q3U3D8,-0.0316,0.1809,0.0001,724327.6047823714,822185.0286007853,715047.0217360125,739577.6023902497,809704.337364969,806432.7787449982,763539.0301590967,713737.0691230106,772588.3788988142,763873.8480221919,655018.4061185736
Q6W4W7,-0.0181,0.1212,0.0001,810793.0231091705,830139.1545593527,809704.337364969,813786.1095136955,839524.208873392,802478.986877248,778535.2483203313,830888.4000793168,826297.9538355712,816200.1706714223,810793.0231091705
