Accession,T40,T43,T46,T49,T52,T55,T58,T61,T64,T67,RSD
IPI00513827.3,0.9999,0.9113,0.7453,0.4832,0.2853,0.1159,0.0621,0.0492,0.0461,0.0385,0
IPI00514619.1,0.9999,0.941,0.9703,0.841,0.6045,0.2682,0.1005,0.0923,0.0849,0.0761,0
IPI00549993.3,0.9999,0.9847,0.9983,0.9572,0.7898,0.4062,0.2035,0.1453,0.1127,0.0873,0
IPI00550021.4,0.9999,1.1649,0.9723,0.6594,0.4796,0.1355,0.0959,0.083,0.0661,0.1704,0
IPI00550891.3,0.9999,1.1011,1,0.7263,0.2739,0.1024,0.0605,0.0477,0.0372,0.0357,0
IPI00554705.1,0.9999,1.207,0.9706,1.0002,0.9042,0.7418,0.6418,0.4147,0.2504,0.1329,0
IPI00555956.2,0.9999,1.0784,1.1912,1.1909,1.1571,0.9802,0.8557,0.8537,0.9267,0.739,0
IPI00640817.1,0.9999,0.954,0.9846,0.9328,0.6479,0.325,0.1504,0.108,0.0872,0.0725,0
IPI00643554.1,0.9999,0.9466,1.0262,0.9775,0.9587,0.9103,0.6483,0.5281,0.4578,0.3138,0
IPI00644055.3,0.9999,1.2916,1.2082,0.8001,0.3916,0.1386,0.1029,0.0926,0.0741,0.0615,0
IPI00646015.1,0.9999,0.7224,0.5306,0.3061,0.2426,0.1087,0.0802,0.0693,0.0677,0.0502,0
IPI00646058.2,0.9999,1.2308,1.3176,1.2581,1.0064,0.9567,0.7807,0.7187,0.6783,0.5771,0
IPI00743594.1,0.9999,0.9498,0.7346,0.4402,0.3636,0.2632,0.2087,0.2024,0.195,0.1454,0
IPI00743663.3,0.9999,1.0275,1.0162,0.8942,0.7307,0.4115,0.2607,0.2111,0.1846,0.1475,0
IPI00743871.2,0.9999,0.9135,0.7866,0.4992,0.3122,0.1559,0.0974,0.081,0.0698,0.051,0
IPI00783559.1,0.9999,0.9365,0.6979,0.2828,0.1624,0.0789,0.0573,0.0472,0.0444,0.0341,0
IPI00783945.2,0.9999,0.9469,0.7915,0.6811,0.4102,0.2052,0.114,0.0989,0.0903,0.069,0
IPI00784224.1,0.9999,1.2821,1.2639,1.0811,0.8183,0.5288,0.3306,0.2292,0.2031,0.1638,0
IPI00788879.2,0.9999,1.0552,0.9951,0.851,0.5698,0.2642,0.1679,0.1338,0.1118,0.0808,0
IPI00789121.1,0.9999,1.1361,1.0977,0.8507,0.5354,0.2207,0.1566,0.1291,0.1129,0.0946,0
IPI00790214.1,0.9999,1.1226,0.923,0.8642,0.8012,0.6566,0.6254,0.6683,0.5688,0.4206,0
IPI00792737.2,0.9999,0.9929,0.9319,0.8189,0.6982,0.4721,0.2891,0.215,0.1841,0.1316,0
IPI00855767.1,0.9999,1.0048,0.9684,0.9551,0.7597,0.4352,0.2581,0.2024,0.1739,0.1304,0
IPI00872640.1,0.9999,0.9387,0.7224,0.4661,0.3421,0.1884,0.1188,0.11,0.0852,0.0779,0
IPI00889783.1,0.9999,0.9339,1.018,0.976,0.8572,0.5241,0.2722,0.1831,0.131,0.0824,0
IPI00893829.1,0.9999,1.1256,1.0221,0.9397,0.8126,0.5022,0.2239,0.1354,0.1252,0.0927,0
IPI00902512.1,0.9999,1.0747,0.9898,0.9072,0.795,0.542,0.3419,0.2023,0.1456,0.1075,0
IPI00903255.1,0.9999,0.9922,1.0077,0.8842,0.6594,0.3817,0.2521,0.1969,0.1764,0.1208,0
IPI00908404.1,0.9999,0.9159,0.9476,0.9504,0.8751,0.7412,0.478,0.3245,0.2178,0.1588,0
IPI00908416.1,0.9999,1.0001,0.836,0.6417,0.4215,0.2014,0.1364,0.1199,0.1025,0.0775,0
IPI00910088.1,0.9999,0.9808,0.9587,0.9321,0.8066,0.5535,0.446,0.2579,0.1418,0.0951,0
IPI00914048.1,0.9999,1.0324,0.9679,0.976,0.8427,0.4563,0.1455,0.1147,0.0901,0.0685,0
IPI00000075.3,0.9999,0.999,1.0089,1.0185,0.9504,0.829,0.7366,0.6279,0.4951,0.2903,0
IPI00001568.1,0.9999,1.0452,1.0452,1.0554,1.0016,0.9259,0.8024,0.7235,0.4638,0.2615,0
IPI00001676.9,0.9999,1.057,0.9957,0.8599,0.6327,0.3038,0.1335,0.0956,0.086,0.0747,0
IPI00001885.1,0.9999,1.0153,0.9792,0.9367,0.8626,0.6074,0.5057,0.2914,0.1244,0.0825,0
