Accession,T40,T43,T46,T49,T52,T55,T58,T61,T64,T67,RSD
IPI00465248.5,0.9999,0.9024,0.9577,1.0004,0.8511,0.6663,0.235,0.1008,0.0604,0.0455,0
IPI00019502.3,0.9999,0.9461,0.9663,0.7161,0.5132,0.2206,0.1218,0.0975,0.0869,0.0674,0
IPI00186290.6,0.9999,0.9206,0.9783,1.0102,0.8651,0.6429,0.2544,0.1193,0.0917,0.0705,0
IPI00418471.6,0.9999,1.0313,1.0195,0.9472,0.8108,0.7417,0.6386,0.6429,0.5872,0.4674,0
IPI00298994.6,0.9999,0.943,0.9504,0.9279,0.4842,0.2868,0.1514,0.116,0.0911,0.0659,0
IPI00021812.2,0.9999,0.9642,0.8846,0.908,0.8561,0.8689,0.7885,0.9568,0.7776,0.5778,0
IPI00414676.6,0.9999,0.8982,0.9645,0.9673,0.6574,0.3798,0.2287,0.1788,0.1482,0.1068,0
IPI00296337.2,0.9999,1.2531,1.2327,0.6492,0.183,0.0918,0.0593,0.0519,0.0477,0.0469,0
IPI00307162.2,0.9999,0.9662,0.9968,1.0386,0.8718,0.9066,0.8124,0.7051,0.7783,0.4076,0
IPI00456969.1,0.9999,1.1573,0.9851,0.6578,0.3549,0.1204,0.0722,0.0608,0.05,0.0436,0
IPI00790503.3,0.9999,0.9791,1.0395,0.4431,0.6705,0.5273,0.189,0.1431,0.1222,0.0891,0
IPI00788737.1,0.9999,0.8938,0.9995,1.063,0.9498,0.8631,0.2385,0.0704,0.058,0.0456,0
IPI00479946.3,0.9999,1.006,1.0384,1.1035,0.9044,0.7389,0.6355,0.6036,0.5904,0.4859,0
IPI00784154.1,0.9999,0.8948,0.8651,0.6818,0.4844,0.2989,0.1653,0.1271,0.1043,0.0783,0
IPI00871535.1,0.9999,1.0455,0.9733,0.9794,0.9402,0.9264,0.5606,0.3933,0.2477,0.1624,0
IPI00783097.3,0.9999,0.9519,0.9853,1.0395,0.9589,0.9007,0.7339,0.6177,0.2574,0.0807,0
IPI00217966.7,0.9999,0.9408,0.9606,1.0576,0.9371,0.9175,0.8081,0.6018,0.3416,0.1449,0
IPI00219217.3,0.9999,0.95,1.0012,1.1189,0.9796,0.9852,0.8995,0.7895,0.5626,0.2367,0
IPI00742682.2,0.9999,0.9749,0.9425,0.9405,0.9109,0.889,0.7294,0.7449,0.6094,0.3933,0
IPI00871932.1,0.9999,1.0038,0.9465,0.8814,0.8434,0.7723,0.2968,0.1994,0.1485,0.0987,0
IPI00024067.4,0.9999,0.9725,0.9883,0.6884,0.2176,0.094,0.0557,0.0487,0.0435,0.0342,0
IPI00295400.1,0.9999,1.0061,1.0103,1.0882,0.9834,0.9148,0.9002,0.9214,0.9229,0.7646,0
IPI00333541.6,0.9999,1.0195,0.9129,0.924,0.6638,0.3075,0.1682,0.1518,0.1138,0.084,0
IPI00291006.2,0.9999,0.946,0.9713,1.065,0.9522,0.8862,0.6778,0.3668,0.0911,0.0628,0
IPI00216691.5,0.9999,0.9652,1.0022,1.0319,0.9461,0.7281,0.2525,0.1499,0.1279,0.1019,0
IPI00178352.5,0.9999,0.9928,0.8812,0.928,0.8575,0.7772,0.441,0.2616,0.1622,0.107,0
IPI00297779.7,0.9999,1.1213,1.2027,1.2235,1.021,0.5883,0.2497,0.1488,0.1188,0.0877,0
IPI00010471.5,0.9999,0.9794,0.9712,1.0562,0.9591,0.8554,0.8875,0.8817,0.9085,0.6233,0
IPI00796333.1,0.9999,0.9416,0.9709,1.0565,0.9393,0.8858,0.8183,0.7891,0.6142,0.1839,0
IPI00007765.5,0.9999,0.9899,0.9983,1.049,0.9202,0.6275,0.2761,0.2026,0.1609,0.1189,0
IPI00000816.1,0.9999,0.9895,0.9842,1.0391,0.9511,0.8587,0.8665,0.5974,0.2483,0.1547,0
IPI00746934.2,0.9999,1.2227,1.1215,0.8954,0.5664,0.2103,0.1241,0.1019,0.0826,0.0684,0
IPI00219365.3,0.9999,0.8608,0.9651,1.0502,0.9262,0.5516,0.0764,0.0619,0.0505,0.0417,0
IPI00014898.3,0.9999,1.026,0.9163,0.7192,0.5026,0.2837,0.163,0.1367,0.1078,0.0778,0
IPI00894498.1,0.9999,0.9295,0.9113,0.9023,0.738,0.4214,0.1331,0.1041,0.0868,0.0716,0
IPI00018206.3,0.9999,0.9894,1.0276,1.0995,0.9974,0.9723,0.9843,0.9944,1.0353,0.7867,0
IPI00022774.3,0.9999,0.9877,1.0706,1.1258,1.0267,0.8902,0.7836,0.7757,0.766,0.531,0
IPI00169383.3,0.9999,0.9619,1.0071,1.0773,0.5869,0.1549,0.0848,0.0638,0.0529,0.0415,0
IPI00026781.2,0.9999,0.9996,0.947,0.7663,0.2935,0.1015,0.0535,0.0466,0.0391,0.0353,0
IPI00784090.2,0.9999,1.1564,1.1808,1.1904,0.9654,0.5623,0.2839,0.194,0.1603,0.1219,0
IPI00013808.1,0.9999,0.9167,0.9796,1.0062,0.9333,0.8666,0.7832,0.4007,0.1329,0.1034,0
IPI00302927.6,0.9999,1.056,1.0612,1.1005,0.9413,0.5818,0.2227,0.1399,0.1102,0.0881,0
IPI00332499.1,0.9999,0.9793,1.0217,1.0361,0.8787,0.8499,0.6857,0.7529,0.6434,0.5204,0
IPI00910781.1,0.9999,1.0003,1.0286,1.0861,0.9203,0.6446,0.244,0.094,0.0787,0.0616,0
IPI00289499.3,0.9999,1.0051,0.7847,0.3154,0.1925,0.0859,0.0544,0.047,0.0414,0.0364,0
IPI00290566.1,0.9999,1.1396,1.1633,1.2382,1.0854,0.6291,0.2646,0.1649,0.1308,0.0997,0
IPI00394838.3,0.9999,1.0081,1.0443,0.9685,0.4797,0.1211,0.0656,0.052,0.0478,0.0415,0
IPI00604590.3,0.9999,1.0223,0.9724,1.0818,0.9831,0.8569,0.9527,0.7227,0.3384,0.1278,0
IPI00789370.1,0.9999,0.9524,1.0322,0.9994,0.8888,0.7931,0.3777,0.1931,0.1017,0.0736,0
IPI00382470.3,0.9999,0.9007,0.982,0.9791,0.6945,0.4109,0.2565,0.2044,0.1824,0.1274,0
IPI00465028.7,0.9999,0.9515,0.9665,1.0658,0.943,0.8741,0.7695,0.6294,0.2998,0.1471,0
IPI00747810.2,0.9999,0.9483,0.9888,1.0113,0.9121,0.7768,0.4112,0.2003,0.1061,0.0697,0
IPI00184330.5,0.9999,1.0282,1.0777,0.9346,0.4132,0.1849,0.1037,0.0848,0.0694,0.0594,0
IPI00396435.3,0.9999,0.9427,1.0082,1.0006,0.9191,0.7168,0.3214,0.1211,0.0785,0.0613,0
IPI00647915.1,0.9999,0.914,0.9958,0.9955,0.897,0.7847,0.4013,0.2881,0.235,0.172,0
IPI00910701.1,0.9999,0.9356,0.9507,0.6843,0.3427,0.1752,0.1008,0.0749,0.0596,0.0494,0
IPI00001639.2,0.9999,0.9903,0.9537,0.8641,0.6341,0.3871,0.194,0.1392,0.1113,0.0877,0
IPI00013452.9,0.9999,0.873,0.5133,0.3073,0.2188,0.104,0.0764,0.0561,0.0427,0.0372,0
IPI00900293.1,0.9999,1.0193,0.8929,0.943,0.8587,0.6315,0.2925,0.2598,0.1802,0.116,0
IPI00001159.10,0.9999,0.5388,0.2305,0.1165,0.0829,0.0387,0.0243,0.0225,0.02,0.0184,0
IPI00002966.2,0.9999,0.9359,1.0014,0.9572,0.469,0.2156,0.1238,0.0948,0.0799,0.0672,0
IPI00007074.5,0.9999,0.9056,0.6843,0.442,0.2829,0.1398,0.0938,0.0759,0.0663,0.0537,0
IPI00009342.1,0.9999,0.995,0.9937,0.8642,0.4878,0.1617,0.0823,0.0658,0.0576,0.0451,0
IPI00003865.1,0.9999,0.9479,0.9684,0.97,0.8202,0.4248,0.168,0.1309,0.1138,0.0875,0
IPI00216008.4,0.9999,0.9942,0.9336,0.6308,0.2688,0.1153,0.0692,0.057,0.048,0.0387,0
IPI00010796.1,0.9999,0.934,0.9923,1.0889,0.9302,0.9494,0.7862,0.7714,0.6768,0.5863,0
IPI00100160.3,0.9999,0.9763,1.0148,1.0768,0.9144,0.8651,0.6849,0.246,0.1137,0.0739,0
IPI00293464.5,0.9999,0.9731,1.0346,1.0966,0.9343,0.9179,0.7824,0.458,0.2187,0.1276,0
IPI00179298.5,0.9999,0.9852,0.9179,0.889,0.7731,0.5091,0.3035,0.2627,0.2088,0.1446,0
IPI00010720.1,0.9999,1.1492,1.2363,1.3108,1.0712,0.5959,0.2688,0.1741,0.1357,0.1027,0
IPI00027626.3,0.9999,1.1374,1.1727,1.2306,1.0297,0.6018,0.2497,0.1444,0.1088,0.0847,0
IPI00216746.1,0.9999,1.0396,1.0153,0.9255,0.637,0.3757,0.2022,0.162,0.1291,0.1022,0
IPI00218918.5,0.9999,0.9164,0.961,0.959,0.252,0.0952,0.0572,0.0475,0.0419,0.0367,0
IPI00304925.5,0.9999,0.9207,0.9849,0.9613,0.6715,0.289,0.1077,0.0863,0.0728,0.0545,0
IPI00472442.4,0.9999,1.089,1.1617,1.1958,1.1057,0.9515,0.8884,0.9449,0.9729,0.8152,0
IPI00220362.5,0.9999,0.8605,0.9303,1.0627,0.9185,0.9311,0.683,0.6679,0.5207,0.4584,0
IPI00301263.2,0.9999,1.1275,1.0181,0.769,0.4913,0.1828,0.106,0.0867,0.0695,0.0556,0
IPI00479186.6,0.9999,0.9129,0.6455,0.4496,0.2852,0.1897,0.0671,0.0453,0.0376,0.0337,0
IPI00383581.4,0.9999,0.9664,0.8572,0.514,0.2652,0.1214,0.0791,0.0646,0.0578,0.0496,0
IPI00553185.2,0.9999,1.1341,1.1314,1.1821,1.0226,0.6016,0.2444,0.144,0.1111,0.0848,0
IPI00217223.1,0.9999,0.9955,1.0313,1.143,1.0212,0.9195,0.8984,0.8584,0.7601,0.4521,0
IPI00298961.3,0.9999,0.9569,0.9947,0.82,0.2807,0.1158,0.0654,0.0534,0.0475,0.0392,0
IPI00005158.1,0.9999,0.9838,0.9813,0.7959,0.6401,0.5196,0.3803,0.2147,0.1171,0.0868,0
IPI00012079.3,0.9999,0.9806,1.0774,1.0952,0.9584,0.9003,0.6174,0.7243,0.5678,0.4784,0
IPI00879359.1,0.9999,0.9579,0.9971,1.1018,0.9539,0.9116,0.7293,0.4072,0.1883,0.1339,0
IPI00011603.2,0.9999,1.1636,1.2017,1.2176,0.9048,0.3812,0.2043,0.161,0.1395,0.1101,0
IPI00220301.5,0.9999,0.9814,0.9703,1.0061,0.8619,0.6109,0.3068,0.1354,0.079,0.0575,0
IPI00298547.3,0.9999,0.9648,0.9662,1.0873,0.9292,0.8165,0.7136,0.5635,0.3973,0.2909,0
IPI00299608.3,0.9999,1.1356,1.1891,1.0732,0.7975,0.4365,0.3389,0.2534,0.2037,0.1581,0
IPI00855940.1,0.9999,1.0174,1.0614,1.0471,0.8553,0.3469,0.107,0.0873,0.0793,0.064,0
IPI00012268.3,0.9999,1.1504,1.2323,1.1676,0.8659,0.4245,0.2611,0.2132,0.1888,0.1468,0
IPI00027230.3,0.9999,0.9307,1.0032,1.0414,0.8234,0.5191,0.3237,0.2598,0.2171,0.1784,0
IPI00031461.2,0.9999,0.9586,1.026,1.0377,0.8859,0.6462,0.1434,0.0859,0.0749,0.0605,0
IPI00220834.8,0.9999,0.9352,0.677,0.4058,0.2698,0.118,0.078,0.0637,0.0578,0.0486,0
IPI00793443.1,0.9999,0.9581,1.0065,0.9836,0.8086,0.5541,0.1567,0.1074,0.0882,0.0671,0
IPI00010896.3,0.9999,0.9808,0.9686,1.0741,0.8975,0.5628,0.1623,0.1297,0.1019,0.0747,0
IPI00292771.4,0.9999,0.8882,0.9053,0.7766,0.6948,0.5016,0.2959,0.223,0.199,0.14,0
IPI00643920.3,0.9999,0.9567,0.9837,1.0294,0.9627,0.9039,0.8233,0.8332,0.8463,0.5957,0
IPI00008274.7,0.9999,1.0048,1.0386,1.122,0.9398,0.4002,0.1461,0.1112,0.0925,0.0738,0
IPI00018350.3,0.9999,1.0072,0.9492,0.7331,0.4931,0.2245,0.102,0.0765,0.0689,0.056,0
IPI00018465.1,0.9999,1.0989,1.1107,1.1606,1.0012,0.5965,0.2346,0.1335,0.0975,0.0771,0
IPI00022744.5,0.9999,0.8995,0.9783,0.9622,0.4524,0.1292,0.0727,0.0636,0.0486,0.0409,0
IPI00438229.2,0.9999,0.9233,0.9221,0.8008,0.5797,0.4068,0.2671,0.207,0.1689,0.1245,0
IPI00031517.1,0.9999,1.0294,1.0783,0.9029,0.4794,0.2293,0.1425,0.1092,0.0971,0.0739,0
IPI00009032.1,0.9999,1.0274,1.053,1.1749,0.9941,0.8461,0.455,0.1921,0.0984,0.0758,0
IPI00010706.1,0.9999,0.938,0.966,0.9927,0.9038,0.8379,0.6345,0.4472,0.1511,0.075,0
IPI00807557.1,0.9999,1.0061,0.7479,0.4853,0.3461,0.18,0.146,0.1212,0.1068,0.0842,0
IPI00003362.2,0.9999,0.9476,0.971,1.0336,0.8958,0.6987,0.4445,0.344,0.2445,0.1605,0
IPI00027107.5,0.9999,0.9273,0.5947,0.2794,0.1785,0.0799,0.0566,0.0453,0.0392,0.0346,0
IPI00604620.3,0.9999,1.0118,1.2397,1.3602,1.2449,1.2433,1.0742,0.9711,0.8402,0.819,0
IPI00783271.1,0.9999,0.9873,0.8071,0.4081,0.2111,0.1004,0.055,0.0437,0.037,0.0321,0
IPI00645078.1,0.9999,0.9721,0.8847,0.4074,0.2244,0.103,0.0624,0.0497,0.0445,0.0369,0
IPI00552639.2,0.9999,0.9626,0.7692,0.5069,0.3564,0.197,0.1266,0.1022,0.0855,0.064,0
IPI00644127.1,0.9999,0.9425,0.5436,0.3069,0.1919,0.0721,0.0417,0.0348,0.0325,0.0298,0
IPI00029012.1,0.9999,1.1039,0.8781,0.3359,0.2155,0.107,0.067,0.0582,0.0453,0.0408,0
IPI00640703.3,0.9999,0.9551,0.9074,0.6245,0.3076,0.1445,0.0807,0.0623,0.0539,0.0406,0
IPI00852685.1,0.9999,0.9483,0.9939,0.7474,0.4995,0.2974,0.1838,0.1443,0.1204,0.088,0
IPI00011200.5,0.9999,0.9457,0.9491,0.8396,0.6456,0.4616,0.1513,0.0838,0.0717,0.0555,0
IPI00021405.3,0.9999,0.9508,0.9981,0.9916,0.9286,0.7851,0.5066,0.305,0.2475,0.1862,0
IPI00157790.7,0.9999,1.0547,1.0408,0.6554,0.2392,0.1065,0.0626,0.055,0.0482,0.04,0
IPI00002255.4,0.9999,1.0129,0.9186,0.8693,0.596,0.2505,0.1358,0.1131,0.0918,0.07,0
IPI00013214.2,0.9999,0.9712,0.9569,0.7973,0.5932,0.3421,0.1727,0.1279,0.1061,0.0848,0
IPI00015911.1,0.9999,0.9298,0.9754,0.9997,0.9175,0.9192,0.772,0.7929,0.8073,0.6575,0
IPI00032140.4,0.9999,1.0212,0.9881,0.9926,0.8104,0.4249,0.1522,0.1208,0.1061,0.0857,0
IPI00140420.4,0.9999,0.8874,0.4275,0.2104,0.1331,0.0661,0.0426,0.0372,0.0326,0.0297,0
IPI00025273.1,0.9999,0.9607,0.8024,0.547,0.2995,0.1289,0.0815,0.0619,0.051,0.0431,0
IPI00219445.1,0.9999,0.9308,1.0054,0.9768,0.8742,0.8036,0.6495,0.6218,0.6458,0.4984,0
IPI00744503.1,0.9999,1.0145,0.9471,0.9593,0.897,0.735,0.6049,0.5158,0.3535,0.2173,0
IPI00908949.1,0.9999,0.9611,0.9633,0.8224,0.5557,0.2669,0.1671,0.1308,0.1098,0.0768,0
IPI00217952.6,0.9999,1.014,0.8027,0.4395,0.2309,0.1038,0.0629,0.0536,0.0459,0.0387,0
IPI00221325.3,0.9999,0.999,0.8248,0.6319,0.4732,0.2764,0.2,0.1654,0.1342,0.0944,0
IPI00386803.4,0.9999,0.9513,1.0321,1.0954,0.9283,0.8985,0.7889,0.8923,0.7362,0.6535,0
IPI00873829.1,0.9999,0.9815,0.95,0.9592,0.8609,0.7721,0.7356,0.6955,0.6056,0.3317,0
IPI00893918.1,0.9999,0.943,0.5474,0.2933,0.1868,0.0835,0.0511,0.0435,0.0367,0.032,0
IPI00007402.3,0.9999,0.9726,1.0206,1.0502,0.7927,0.4683,0.2036,0.1048,0.0855,0.0593,0
IPI00021187.4,0.9999,1.0437,1.0817,1.1256,1.0197,0.8454,0.6379,0.1785,0.1316,0.0964,0
IPI00105598.3,0.9999,1.1855,1.212,1.1893,0.8572,0.3584,0.202,0.1467,0.1193,0.0946,0
IPI00295851.4,0.9999,0.9883,0.9446,0.7975,0.5503,0.2646,0.1531,0.1115,0.0903,0.069,0
IPI00550746.4,0.9999,1.0348,1.0039,1.0446,0.8225,0.4218,0.2543,0.2054,0.1745,0.1313,0
IPI00644712.4,0.9999,1.0743,1.0323,0.8152,0.5393,0.2207,0.1057,0.0817,0.0691,0.0577,0
IPI00794900.1,0.9999,0.8067,0.3518,0.1629,0.1026,0.0423,0.0277,0.0245,0.0213,0.0201,0
IPI00000875.7,0.9999,1.0112,0.9325,0.7777,0.3785,0.1546,0.0908,0.0706,0.058,0.0465,0
IPI00171903.2,0.9999,1.015,0.9592,0.734,0.5649,0.3243,0.2299,0.1964,0.1682,0.1279,0
IPI00235412.6,0.9999,0.9682,0.9366,0.7568,0.3452,0.1329,0.0768,0.0606,0.0574,0.0422,0
IPI00299904.3,0.9999,1.0067,0.8894,0.4921,0.2187,0.0853,0.0556,0.0478,0.0413,0.035,0
IPI00007682.2,0.9999,1.0183,0.9261,0.7925,0.6137,0.4384,0.3768,0.298,0.1659,0.0823,0
IPI00017672.4,0.9999,1.0188,0.965,0.9843,0.9287,0.8114,0.8739,0.8839,0.8427,0.4969,0
IPI00243221.2,0.9999,0.9841,0.9959,0.9725,0.6637,0.3734,0.1744,0.1213,0.0938,0.0668,0
IPI00549205.1,0.9999,0.8644,0.673,0.4713,0.4686,0.3251,0.2473,0.1848,0.155,0.1007,0
IPI00816452.1,0.9999,0.9473,0.8863,0.3525,0.1236,0.0575,0.0354,0.033,0.0283,0.0246,0
IPI00020599.1,0.9999,1.0095,0.8799,0.7716,0.5645,0.3591,0.3015,0.2706,0.2245,0.1972,0
IPI00300371.5,0.9999,1.0277,1.0801,1.1266,1.0953,0.8734,0.4761,0.3078,0.2392,0.1542,0
IPI00465315.6,0.9999,1.0166,1.012,1.1177,1.0059,1.0023,0.9301,1.0898,1.0793,1.1759,0
IPI00554777.2,0.9999,1.0134,0.8661,0.6246,0.2783,0.0896,0.0538,0.045,0.0388,0.0341,0
IPI00828021.2,0.9999,0.8792,0.9725,0.8584,0.4308,0.1918,0.1081,0.0843,0.0752,0.061,0
IPI00009904.1,0.9999,0.9837,0.9846,0.9488,0.7272,0.4603,0.2728,0.2245,0.1806,0.1265,0
IPI00221226.7,0.9999,0.9558,0.9657,0.8449,0.486,0.1992,0.1136,0.0907,0.0763,0.0587,0
IPI00333215.1,0.9999,0.9466,1.0091,1.0011,0.8569,0.7584,0.4977,0.4273,0.3735,0.2914,0
IPI00033022.2,0.9999,0.9373,0.8789,0.5201,0.2266,0.1069,0.0613,0.0509,0.0429,0.0368,0
IPI00815713.1,0.9999,1.0032,1.03,0.9446,0.8231,0.7839,0.5742,0.5786,0.5269,0.4043,0
IPI00023234.3,0.9999,0.9839,0.9685,1.007,0.8788,0.6828,0.3896,0.2215,0.1688,0.1214,0
IPI00012011.6,0.9999,0.9781,0.963,1.0819,0.9488,0.8563,0.7072,0.5903,0.4365,0.3519,0
IPI00033130.3,0.9999,0.9977,1.0171,1.059,0.91,0.7354,0.4093,0.2207,0.1605,0.1157,0
IPI00101968.3,0.9999,0.9401,0.9707,0.9419,0.8102,0.7161,0.6233,0.5892,0.6121,0.496,0
IPI00641743.2,0.9999,0.9647,0.9219,0.8428,0.6707,0.4531,0.2467,0.1779,0.1397,0.1087,0
IPI00744692.1,0.9999,0.9179,0.9969,0.7967,0.5176,0.3876,0.2798,0.2636,0.2262,0.1667,0
IPI00759776.1,0.9999,0.9322,0.9763,1,0.9062,0.8348,0.7837,0.3267,0.1278,0.0993,0
IPI00008524.1,0.9999,0.9691,1.0413,0.9995,0.6506,0.1499,0.0641,0.0565,0.052,0.0502,0
IPI00019450.2,0.9999,0.9645,1.0002,1.0238,0.9448,0.8828,0.8144,0.801,0.6029,0.241,0
IPI00217473.5,0.9999,0.968,0.9581,0.9508,0.8493,0.6574,0.5883,0.4787,0.3562,0.1884,0
IPI00413451.1,0.9999,0.9731,0.9825,1.023,0.9484,0.8384,0.5679,0.2197,0.1199,0.091,0
IPI00418169.3,0.9999,0.9663,0.997,1.0276,0.8351,0.4013,0.0865,0.0719,0.0608,0.0512,0
IPI00645431.2,0.9999,0.9627,0.9864,0.9019,0.7861,0.6263,0.4238,0.3558,0.2907,0.2085,0
IPI00746806.1,0.9999,0.9619,0.9935,1.0134,0.9315,0.8797,0.7965,0.8028,0.803,0.6474,0
IPI00747533.2,0.9999,0.9746,1.0298,1.1024,0.8487,0.3692,0.1399,0.0944,0.0764,0.0587,0
IPI00797574.3,0.9999,0.9679,0.9009,0.9,0.8968,0.8862,0.7555,0.8207,0.7369,0.5345,0
IPI00878611.1,0.9999,0.9459,1.0172,1.0811,0.9015,0.8811,0.7566,0.7052,0.6074,0.4793,0
IPI00018931.6,0.9999,1.0415,0.9826,0.9334,0.6201,0.2282,0.136,0.1109,0.0967,0.0727,0
IPI00030275.5,0.9999,0.9699,0.9834,0.9708,0.8053,0.4524,0.1217,0.0944,0.0792,0.0625,0
IPI00220642.7,0.9999,0.9756,0.9759,1.035,0.9278,0.8153,0.6398,0.4192,0.2639,0.1665,0
IPI00479997.4,0.9999,0.8774,0.9493,1.04,0.9245,0.9259,0.6363,0.612,0.4104,0.3544,0
IPI00549189.4,0.9999,0.9587,0.975,0.9936,0.9157,0.8266,0.6625,0.4684,0.1602,0.0797,0
IPI00026904.2,0.9999,0.9536,1.014,1.0134,1.0059,0.9593,0.7039,0.1029,0.0791,0.06,0
IPI00216298.6,0.9999,0.9016,0.9616,0.9854,0.9284,0.9023,0.6846,0.6875,0.572,0.5124,0
IPI00303207.3,0.9999,0.9938,0.9998,0.9876,0.7897,0.4811,0.1111,0.0655,0.0543,0.0423,0
IPI00303882.2,0.9999,0.9999,0.9702,0.9697,0.8905,0.8405,0.754,0.7242,0.6398,0.4783,0
IPI00514587.1,0.9999,0.9481,0.946,0.8255,0.5347,0.2243,0.1033,0.0794,0.0692,0.0521,0
IPI00644079.2,0.9999,1.0141,0.8125,0.5515,0.3828,0.1693,0.1127,0.08,0.069,0.0619,0
IPI00884896.1,0.9999,0.9489,0.9938,1.018,0.9324,0.9133,0.7895,0.8004,0.805,0.6274,0
IPI00902614.2,0.9999,1.0726,0.9036,0.6646,0.3933,0.1871,0.0969,0.0853,0.0719,0.0556,0
IPI00291005.8,0.9999,1.022,1.0265,1.1242,1.0068,0.9333,0.7415,0.2268,0.0847,0.0655,0
IPI00386189.2,0.9999,0.9286,0.9842,0.9505,0.575,0.1603,0.0828,0.0641,0.0556,0.0458,0
IPI00479306.1,0.9999,1.1091,1.1282,1.1844,1.1644,0.9748,0.8973,0.935,0.9544,0.8182,0
IPI00479786.5,0.9999,0.9353,0.9549,0.9269,0.8598,0.751,0.619,0.5592,0.5432,0.4294,0
IPI00550364.8,0.9999,0.9713,0.9829,1.0151,0.9118,0.7929,0.6089,0.5185,0.5081,0.4078,0
IPI00024971.1,0.9999,0.9525,0.9729,0.9783,0.8805,0.6964,0.4356,0.2032,0.1129,0.0836,0
IPI00215901.1,0.9999,0.9394,0.9892,1.0373,0.9512,0.9275,0.7307,0.4996,0.1465,0.0942,0
IPI00219757.13,0.9999,1.0224,0.9451,0.8767,0.4177,0.1363,0.0851,0.0707,0.0604,0.0521,0
IPI00292134.6,0.9999,1.047,1.0943,1.0503,0.8955,0.8561,0.7018,0.5542,0.3779,0.2154,0
IPI00299635.6,0.9999,1.2282,1.0807,1.0647,0.8279,0.3442,0.1833,0.1486,0.1157,0.0899,0
IPI00329801.12,0.9999,0.9444,0.9819,0.9356,0.3957,0.1805,0.112,0.0911,0.0775,0.0597,0
IPI00420014.2,0.9999,1.1652,1.1095,0.7572,0.4019,0.1584,0.0955,0.0819,0.0701,0.0587,0
IPI00013788.1,0.9999,0.9883,1.0564,1.0014,0.7664,0.5995,0.3914,0.297,0.2718,0.1908,0
IPI00032561.1,0.9999,0.9798,0.9992,1.0864,0.9901,0.9187,0.8209,0.4395,0.1038,0.0778,0
IPI00103994.4,0.9999,0.9468,0.5154,0.2574,0.1585,0.061,0.0396,0.0349,0.032,0.0319,0
IPI00185374.4,0.9999,1.1407,1.2504,1.2488,0.8647,0.3839,0.1969,0.1457,0.1143,0.087,0
IPI00219649.4,0.9999,0.9328,0.9842,0.9185,0.6526,0.3605,0.2053,0.1609,0.1401,0.1041,0
IPI00872684.1,0.9999,0.8878,0.9659,1.0177,0.9086,0.5779,0.0808,0.0686,0.0562,0.0447,0
IPI00887678.1,0.9999,0.9254,0.9402,1.0733,0.801,0.3581,0.1395,0.1101,0.0917,0.0741,0
IPI00007928.4,0.9999,1.2742,1.1703,0.8058,0.393,0.1477,0.0814,0.0714,0.064,0.0561,0
IPI00011654.2,0.9999,0.8589,0.6789,0.5555,0.4038,0.1847,0.0786,0.0729,0.0552,0.0431,0
IPI00012837.1,0.9999,0.9851,1.0037,0.8405,0.369,0.1692,0.0878,0.0683,0.0574,0.0455,0
IPI00018813.5,0.9999,1.1103,1.0814,1.1124,0.9797,0.6789,0.3709,0.2375,0.1504,0.1137,0
IPI00026216.4,0.9999,0.9318,0.9692,0.9777,0.8252,0.6256,0.218,0.1086,0.0846,0.0654,0
IPI00031410.1,0.9999,1.0044,0.7799,0.4556,0.2048,0.1038,0.0603,0.0527,0.0478,0.043,0
IPI00034049.1,0.9999,0.9916,0.9715,0.8857,0.7072,0.5297,0.3231,0.2314,0.1591,0.0744,0
IPI00216951.2,0.9999,0.9704,0.7666,0.5872,0.4547,0.2403,0.1004,0.0857,0.0801,0.0701,0
IPI00329536.1,0.9999,0.9369,0.9806,0.9285,0.8746,0.8674,0.846,0.8192,0.8317,0.5975,0
IPI00852741.1,0.9999,0.9822,1.0424,1.0096,0.737,0.3793,0.1658,0.1206,0.0935,0.0694,0
IPI00000874.1,0.9999,0.9423,1.0023,1.0151,0.8554,0.7116,0.5133,0.4335,0.4645,0.3163,0
IPI00001734.3,0.9999,1.0117,1.0371,1.0718,0.9599,0.8882,0.7172,0.5206,0.2327,0.0781,0
IPI00019755.3,0.9999,0.997,0.9828,1.0767,0.9672,0.8504,0.824,0.6922,0.5253,0.3197,0
IPI00083708.3,0.9999,1.0029,1.0273,0.9722,0.8547,0.7998,0.6465,0.6448,0.6021,0.458,0
IPI00219005.3,0.9999,0.9935,1.0159,0.9796,0.5982,0.2826,0.1754,0.1378,0.1191,0.0906,0
IPI00306960.3,0.9999,0.9909,1.0091,0.8405,0.3838,0.1322,0.0709,0.0591,0.0525,0.0426,0
IPI00307092.2,0.9999,1.1136,1.0267,0.7572,0.4937,0.2326,0.137,0.1092,0.0916,0.0772,0
IPI00396485.3,0.9999,0.9251,0.7701,0.6678,0.3861,0.2087,0.123,0.1021,0.0816,0.0656,0
IPI00465044.2,0.9999,0.9755,0.9864,0.8918,0.5418,0.1666,0.078,0.0653,0.0559,0.047,0
IPI00872359.1,0.9999,1.0307,0.8824,0.6552,0.5371,0.3168,0.2432,0.1939,0.1661,0.1212,0
IPI00005969.3,0.9999,1.0089,0.9852,1.0557,0.9521,0.8407,0.6909,0.487,0.204,0.1079,0
IPI00013122.1,0.9999,0.9992,1.0034,1.0433,0.9417,0.8618,0.7172,0.5409,0.2983,0.1698,0
IPI00026089.3,0.9999,1.1111,1.1741,0.8811,0.4461,0.1312,0.0788,0.0716,0.0601,0.0522,0
