Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
A2M,0.9999,1.2099,1.383,1.0413,0.8846,0.7844,0.9508,0.7922,0.5887,0.0
ABCC1,0.9999,1.1636,1.1409,0.9945,0.8215,0.3998,0.0941,0.075,0.0667,0.0
ABCC4,0.9999,1.1439,1.1608,1.1626,0.9565,0.9716,0.807,0.1801,0.0788,0.0
ACLY,0.9999,1.3224,1.1868,0.706,0.2273,0.1165,0.0937,0.1157,0.0885,0.0
ACPP,0.9999,1.1693,1.2154,1.2566,0.8799,0.7878,0.6407,0.751,0.5666,0.0
ACSL1,0.9999,1.2053,1.123,0.6697,0.2104,0.0997,0.0982,0.0209,0.0148,0.0
ACTN1,0.9999,1.2308,1.401,1.0861,0.9425,0.6926,0.293,0.1732,0.1492,0.0
ADA,0.9999,1.4987,1.7493,1.0402,1.0724,0.7809,0.6619,0.7238,0.2988,0.0
ADAM10,0.9999,1.0852,1.0272,0.8957,0.8205,0.6489,0.5374,0.3124,0.1907,0.0
ADAM15,0.9999,1.1393,1.3286,0.5887,0.6436,0.4802,0.1984,0.1966,0.2702,0.0
ADAM17,0.9999,0.9894,0.9581,0.8308,0.6652,0.3989,0.3552,0.2216,0.1787,0.0
ADAM22,0.9999,1.0248,0.986,0.7692,0.7551,0.5864,0.5026,0.3069,0.1646,0.0
ADAM9,0.9999,1.0937,1.1809,1.114,1.1128,1.0335,1.1282,0.8704,0.6367,0.0
ADCY3,0.9999,1.0516,0.9978,0.5531,0.153,0.0461,0.0384,0.2506,0.2524,0.0
ADCY7,0.9999,1.3195,0.9998,0.5007,0.0828,0.0914,0.0598,0.0886,0.0581,0.0
ADCY9,0.9999,1.1395,1.133,0.8451,0.5207,0.214,0.1544,0.1617,0.127,0.0
ADPGK,0.9999,1.1755,1.1519,0.9615,0.7317,0.4795,0.3312,0.3727,0.1764,0.0
AFP,0.9999,1.1785,1.1903,1.0256,0.9275,0.7901,1.2223,1.6146,1.4017,0.0
AGPAT3,0.9999,1.046,0.9965,0.6363,0.3656,0.1837,0.2094,0.1031,0.0922,0.0
AGTRAP,0.9999,0.8817,0.8604,0.7352,0.6136,0.5071,0.6095,1.0188,1.334,0.0
AHNAK,0.9999,1.215,1.2788,0.8203,0.6945,0.6949,0.635,0.9467,0.4321,0.0
AHSG,0.9998,1.5701,1.5906,1.6698,1.6625,1.3624,2.3006,2.6252,2.5801,0.0
ALCAM,0.9999,1.0011,0.9592,0.9215,0.9541,0.7959,0.9071,0.6898,0.5433,0.0
ALDH16A1,0.9999,1.2438,1.189,1.0089,0.9699,0.8642,0.7148,0.1793,0.0833,0.0
ANKH,0.9999,1.0946,1.2257,1.0536,0.9951,0.8886,0.8543,1.1652,1.4573,0.0
ANO6,0.9999,1.1593,1.1344,0.9859,0.9069,0.8678,0.1401,0.041,0.0387,0.0
ANPEP,0.9999,0.9925,0.975,0.9115,0.8726,0.7697,0.8253,0.7531,0.6942,0.0
ANTXR2,0.9999,1.077,1.085,0.9699,0.9157,0.7783,0.8467,0.6103,0.3751,0.0
ANXA2,0.9999,1.132,1.0844,0.7587,0.5243,0.2593,0.2363,0.2102,0.1546,0.0
ANXA4,0.9999,1.1371,1.0112,0.5362,0.399,0.2376,0.4055,0.3964,0.0313,0.0
ANXA5,0.9999,0.9742,0.9498,0.6064,0.4805,0.2742,0.2674,0.138,0.1221,0.0
AOAH,0.9999,1.2914,1.172,1.1208,0.8718,0.7382,0.8244,0.7677,1.2825,0.0
AP2A1,0.9999,1.2719,1.0092,0.7906,0.4148,0.3181,0.1956,0.1576,0.079,0.0
AP2B1,0.9999,1.3675,1.1602,1.0199,0.6374,0.3614,0.3899,0.0918,0.0872,0.0
APLP2,0.9999,0.8556,0.5857,0.7584,0.5803,0.4854,0.4328,0.2874,0.3592,0.0
APOA1BP,0.9999,1.3362,1.5762,1.7886,1.676,1.2232,1.9632,1.206,0.9057,0.0
APOC3,0.9999,1.1971,1.4687,1.4818,1.4903,1.3235,1.4876,1.3817,1.3462,0.0
APOE,0.9999,1.213,1.0585,1.0688,0.9516,0.9359,1.0632,0.9222,0.6991,0.0
APOH,0.9999,1.1652,1.1577,1.0984,1.0578,0.8536,0.8223,0.6035,0.4744,0.0
APP,0.9999,1.1389,1.0732,0.6512,0.4549,0.3395,0.3617,0.5369,0.6809,0.0
ARF6,0.9999,1.1792,1.1818,1.2494,1.0132,0.5621,0.3008,0.1652,0.1391,0.0
ARMET,0.9999,1.0393,1.1671,1.0284,1.0223,0.9005,1.0776,1.162,0.8119,0.0
ARPC2,0.9999,1.9391,1.6568,1.0098,0.6788,0.7296,0.8128,1.1527,0.0557,0.0
ART3,0.9999,1.0825,1.103,0.8423,0.8306,0.7101,0.7754,0.6105,0.5802,0.0
ATP11A,0.9999,1.0591,1.0244,0.9347,0.8561,0.6913,0.2639,0.1157,0.0977,0.0
ATP11B,0.9999,0.8736,1.0968,1.3117,1.1735,0.9786,0.692,0.194,0.1895,0.0
ATP11C,0.9999,1.2838,1.413,1.2076,1.1041,0.668,0.2494,0.1528,0.1069,0.0
ATP13A1,0.9999,1.1543,1.1365,0.6466,0.3952,0.1303,0.0794,0.1465,0.1029,0.0
ATP13A3,0.9999,1.0696,1.1614,0.8986,0.5433,0.2373,0.0942,0.2186,0.0824,0.0
ATP1A1,0.9999,1.1298,1.1507,1.0239,0.9789,0.9877,1.1193,0.2597,0.1408,0.0
ATP1B1,0.9999,1.0222,0.9818,0.9054,0.9107,0.7849,0.558,0.1404,0.1487,0.0
ATP1B3,0.9999,1.0636,1.0051,1.016,0.975,0.8633,0.6153,0.1526,0.1252,0.0
ATP2A2,0.9999,1.1751,1.1019,0.7253,0.1992,0.0827,0.086,0.1628,0.1649,0.0
ATP2B4,0.9999,1.2362,1.2816,1.1797,0.9026,1.0198,0.6039,0.3079,0.1674,0.0
ATP5A1,0.9999,1.2755,1.3525,1.3154,1.1582,1.2298,1.3076,1.2508,0.3839,0.0
ATP5B,0.9999,1.0932,1.1656,1.0169,0.8969,0.7558,0.6697,0.7789,0.3882,0.0
ATP5O,0.9999,1.2687,1.1947,1.161,1.0797,1.2556,1.4992,1.6929,0.3109,0.0
ATP6AP1,0.9999,1.1608,1.1257,0.9608,0.7342,0.5143,0.4307,0.5265,0.8537,0.0
ATP6V0A2,0.9999,1.2655,1.2404,1.1201,0.9597,0.85,0.9257,0.978,0.4341,0.0
ATP6V0D1,0.9999,1.1375,1.1967,1.3119,1.2529,1.1528,1.1605,1.1268,0.526,0.0
ATP6V1A,0.9999,1.4145,1.5861,1.2656,0.8911,0.6847,0.4427,0.2743,0.0917,0.0
ATP6V1B2,0.9999,1.2396,1.3362,0.9384,0.6289,0.5039,0.3801,0.3692,0.3208,0.0
ATP6V1C1,0.9999,1.5598,1.7851,1.3544,0.8394,0.4591,0.2871,0.2782,0.4909,0.0
ATP6V1G1,0.9999,1.1265,1.2556,1.0411,1.0484,0.7451,0.5514,0.4529,0.4086,0.0
ATP7A,0.9999,1.1575,1.0787,0.6124,0.3092,0.2256,0.1943,0.1712,0.1162,0.0
ATPIF1,0.9999,0.9103,0.9699,0.8278,0.775,0.6941,0.7403,1.0019,0.7307,0.0
ATRN,0.9999,1.0033,0.9474,0.8093,0.686,0.5494,0.5183,0.4517,0.3452,0.0
B2M,0.9999,1.1182,1.2367,1.0932,0.9288,1.0342,1.2734,1.8801,2.65,0.0
B4GALT1,0.9999,1.0778,1.1378,0.6578,0.2441,0.1995,0.0745,0.0329,0.0027,0.0
BASP1,0.9999,1.0959,1.2493,0.7229,0.7309,0.7257,0.9554,2.299,6.0736,0.0
BCAP31,0.9999,1.0731,1.1456,0.965,1.0614,0.9074,1.0393,1.4062,2.7259,0.0
BSG,0.9999,1.0125,1.078,1.0485,1.1164,1.007,1.1509,0.8943,0.7054,0.0
BST1,0.9999,1.0532,1.0652,0.9814,0.9591,0.8708,0.9231,0.8457,0.8414,0.0
BST2,0.9999,0.9447,0.9898,1.0092,0.9173,0.816,0.7576,0.7398,0.7209,0.0
BTN2A1,0.9999,1.0377,0.9666,0.8369,0.71,0.2535,0.1525,0.1135,0.1234,0.0
C11ORF59,0.9999,1.2714,1.3672,1.3276,1.0425,1.0564,0.8964,0.9891,0.5708,0.0
C1QBP,0.9999,0.8477,0.6658,0.4505,0.1658,0.1164,0.0057,0.0295,0.0031,0.0
C20ORF103,0.9999,1.0246,1.0091,1.0133,0.9215,0.682,0.5581,0.3309,0.2437,0.0
C20ORF3,0.9999,1.1103,1.0717,1.0028,0.8601,0.6827,0.5255,0.2049,0.0439,0.0
C4B,0.9999,1.0345,0.9204,0.7972,0.7139,0.5816,0.4722,0.2784,0.2429,0.0
C8ORF55,0.9999,1.193,1.1359,0.9069,0.6892,0.5925,0.4889,0.6831,0.5851,0.0
CAD,0.9999,1.2621,1.0478,0.5087,0.0667,0.0393,0.0401,0.0517,0.039,0.0
CADM4,0.9999,0.8518,0.8578,0.8177,0.9037,0.7123,0.7499,0.4274,0.3506,0.0
CALR,0.9999,1.2697,1.316,1.1704,0.8494,0.7057,0.5934,0.5041,0.2745,0.0
CAMK2G,0.9999,1.1322,0.8231,0.1949,0.1277,0.0324,0.0312,0.0565,0.036,0.0
CAP1,0.9999,1.1019,1.0801,0.7154,0.5316,0.2239,0.1636,0.1749,0.126,0.0
CAPN1,0.9999,1.2149,1.1075,0.9974,0.9272,0.9064,1.0495,0.434,0.1055,0.0
CAPN2,0.9999,1.2511,1.2725,1.0159,0.7786,0.4873,0.2309,0.1722,0.1283,0.0
CAT,0.9999,1.0798,1.0424,0.9938,0.9641,0.9076,0.7945,0.799,0.531,0.0
CCL5,0.9999,1.0572,1.1209,0.8423,0.7328,0.5898,0.6153,0.7645,0.926,0.0
CCT3,0.9999,1.2685,1.3767,1.0193,0.7935,0.5256,0.1701,0.1313,0.135,0.0
CD151,0.9999,1.2488,1.0947,1.0819,1.0273,0.687,0.879,0.7998,0.7091,0.0
CD244,0.9999,0.9763,0.8569,0.801,0.7152,0.6004,0.5792,0.4015,0.3208,0.0
CD302,0.9999,0.9359,0.9485,0.8998,0.7844,0.5456,0.5232,0.387,0.2342,0.0
CD320,0.9999,1.013,0.8553,0.6899,0.8279,0.6114,0.704,0.565,0.7195,0.0
CD36,0.9999,0.9973,1.0041,0.9109,0.8524,0.7522,0.7505,0.6743,0.4439,0.0
CD37,0.9999,0.9285,0.9412,0.6416,0.5697,0.3694,0.3904,0.3378,0.3429,0.0
CD38,0.9999,1.065,1.0066,0.8883,0.8039,0.6623,0.6856,0.5314,0.3649,0.0
CD4,0.9999,1.2063,1.1777,1.0204,0.9286,0.7474,0.8049,0.7326,0.389,0.0
CD44,0.9999,0.9662,0.9418,0.8892,0.8597,0.7992,0.8702,0.7038,0.4694,0.0
CD46,0.9999,1.2976,1.3303,1.2483,1.1223,1.5244,1.6774,1.4021,1.0381,0.0
CD47,0.9999,0.934,0.9445,0.8814,0.9559,0.8483,0.9682,0.8533,0.8927,0.0
CD48,0.9999,0.9916,1.0176,0.9208,0.9102,0.7694,0.811,0.6011,0.4183,0.0
CD53,0.9999,1.0345,1.0898,1.0979,1.1821,0.9398,0.9667,0.7569,0.6672,0.0
CD55,0.9999,1.0256,1.0391,0.9521,1.0279,0.9744,1.3365,1.4358,1.8185,0.0
CD63,0.9999,1.098,1.0346,0.8338,0.7923,0.6679,0.83,1.3053,3.6675,0.0
CD69,0.9999,1.0152,1.0224,0.9805,0.9971,0.8016,0.8645,0.703,0.4617,0.0
CD70,0.9999,0.9988,1.0529,0.8724,0.8743,0.6841,0.6197,0.5545,0.4218,0.0
CD74,0.9999,1.1867,1.0823,1.0174,0.8472,0.6197,0.6172,0.5104,0.5063,0.0
CD82,0.9999,1.0134,1.0183,0.9979,1.2836,1.0038,1.3496,1.2629,1.4124,0.0
CD84,0.9999,1.0296,0.9981,0.9209,0.8307,0.6225,0.4937,0.3134,0.1734,0.0
CD93,0.9999,0.9773,1.0489,0.9113,0.8852,0.6933,0.6508,0.4139,0.2182,0.0
CD97,0.9999,1.0488,1.1287,1.0521,1.0236,0.9449,0.9852,0.7212,0.4584,0.0
CD99,0.9999,1.123,1.2561,1.029,1.0296,0.9568,1.0381,0.7766,0.6495,0.0
