Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
RCC2,0.9999,1.2812,1.2318,0.821,0.3878,0.1293,0.3409,0.1135,0.152,0.0
RCE1,0.9999,1.1899,0.8645,0.76,0.6292,0.4587,0.3841,0.2932,0.268,0.0
RECK,0.9999,1.0923,1.0532,0.9541,0.9731,0.8912,0.8189,0.4709,0.313,0.0
RELL1,0.9999,1.212,1.2523,1.0001,0.8665,1.2109,1.2997,0.857,0.4034,0.0
RER1,0.9999,1.0723,1.1727,1.1131,1.0718,0.7862,0.6756,0.6207,0.8019,0.0
RFTN1,0.9999,1.0268,1.4531,1.2534,0.7044,0.2636,0.2189,0.3869,0.1653,0.0
RHBDF2,0.9999,0.9781,1.0418,0.7875,0.7338,0.5105,0.4314,0.1865,0.127,0.0
RHOA,0.9999,1.184,1.1916,1.1529,1.1826,1.4911,1.6029,3.1913,2.3522,0.0
RHOG,0.9999,1.0815,1.1466,1.078,1.1019,0.9123,1.1514,0.5162,0.2005,0.0
RHOT2,0.9999,1.243,1.2178,0.515,0.4106,0.1144,0.1072,0.1071,0.0725,0.0
RNASET2,0.9999,1.0945,1.1031,0.9401,0.971,0.6932,0.6002,0.4001,0.426,0.0
RNPEP,0.9999,1.4472,1.0309,0.2403,0.1471,0.0917,0.0701,0.0239,0.0217,0.0
RP2,0.9999,1.1511,1.0529,0.8806,0.5228,0.3461,0.3491,0.0973,0.1243,0.0
RPS27A,0.9999,1.1241,0.9187,0.4846,0.4554,0.4804,0.5686,0.8151,1.2079,0.0
RTN4,0.9999,1.0202,1.093,1.0034,0.9347,0.8241,0.8,0.687,0.6475,0.0
RTN4R,0.9999,1.1254,1.0124,0.923,0.7957,0.716,0.7034,0.6035,0.4551,0.0
RTN4RL2,0.9999,1.0375,0.9849,0.8432,0.8161,0.7305,0.6416,0.4877,0.3455,0.0
S100A4,0.9999,1.208,1.2542,1.4262,1.3094,0.8302,0.6063,0.2942,0.2224,0.0
S100A6,0.9999,1.0646,1.0856,1.2336,1.0798,1.0416,0.7387,0.3273,0.1888,0.0
SAAL1,0.9999,1.3525,1.3397,0.7334,0.3788,0.3246,0.2856,0.0,0.0186,0.0
SCAMP3,0.9999,1.3433,1.3226,1.4017,1.3251,1.3344,1.4452,1.3535,1.9604,0.0
SCARB1,0.9999,1.1561,1.0379,0.7955,0.7645,0.6337,0.7058,0.6042,0.6041,0.0
SCPEP1,0.9999,1.246,1.26,1.1918,0.9435,0.7165,0.7784,0.6698,0.4624,0.0
SDK1,0.9999,1.0454,0.9449,0.5626,0.4529,0.3232,0.281,0.2253,0.2029,0.0
SELPLG,0.9999,1.0284,0.9422,0.8704,0.7705,0.6763,0.6547,0.5975,0.5724,0.0
SEMA4A,0.9999,1.116,1.099,0.9342,0.9025,0.6055,0.4874,0.3328,0.2436,0.0
SEMA4C,0.9999,0.8858,0.8755,0.4832,0.4475,0.2802,0.2231,0.2068,0.1525,0.0
SEMA4D,0.9999,1.0277,0.955,0.8276,0.7639,0.6902,0.604,0.426,0.2156,0.0
SEPHS1,0.9998,1.2607,1.2237,1.1966,1.0924,0.9483,1.1569,2.1869,3.8549,0.0
SERBP1,0.9998,1.5979,1.8093,1.9873,2.239,2.6738,1.6038,0.8226,0.3323,0.0
SERINC3,0.9999,1.0841,1.2353,0.9542,0.9115,0.8211,0.8691,0.8725,1.0796,0.0
SERPINB2,0.9999,1.1464,1.1668,0.9545,0.9867,0.8681,0.543,0.1839,0.1213,0.0
SEZ6L2,0.9999,1.429,1.6227,1.3887,1.1909,1.2686,1.0151,2.2956,3.9682,0.0
SIGLEC6,0.9999,1.0412,0.9392,0.6342,0.5839,0.5048,0.47,0.3495,0.2087,0.0
SIGLEC7,0.9999,1.013,0.9514,0.877,0.8158,0.7752,0.762,0.5326,0.3964,0.0
