Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
ERLIN2,0.9999,1.4032,1.1351,0.3846,0.162,0.0882,0.0599,0.092,0.0702,0.0
ERP29,0.9999,1.0006,1.103,1.0022,1.0046,0.7926,0.9179,0.6425,0.3666,0.0
EVI2B,0.9999,0.9352,0.9443,0.6965,0.7142,0.8284,0.6812,0.5258,0.1541,0.0
F5,0.9999,1.0977,1.088,1.1114,0.8206,0.5328,0.2764,0.1225,0.0888,0.0
FAM3A,0.9999,1.0143,0.984,0.675,0.4499,0.247,0.1963,0.2448,0.3205,0.0
FAM3C,0.9999,1.1932,1.2486,1.0594,0.6338,0.3429,0.3498,0.295,0.4199,0.0
FAM49B,0.9999,1.1788,1.4092,0.9429,0.7836,0.3834,0.1682,0.1633,0.1243,0.0
FAM62A,0.9999,1.2849,1.4321,0.6874,0.3087,0.1198,0.0658,0.1035,0.0873,0.0
FAM62B,0.9999,1.146,1.1945,0.763,0.3853,0.1601,0.1584,0.1625,0.146,0.0
FAS,0.9999,1.0577,1.0315,0.9192,0.7185,0.4821,0.4053,0.2634,0.2027,0.0
FASN,0.9999,1.4974,1.5732,0.8204,0.2501,0.0912,0.0949,0.1028,0.0919,0.0
FCAR,0.9999,1.1102,1.107,0.9389,1.0384,0.9164,1.1038,0.5128,0.414,0.0
FCER1G,0.9999,1.0694,0.9977,0.8474,0.8418,0.8321,0.9734,1.132,0.9247,0.0
FCER2,0.9999,1.1148,1.0973,0.8394,0.7394,0.655,0.5564,0.5117,0.4269,0.0
FCGR2C,0.9999,1.0653,1.036,0.8325,0.7854,0.65,0.596,0.5423,0.3367,0.0
FLNA,0.9999,1.3732,1.2985,0.3598,0.1904,0.1214,0.1112,0.1294,0.1381,0.0
FLNB,0.9999,1.5108,1.6009,0.7136,0.4017,0.2885,0.253,0.1461,0.204,0.0
FLVCR1,0.9999,1.0849,1.0211,1.0244,0.9688,0.894,0.8835,0.5947,0.0752,0.0
FUCA2,0.9999,1.5409,1.7846,1.3942,1.2175,0.8317,0.8157,0.8037,0.282,0.0
FZD1,0.9999,0.9993,1.0623,0.9757,0.9138,0.8288,0.7532,0.5002,0.123,0.0
FZD2,0.9999,1.068,1.0931,0.8552,0.7162,0.7465,0.7509,0.406,0.1097,0.0
G6PD,0.9999,1.4787,1.4602,0.9089,0.8207,0.4208,0.2073,0.1973,0.1867,0.0
GAPDH,0.9999,1.843,1.902,1.4546,1.3806,1.2404,1.5864,1.3416,0.7248,0.0
GC,0.9999,1.4337,1.2797,1.0609,0.9745,0.6514,1.2709,1.2491,1.1332,0.0
GGT1,0.9999,1.0307,0.989,0.9583,0.9035,0.8225,0.8264,0.6365,0.5027,0.0
GGT5,0.9999,0.8172,0.8994,0.937,0.7473,0.588,0.3731,0.2386,0.1265,0.0
GLG1,0.9999,1.0889,1.0975,0.9104,0.7946,0.6838,0.6664,0.7695,1.1794,0.0
GNA13,0.9999,1.0953,1.1817,0.759,0.6574,0.4022,0.2758,0.1877,0.0975,0.0
