Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
A2M,0.9999,1.1094,1.2616,1.0504,0.905,0.9087,0.869,0.5374,0.7082,0.0
ABCC1,0.9999,1.1946,1.1794,0.9583,0.8079,0.3708,0.0584,0.0484,0.0659,0.0
ABCC4,0.9999,1.1899,1.2095,1.0033,0.8795,0.9085,0.7119,0.2624,0.1035,0.0
ACLY,0.9999,1.0196,1.1938,0.631,0.1723,0.1198,0.0841,0.0974,0.08,0.0
ACPP,0.9999,0.8453,0.7605,0.7967,0.6232,0.5083,0.3574,0.2825,0.3244,0.0
ACSL1,0.9999,1.0147,1.174,0.6983,0.2195,0.0942,0.0701,0.0842,0.1019,0.0
ACTN1,0.9999,1.0622,1.3526,1.3788,1.2283,0.9004,0.333,0.1796,0.1575,0.0
ADA,0.9999,1.5014,1.1973,0.904,0.773,0.6058,0.5648,0.4681,0.2717,0.0
ADAM10,0.9999,1.128,1.0822,0.9295,0.8861,0.7061,0.553,0.2262,0.2339,0.0
ADAM17,0.9999,1.0764,1.0226,0.8426,0.6939,0.409,0.3425,0.1586,0.1765,0.0
ADAM22,0.9999,1.0931,1.0119,0.8502,0.82,0.6256,0.5723,0.2543,0.1906,0.0
ADAM9,0.9999,1.1449,1.263,0.9485,0.9688,0.9371,0.9789,0.6063,0.8614,0.0
ADCY3,0.9999,1.1099,0.8847,0.9289,0.477,0.5066,0.6049,0.2004,0.267,0.0
ADCY7,0.9999,1.0024,0.9831,0.4556,0.01,0.01,0.0088,0.1036,0.1136,0.0
ADCY9,0.9999,1.0256,0.9868,0.8083,0.4473,0.1275,0.1355,0.154,0.1486,0.0
ADPGK,0.9999,1.0425,1.2334,0.8621,0.6343,0.437,0.3259,0.3194,0.2574,0.0
AFP,0.9999,1.3242,1.3627,1.0693,1.1261,0.9172,1.3942,1.3639,1.5777,0.0
AGTRAP,0.9999,1.0992,1.302,1.3204,1.3422,1.2914,1.329,1.2063,2.0772,0.0
AHNAK,0.9999,1.0184,1.1492,0.7669,0.7356,0.6702,0.5577,0.7505,0.4652,0.0
AHSG,0.9999,1.2722,1.189,1.2865,1.2098,1.1829,1.5818,1.2168,1.7442,0.0
ALCAM,0.9999,1.1003,1.0228,0.883,0.9285,0.8301,0.8273,0.7677,0.6624,0.0
ANKH,0.9999,1.3765,1.1838,1.0305,0.9262,0.8494,0.934,1.0483,1.368,0.0
ANO6,0.9999,1.1129,1.1194,0.9539,0.9491,0.8656,0.1501,0.0762,0.0825,0.0
ANPEP,0.9999,1.0607,1.0338,0.8956,0.8984,0.8327,0.8472,0.8238,0.9083,0.0
ANTXR2,0.9999,1.1253,1.2188,1.0173,0.9345,0.8029,0.7309,0.6555,0.5727,0.0
ANXA2,0.9999,0.9122,1.0528,0.9346,0.5613,0.2592,0.2358,0.1946,0.0919,0.0
AOAH,0.9999,1.0487,1.2668,0.9375,0.8858,0.6408,0.6789,0.8419,1.6092,0.0
AP2A1,0.9999,1.1927,1.2242,0.8178,0.3891,0.2836,0.2323,0.1203,0.1309,0.0
AP2B1,0.9999,0.6844,0.8784,0.4612,0.3292,0.189,0.1511,0.1338,0.239,0.0
APLP2,0.9999,1.0158,0.8263,1.0922,0.8384,0.676,0.6646,0.4078,0.7787,0.0
APOA1BP,0.9999,1.0273,1.1377,1.1273,1.0733,0.9595,1.1009,1.4554,1.0236,0.0
APOB,0.9999,0.9634,1.0447,1.0487,0.8605,0.7926,0.7408,0.5726,0.6815,0.0
APOC3,0.9999,1.2536,1.3398,1.1001,1.2292,1.1313,1.1711,1.5543,1.4626,0.0
APOE,0.9999,1.3027,1.3331,1.2408,1.2219,1.0512,1.0084,1.1751,1.0338,0.0
APOH,0.9999,1.0561,1.0596,1.1609,1.012,0.9613,0.8858,0.612,0.6191,0.0
APP,0.9999,1.0784,1.0442,0.5669,0.3866,0.3424,0.277,0.2431,0.7171,0.0
ARF6,0.9999,0.9968,1.0664,1.1387,0.904,0.4474,0.2745,0.1744,0.1233,0.0
ARHGEF6,0.9999,1.296,0.2774,0.01,0.01,0.01,0.01,0.01,0.01,0.0
ARMET,0.9999,0.9192,1.0476,1.1102,1.0247,0.9311,1.0449,1.0354,0.9502,0.0
ARPC2,0.9999,0.6662,0.6763,0.9066,0.8744,0.7495,0.7738,0.4898,0.2503,0.0
ART3,0.9999,1.0424,1.1149,0.8145,0.7732,0.5543,0.6237,0.681,0.6515,0.0
ATP11A,0.9999,1.085,1.0583,0.8504,0.8452,0.6188,0.2461,0.1135,0.0898,0.0
ATP11B,0.9999,1.0059,1.1834,1.213,1.1684,0.998,0.755,0.2598,0.1438,0.0
ATP11C,0.9999,1.1436,1.2175,1.0596,1.0028,0.6379,0.1321,0.1181,0.1083,0.0
ATP13A1,0.9999,0.9974,1.0504,0.7592,0.5008,0.1228,0.0866,0.1329,0.0752,0.0
ATP1A1,0.9999,1.1589,1.1876,0.8802,0.9232,0.9303,0.9826,0.2498,0.1677,0.0
ATP1B1,0.9999,1.1467,1.0625,0.9272,0.9806,0.8612,0.5692,0.2214,0.2067,0.0
ATP1B3,0.9999,1.0854,1.0589,0.9468,0.966,0.8346,0.5439,0.1742,0.1834,0.0
ATP2A2,0.9999,1.0769,1.0653,0.7127,0.2065,0.1003,0.079,0.1137,0.1314,0.0
ATP2B4,0.9999,1.2142,1.3702,1.1116,0.8838,0.7676,0.3838,0.2901,0.2232,0.0
ATP5A1,0.9999,1.0591,1.2962,1.1778,1.0398,1.1507,1.1114,1.2139,0.4964,0.0
ATP5B,0.9999,0.911,0.986,0.9454,0.8025,0.7577,0.6324,0.751,0.3974,0.0
ATP5O,0.9999,1.0689,1.2646,0.9994,1.0386,1.1175,1.3271,1.6619,0.3335,0.0
ATP6AP1,0.9999,1.0577,1.2062,1.0994,0.9264,0.6837,0.5417,0.5092,1.0034,0.0
ATP6V0A2,0.9999,1.0954,1.4998,0.984,0.8908,0.8134,0.7505,1.01,0.6303,0.0
ATP6V0D1,0.9999,1.1541,1.4407,1.333,1.1247,0.9014,1.1143,0.8037,0.5558,0.0
ATP6V1A,0.9999,1.2982,1.4255,1.0336,0.8349,0.6346,0.45,0.238,0.1331,0.0
ATP6V1B2,0.9999,1.1657,1.3772,1.0524,0.8893,0.6638,0.6629,0.3987,0.3138,0.0
ATP6V1E1,0.9999,0.9832,1.3287,0.968,0.8442,0.4492,0.239,0.0986,0.1229,0.0
ATP6V1H,0.9999,1.0087,1.3009,0.828,0.6121,0.3884,0.1595,0.0857,0.2849,0.0
ATP7A,0.9999,1.2789,1.1235,0.6499,0.3216,0.2605,0.2426,0.088,0.1352,0.0
ATPIF1,0.9999,0.8917,0.8664,0.7867,0.6753,0.6555,0.6574,0.8955,0.7009,0.0
ATRN,0.9999,1.0366,1.0825,0.8521,0.7474,0.6012,0.5153,0.3488,0.4358,0.0
B2M,0.9999,1.1508,1.432,1.0572,0.9983,0.9503,1.0678,1.5473,3.4651,0.0
B4GALT1,0.9999,0.9794,1.0299,0.7809,0.3478,0.179,0.0749,0.0113,0.0082,0.0
BASP1,0.9999,0.8113,0.9065,0.9282,0.9197,1.0327,1.2825,2.0851,6.3708,0.0
BCAP31,0.9999,0.9185,0.93,1.1109,1.0785,0.9934,1.3222,1.5137,3.2912,0.0
BSG,0.9999,1.1383,1.1354,0.9547,1.0699,1.0519,1.1019,0.9278,0.7852,0.0
BST1,0.9999,1.0117,1.0828,0.9353,0.9951,0.8543,0.9138,0.6292,0.9137,0.0
BST2,0.9999,1.1254,1.0826,0.9679,0.9357,0.847,0.8545,0.9106,0.9984,0.0
BTN2A1,0.9999,1.0763,1.0132,0.9591,0.7095,0.2356,0.0542,0.0896,0.1161,0.0
C11ORF59,0.9999,0.7656,1.1968,1.1916,1.1249,0.9881,0.8768,0.7706,0.6456,0.0
C1QBP,0.9999,0.7149,0.6361,0.3947,0.1149,0.1031,0.0152,0.0476,0.0454,0.0
C1S,0.9999,0.8673,1.1855,0.9685,0.8024,0.7702,0.5918,0.2676,0.3987,0.0
C20ORF103,0.9999,1.0062,1.1366,1.0137,0.9036,0.6669,0.4377,0.2526,0.2608,0.0
C20ORF3,0.9999,1.049,1.1142,1.0895,0.9226,0.7969,0.5551,0.2637,0.0713,0.0
C4B,0.9999,0.9636,1.0081,1.0278,0.7867,0.5766,0.3973,0.3509,0.3011,0.0
C8ORF55,0.9999,1.1003,1.2897,0.8622,0.8627,0.6317,0.6402,0.6138,0.698,0.0
CAD,0.9999,1.1075,1.2313,0.6059,0.0511,0.0305,0.0344,0.065,0.081,0.0
CADM4,0.9999,0.814,0.9405,0.9143,0.9287,0.618,0.6633,0.4553,0.4651,0.0
CALR,0.9999,1.1522,1.4097,1.2764,0.8137,0.6653,0.5003,0.3412,0.4236,0.0
CAP1,0.9999,0.8455,1.0207,1.0403,0.7468,0.3655,0.277,0.0928,0.1094,0.0
CAPN1,0.9999,0.9961,1.2405,0.8705,0.7334,0.6858,0.7715,0.5954,0.151,0.0
CAPN2,0.9999,1.5734,1.8271,1.173,0.9662,0.6741,0.2545,0.1649,0.0649,0.0
CAT,0.9999,1.0619,1.266,1.1529,1.1014,0.9685,0.8448,1.0737,0.9076,0.0
CCDC134,0.9999,0.9912,0.93,0.9995,0.5762,0.4755,0.2298,0.2752,0.0675,0.0
CCL5,0.9999,1.0229,1.2168,0.9137,0.6967,0.5901,0.6252,0.5194,0.8576,0.0
CCT3,0.9999,1.0769,1.3251,1.086,0.8789,0.5157,0.1822,0.1287,0.1591,0.0
CD151,0.9999,1.0922,1.0752,0.9303,0.7684,0.6491,0.705,0.5185,0.7808,0.0
CD244,0.9999,1.0806,1.0418,0.8887,0.8195,0.7219,0.6031,0.4923,0.3751,0.0
CD300LF,0.9999,1.1133,0.9562,0.7605,0.6347,0.4331,0.3579,0.3099,0.3245,0.0
CD302,0.9999,1.0354,0.9976,0.8774,0.8076,0.5332,0.4542,0.2832,0.2837,0.0
CD320,0.9999,0.9864,1.0131,0.8314,0.9429,0.7229,0.7241,0.5796,1.1595,0.0
CD36,0.9999,1.1138,1.1295,0.9301,0.8937,0.8129,0.7082,0.6311,0.4853,0.0
CD38,0.9999,1.0437,1.0523,0.9243,0.8913,0.6603,0.6262,0.3704,0.3964,0.0
