Accession,IPI_ID,UniProt_ID,qusm.1.1,qusm.1.2,qusm.2.1,qusm.2.2,qusm.3.1,qusm.3.2,qupm.1.1,qupm.1.2,qupm.2.1,qupm.2.2,qupm.3.1,qupm.3.2,37C_cond1.1.1,37C_cond1.1.2,37C_cond1.2.1,37C_cond1.2.2,37C_cond1.3.1,37C_cond1.3.2,37C_cond2.1.1,37C_cond2.1.2,37C_cond2.2.1,37C_cond2.2.2,37C_cond2.3.1,37C_cond2.3.2,44C_cond1.1.1,44C_cond1.2.1,44C_cond1.3.1,44C_cond2.1.1,44C_cond2.2.1,44C_cond2.3.1,47.6C_cond1.1.1,47.6C_cond1.2.1,47.6C_cond1.3.1,47.6C_cond2.1.1,47.6C_cond2.2.1,47.6C_cond2.3.1,50.5C_cond1.1.2,50.5C_cond1.2.2,50.5C_cond1.3.2,50.5C_cond2.1.2,50.5C_cond2.2.2,50.5C_cond2.3.2,53.4C_cond1.1.2,53.4C_cond1.2.2,53.4C_cond1.3.2,53.4C_cond2.1.2,53.4C_cond2.2.2,53.4C_cond2.3.2,56.5C_cond1.1.2,56.5C_cond1.2.2,56.5C_cond1.3.2,56.5C_cond2.1.2,56.5C_cond2.2.2,56.5C_cond2.3.2,59.1C_cond1.1.2,59.1C_cond1.2.2,59.1C_cond1.3.2,59.1C_cond2.1.2,59.1C_cond2.2.2,59.1C_cond2.3.2,62.2C_cond1.1.1,62.2C_cond1.2.1,62.2C_cond1.3.1,62.2C_cond2.1.1,62.2C_cond2.2.1,62.2C_cond2.3.1,65.6C_cond1.1.1,65.6C_cond1.2.1,65.6C_cond1.3.1,65.6C_cond2.1.1,65.6C_cond2.2.1,65.6C_cond2.3.1,meanlog2Ratio37C,meanlog2Ratio44C,meanlog2Ratio47.6C,meanlog2Ratio50.5C,meanlog2Ratio53.4C,meanlog2Ratio56.5C,meanlog2Ratio59.1C,meanlog2Ratio62.2C,meanlog2Ratio65.6C,meanStDev,pValue_less37C,pValue_less44C,pValue_less47.6C,pValue_less50.5C,pValue_less53.4C,pValue_less56.5C,pValue_less59.1C,pValue_less62.2C,pValue_less65.6C,pValue_greater37C,pValue_greater44C,pValue_greater47.6C,pValue_greater50.5C,pValue_greater53.4C,pValue_greater56.5C,pValue_greater59.1C,pValue_greater62.2C,pValue_greater65.6C,collation.log2Ratio,collation.pValue,collation.pvalue.count,collation.pValue.start,collation.ratio.count,collation.ratio.start,Meltpnt_cond1_1,Meltpnt_cond1_2,Meltpnt_cond1_3,Meltpnt_cond2_1,Meltpnt_cond2_2,Meltpnt_cond2_3,Rsq_cond1_1,Rsq_cond1_2,Rsq_cond1_3,Rsq_cond2_1,Rsq_cond2_2,Rsq_cond2_3,Plateau,Mean_dTm,dTm_pValue,Significance_in_plateau,distancescore,collation.pValue.corrected,pValue37C,pValue37C.corrected,fullfil_all_criteria_collation,fullfil_all_criteria_37
ITGB2,IPI00746851.1,P05107,23,25,22,23,22,25,19,21,18,20,20,19,1,1,1,1,1,1,1.019082205,0.992005042,1.009695583,1.003961313,0.968040814,1.015577536,1.029061738,0.98135525,0.976998981,1.029614187,0.984432957,0.964311524,1.095557124,1.005797174,0.93755936,1.062430003,1.034733294,0.99430109,0.905322652,0.934337209,0.93456787,0.886559772,0.935261867,0.941800254,0.845175706,0.885997348,0.93001981,0.831152721,0.89347563,0.88828369,0.752975845,0.763343357,0.801516281,0.747318111,0.760975902,0.828878664,0.740712359,0.814754261,0.846115129,0.729882014,0.816406964,0.822859671,0.449992049,0.642202608,0.725214835,0.644975484,0.66874994,0.685639557,0.626026211,0.556344482,0.701978991,0.609255684,0.531217276,0.698355981,0.001792339,-0.004521999,0.027131797,-0.005888478,-0.026084218,0.011022212,-0.019511402,0.165608352,-0.037772293,0.062720624,0.560321922,0.29820612,0.725857453,0.341764201,0.184224682,0.691529608,0.129212071,0.771191285,0.078960167,0.439678078,0.70179388,0.274142547,0.658235799,0.815775318,0.308470392,0.870787929,0.228808715,0.921039833,-0.037772293,0.138334932,3,7,1,9,56.05711423,64.59699399,64.59699399,54.6242485,,58.63627255,0.862628896,0.956115929,0.933682856,0.948524074,0.946200932,0.95596431,,-5.12010688,0.287336525,,-0.112326407,,0.439678078,0.939917875,0,1
ITGB5,IPI00029741.1,P18084,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,,,1,1.363251587,0.963325579,0.753841081,,,0.856393595,1.514407044,0.852937942,,1.198368845,0.986239276,,1.411950546,0.877044683,,1.779961952,1.20225745,,0.788582208,,0.924997269,0.749372309,,0.932738546,0.798669424,,0.652897544,0.69831734,,0.520666557,0.545987086,,0.540127252,0.632640939,,0.742579322,0.466074123,,0.712001702,0.483071241,,0.684626576,1.308926096,0.397921781,,0.889744686,0.289290232,,0.876801279,0.188175855,,0.658336895,0.172468005,,-0.059543638,-0.064092037,0.39459023,-0.03077743,-0.260106278,0.335882946,-0.002443421,-0.508443791,-0.269588314,0.168566437,0.383538681,0.426752333,0.95162521,0.301560035,0.079548238,0.887959783,0.485638625,0.030257145,0.15600891,0.616461319,0.573247667,0.04837479,0.698439965,0.920451762,0.112040217,0.514361375,0.969742855,0.84399109,-0.508443791,0.030257145,1,8,1,8,49.40861723,56.85951904,51.41462926,50.3256513,61.04348697,51.75851703,0.212873125,0.970825198,0.898728769,0.246980067,0.889224821,0.765707915,52.30300601,1.81496326,0.675772771,1,-0.683084786,,0.383538681,,0,0
ITIH2,IPI00305461.2,P19823,2,2,3,3,2,4,2,2,3,3,2,4,1,1,1,1,1,1,0.857616519,1.047291512,0.94176695,0.97886988,0.943030117,1.002479077,1.060313121,1.368375071,1.326656397,1.078860342,1.31344964,1.300028059,1.048717313,1.393294224,1.247387023,0.990880251,1.25299332,1.214537417,0.92269803,0.939618038,0.881092857,0.912156398,0.902129136,0.864279511,0.851285865,0.757011535,0.729015679,0.862471719,0.650674003,0.68403366,0.7188169,0.673420452,0.703849572,0.780492993,0.627924591,0.551675339,0.791243052,0.76045982,0.681569916,0.786189441,0.701020901,0.57106105,0.733950544,1.016401457,1.015544287,0.714626817,0.881193068,0.876138396,0.687073424,0.844893538,0.937740601,0.652785674,0.709337428,0.899966434,-0.058892242,-0.021112363,-0.091155554,-0.034371308,-0.09714314,-0.111200836,-0.127291725,-0.15248519,-0.128490026,0.100466664,0.101158753,0.240771078,0.05609928,0.056163406,0.146028586,0.249506818,0.107809091,0.058021184,0.087094635,0.898841247,0.759228922,0.94390072,0.943836594,0.853971414,0.750493182,0.892190909,0.941978816,0.912905365,-0.091155554,0.020023117,3,7,1,3,52.73286573,50.66953908,50.38296593,56.80220441,50.72685371,50.61222445,0.918029074,0.33022313,0.384202124,0.875163659,0.512157691,0.464255965,50.81282565,1.451970608,0.540832791,,-0.177061459,,0.101158753,0.400506081,0,1
ITIH3,IPI00028413.8,Q06033,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1.018456311,,0.928679676,,0.979593391,,,,,,,,,,,,,0.877359574,0.797975321,0.870821075,0.872315892,0.817221292,0.991666211,0.879595756,0.77362401,0.961501514,0.870090273,0.693448482,0.793959292,0.643262791,0.726021334,0.664181743,0.632990853,0.570683966,0.606850244,0.715552838,0.804137778,0.681388017,0.784962308,0.725101127,0.789935888,,,,,,,,,,,,,-0.036702665,,,0.071181127,-0.149914504,-0.166927009,0.065854525,,,0.131177989,0.220963599,,,0.823108258,0.092407188,0.111035766,0.694932903,,,0.779036401,,,0.176891742,0.907592812,0.888964234,0.305067097,,,-0.149914504,0.136527569,3,5,1,5,53.24869739,48.77815631,53.82184369,52.2743487,50.55490982,53.24869739,0.838913908,0.929975662,0.82680931,0.687451187,0.864772314,0.832590471,56.83086172,0.076419506,0.967780408,,-0.248315322,,0.220963599,,0,0
ITM2B,IPI00031821.1,Q9Y287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97028213,0.899624091,0.992667356,0.839012158,1.121749777,1.037017342,1.042618479,1.130042187,1.105174203,1.023316521,0.983919098,1.261524007,0.993758935,1.077098514,1.136372856,0.990370259,1.001951854,0.996934223,0.646745646,0.689163078,0.78282178,0.674698548,0.721157501,0.792397896,0.518554207,0.576597327,0.627387826,0.533155236,0.589021413,0.653529002,0.60496801,0.582200891,0.597348192,0.463590524,0.503373733,0.50604159,0.404273314,0.430190515,0.414514708,0.437092714,0.469006682,0.477276933,0.377084517,0.334862227,0.378704419,0.277985524,0.267874451,0.344303566,0.205865316,0.115268913,0.215049488,0.171776343,0.129988918,0.161432306,-0.0402988,-0.011943349,-0.099377003,0.048018247,0.043236835,-0.277737016,0.146881478,-0.299759982,-0.3374544,0.097753384,0.267508174,0.462743272,0.10123901,0.955897099,0.982628121,0.017773878,0.982207536,0.038236574,0.221092643,0.732491826,0.537256728,0.89876099,0.044102901,0.017371879,0.982226122,0.017792464,0.961763426,0.778907357,-0.299759982,0.04517289,3,5,1,8,53.53527054,56.74488978,,53.59258517,56.68757515,55.94248497,0.909763778,0.903625574,,0.949711412,0.958088754,0.890008554,,0.26746827,0.884785434,,-0.430024992,,0.267508174,,0,0
ITPR2,IPI00031545.3,Q14571,,,1,,2,,,,1,,2,,,,1,,1,,,,0.473381812,,0.753137029,,,1.246055973,1.217075404,,0.955064872,1.161417439,,1.170356376,1.548737522,,1.008537881,0.826756764,,,,,,,,,,,,,,,,,,,,,,,,,,0.004345233,0.301448764,,0.009558559,0.078968311,,0.044406746,0.122656699,,0.089508292,0.113188849,-0.743969767,-0.225615096,-0.560120219,,,,,-1.932567076,,0.395260805,0.134658232,0.194544539,0.175905464,,,,,0.419320973,0.713678326,0.865341768,0.805455461,0.824094536,,,,,0.580679027,0.286321674,-0.743969767,0.134658232,1,1,1,1,,,61.21543086,,,,,,0.76385686,,,,,,,,-0.968694653,,0.134658232,,0,0
JAG1,IPI00099650.2,P78504,5,2,3,2,4,3,5,2,3,2,4,3,1,1,1,1,1,1,1.089539639,1.013873704,1.095178467,1.056927225,1.074445358,1.08299845,1.054249279,1.014150779,1.000910355,1.077347884,0.985791603,1.028505478,0.929238037,0.891914724,0.8870915,1.039304054,0.955951048,1.067592563,0.764365304,0.734108272,0.802808586,0.808560824,0.810041469,0.805766253,0.660001409,0.611828072,0.662089709,0.844527624,0.696625185,0.787604281,0.488798556,0.42170337,0.469702735,0.567580144,0.481305763,0.620444343,0.379223927,0.398345948,0.449609541,0.541247605,0.476943313,0.582782777,0.210381516,0.29898329,0.300193122,0.270019644,0.326721278,0.413590536,0.243810887,0.26921251,0.330245289,0.247821227,0.358859909,0.539913126,0.09554366,0.009862431,0.176244989,0.076134086,0.264458695,0.269287682,0.382440081,0.316788075,0.382467278,0.120095316,0.998825201,0.631926418,0.965553513,0.902987877,0.983594418,0.972024969,0.982597063,0.95739917,0.90301888,0.001174799,0.368073582,0.034446487,0.097012123,0.016405582,0.027975031,0.017402937,0.04260083,0.09698112,1.232974534,0.002725483,3,4,4,5,54.6242485,52.90480962,53.6498998,57.66192385,53.24869739,52.90480962,0.984354409,0.993271526,0.989785002,0.967279037,0.985288819,0.944329369,65.37074148,0.878824315,0.614284819,,1.428640914,0.02972333,0.001174799,0.04617647,1,1
JAK1,IPI00784013.1,P23458,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
JTB,IPI00008833.3,O76095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.882624613,1.043932427,0.987442849,0.969524928,0.945205537,0.989912572,1.061624221,1.129636455,1.11163924,1.081114092,1.152716644,1.046976522,1.144880056,1.181907273,1.183724167,1.100142852,1.211627162,1.082987391,1.088083963,1.156885392,1.240304876,1.085655927,1.064253982,1.057194642,1.107022183,1.062988527,1.325236171,1.140461165,1.04217204,1.003392902,1.07173165,1.064276208,1.060088206,1.089974072,0.860787613,1.05646798,1.178788363,1.248014861,1.316648461,1.340816302,1.260156891,1.050276162,1.55663577,1.647904615,2.04179324,1.861715802,1.499710321,1.382467222,2.915505639,2.256149122,3.121746422,3.106405246,2.651565011,3.39297961,-0.046151288,-0.010344873,-0.049997705,-0.118026724,-0.12898741,-0.095576188,-0.042108787,-0.146779646,0.148227012,0.167783896,0.110390679,0.405646003,0.201602254,0.106916137,0.223949868,0.230517881,0.402904492,0.299429266,0.962305534,0.889609321,0.594353997,0.798397746,0.893083863,0.776050132,0.769482119,0.597095508,0.700570734,0.037694466,0.148227012,0.216967925,3,4,1,9,,,,,,,0.309030904,0.480963418,0.16226283,0.259477841,0.37992173,0.255251869,37,,,1,0.113225091,,0.110390679,,0,0
KARS,IPI00307092.2,Q15046,,,1,,,,,,1,,,,,,1,,,,,,1.228515059,,,,,1.278363872,,,1.343542092,,,1.24027328,,,1.109831961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273099524,,,0.238678911,,,0.154877965,,,0.162807608,,0.296915542,0.071742979,-0.160316782,,,,,-0.194355697,0.072036223,,,,,,,,,,,,,,,,,,,,,,,,,,,60.81422846,,,47.9757515,,,0.883018835,,,0.987441898,,62.39038076,-12.83847695,,,,,,,0,0
