,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
366,RAB3GAP2,0.695,0.714,0.074,0.151,0.992,0.995,1.942,1.927,-0.152,0.996,0.994,1.965,2.032,-0.167
288,MFGE8,0.695,0.796,0.221,0.193,0.975,0.958,5.456,5.298,-0.041,0.949,0.943,5.359,5.552,-0.034
166,ERLIN2,0.692,0.838,0.29,0.295,0.944,0.963,3.775,3.897,-0.952,0.991,0.984,3.792,3.501,-0.124
222,HSPB1,0.692,0.753,0.197,0.144,0.976,0.981,2.684,2.732,-0.133,0.978,0.977,2.7,2.559,-0.132
323,PC,0.691,0.728,0.022,0.09,0.988,0.987,2.248,2.27,-0.135,0.994,0.991,2.347,2.281,-0.133
123,CNNM3,0.686,0.703,0.113,0.029,0.993,0.995,2.752,2.689,-0.112,0.995,0.991,2.558,2.567,-0.123
387,RNPEP,0.685,0.687,0.111,0.204,0.999,0.999,2.362,2.455,-0.191,0.999,0.999,2.506,2.302,-0.142
75,BTN2A1,0.684,0.732,0.022,0.088,0.98,0.986,3.505,3.494,-0.087,0.986,0.99,3.48,3.566,-0.096
142,DDR1,0.681,0.687,0.041,0.053,0.999,0.998,2.283,2.278,-0.132,0.998,0.997,2.162,2.134,-0.124
250,ITGB2,0.68,0.755,0.095,0.147,0.981,0.967,5.536,5.625,-0.032,0.937,0.947,5.634,5.497,-0.028
377,RDX,0.679,0.724,0.405,0.334,0.981,0.987,5.074,5.338,-0.153,0.99,0.978,5.178,4.87,-0.103
223,HSPD1,0.671,0.73,0.305,0.372,0.975,0.983,5.014,5.229,-0.117,0.954,0.958,4.988,4.66,-0.081
472,STIM1,0.666,0.687,0.287,0.194,0.99,0.994,3.439,3.318,-0.1,0.994,0.999,3.491,3.495,-0.141
320,PAFAH1B2,0.666,0.674,0.325,0.223,0.999,0.996,2.92,3.245,-0.164,0.995,0.996,2.872,2.719,-0.097
33,ANXA7,0.66,0.677,0.14,0.567,0.994,0.993,2.943,2.837,-0.129,0.996,0.993,3.181,2.613,-0.151
240,IL6ST,0.654,0.842,0.193,0.191,0.935,0.943,5.093,5.285,-0.032,0.956,0.989,4.845,4.767,-0.045
342,PPME1,0.653,0.672,0.177,0.28,0.988,0.998,3.258,3.314,-0.136,0.991,0.984,3.59,3.311,-0.164
462,SLC9A3R1,0.65,0.698,0.242,0.155,0.979,0.986,5.212,5.283,-0.069,0.957,0.953,5.319,5.309,-0.048
256,KEL,0.65,0.679,0.356,0.455,0.994,0.984,4.883,4.527,-0.038,0.992,0.985,4.793,5.248,-0.049
500,TNFRSF10B,0.649,0.794,0.532,0.503,0.948,0.953,5.311,4.779,-0.033,0.994,0.976,4.855,5.358,-0.037
264,LEPR,0.643,0.762,0.188,0.14,0.954,0.963,4.392,4.204,-0.074,0.989,0.99,5.005,5.145,-0.046
205,GSTP1,0.643,0.669,0.301,0.196,0.993,0.987,4.165,4.467,-0.171,0.988,0.993,4.034,3.84,-0.114
11,ACTN1,0.642,0.695,0.293,0.425,0.972,0.988,5.107,4.823,-0.1,0.978,0.977,4.899,4.492,-0.101
36,AP2M1,0.641,0.714,0.408,0.322,0.97,0.976,3.667,3.377,-0.16,0.991,0.997,3.554,3.232,-0.073
345,PRKAR2A,0.641,0.642,0.139,0.261,1.0,1.0,2.951,3.077,-0.091,0.998,0.998,3.034,2.773,-0.096
215,HSD17B10,0.635,0.664,0.055,0.163,0.987,0.99,4.16,4.213,-0.122,0.992,0.993,4.191,4.066,-0.124
161,ENTPD1,0.633,0.733,0.083,0.149,0.982,0.947,5.24,5.157,-0.041,0.979,0.966,5.486,5.635,-0.051
386,RNF149,0.632,0.69,0.217,0.125,0.969,0.988,4.491,4.331,-0.086,0.973,0.975,4.202,4.318,-0.073
116,CLIC1,0.63,0.653,0.166,0.051,0.983,0.999,3.199,3.033,-0.247,0.994,0.987,3.007,3.051,-0.166
228,IFNAR1,0.627,0.636,0.038,0.164,0.994,0.999,3.829,3.791,-0.085,0.996,0.993,4.249,4.358,-0.096
18,ADCY7,0.623,0.626,0.056,0.19,0.999,0.999,2.398,2.362,-0.132,0.988,0.989,2.729,2.918,-0.144
361,PVRL2,0.621,0.72,0.051,0.022,0.963,0.964,5.717,5.768,-0.035,0.945,0.942,6.159,6.163,-0.03
343,PPP2CA,0.618,0.68,0.237,0.335,0.968,0.984,4.251,4.388,-0.072,0.969,0.994,4.129,3.982,-0.083
164,EPHB4,0.615,0.617,0.039,0.1,0.999,0.999,1.466,1.444,-0.194,1.0,1.0,1.462,1.383,-0.201
356,PTPRJ,0.613,0.614,0.073,0.068,1.0,0.999,1.909,1.982,-0.185,1.0,1.0,2.024,2.092,-0.187
301,MYH10,0.611,0.646,0.558,0.129,0.982,0.99,3.078,2.52,-0.09,0.994,0.984,2.702,2.666,-0.103
81,CAD,0.609,0.617,0.047,0.186,0.997,0.996,2.514,2.503,-0.163,0.998,0.996,2.591,2.76,-0.145
